Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SZFBa.chr1,66695808,15006396,7309373,7634476,3479361,7605448,3471337,14899577,7287440,0,0,0,0,0,0,0,0,0,0,0,0,100,2300
SZFBa.chr5,81287074,22279256,4446992,11931362,2070944,11853959,2072746,22178557,4450258,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
SZFBa.chr2,78826521,21127695,4807045,11222844,2272253,11211172,2265535,21096208,4821269,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
SZFBa.chr3,84234183,22895983,4697372,12265155,2185979,12344256,2180010,22985917,4677511,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
SZFBa.chr4,82366549,21527891,5775679,11157597,2696131,11171090,2691224,21568064,5776073,0,0,0,0,0,0,0,0,0,0,0,0,300,2500
SZFBa.chr7,67627678,18358853,3677235,10002289,1751755,10007236,1749788,18344360,3734962,0,0,0,0,0,0,0,0,0,0,0,0,0,1200
SZFBa.chr8,54976008,13172775,4941039,6970790,2373532,7021101,2382529,13143997,4967945,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
SZFBa.chr9,64848181,16953856,4304587,9022682,2027927,9125016,2014977,17120134,4277902,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
SZFBa.chr6,75946493,20575264,4451030,10859767,2046902,10894831,2045869,20611498,4458932,0,0,0,0,0,0,0,0,0,0,0,0,100,2300
SZFBa.chrX,85237391,21628755,6534878,11428640,3096114,11451907,3085893,21504293,6504411,0,0,0,0,0,0,0,0,0,0,0,0,100,2400
SZFBa.000015l,748033,226099,324,141364,180,124886,153,254695,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000029l,57932,1062,12997,983,12477,1387,14799,1140,13087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000055l,33222,552,7445,511,7236,708,8602,588,7580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000088l,52713,2631,15155,1382,8001,1436,7940,2534,13634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000093l,45367,5849,8636,3216,4705,2992,4858,5567,9544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000129l,25570,3486,4901,1490,3020,1436,3106,2887,5244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000132l,590340,204165,54,98867,19,111101,31,176071,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000133l,34362,1674,9683,1093,5205,921,4946,1675,9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000141l,898023,111174,201573,45842,92604,43388,92204,110212,201026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000142l,352961,109162,0,60812,0,66816,3,116167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000143l,103202,2043,22991,1899,22031,2668,26060,2191,23319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000145l,38090,4150,7596,1964,5544,1931,4951,3626,8328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000147l,90878,1901,20671,2310,22889,1639,19372,1770,20326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000172l,30789,1870,7424,1036,4518,1029,4465,1926,8521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000173l,748366,258285,198,126989,182,138044,114,224299,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000177l,1046299,188157,166287,89180,76981,92774,78207,186069,168644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000178l,97847,33821,0,16543,0,18486,0,28997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000185l,25597,969,6338,547,4869,569,4223,972,7110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000193l,108186,2121,24170,1964,23046,2760,27196,2278,24651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000196l,799697,236740,986,150470,426,133770,404,276070,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000198l,48482,3775,11483,2002,7137,2043,7057,4328,10657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000200l,34465,888,10104,567,6406,553,6025,844,9078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000202l,679273,234978,79,114970,86,126171,8,202956,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000203l,102427,2345,22970,2777,25706,1980,21789,2140,22720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000205l,42980,919,9560,1130,10925,799,9242,857,9548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000215l,499348,144816,0,88499,2,91856,3,174169,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000216l,70810,1330,16005,1617,18204,1148,15364,1239,15903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000221l,773488,266012,1,130841,4,146479,0,230151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000224l,36451,4856,7100,2795,3319,2944,3864,4838,6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBa.000230c,415763,48626,63474,41397,53394,41340,53383,49024,65125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
