Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
UFBa.chr1,64029524,14223369,7192963,7200997,3426915,7239123,3419314,14158361,7166482,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
UFBa.chr5,78576332,21397294,4477375,11411938,2087450,11322449,2088328,21294191,4495307,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
UFBa.chr2,77057537,20441665,4826433,10897744,2283218,10931399,2276971,20550859,4846548,0,0,0,0,0,0,0,0,0,0,0,0,100,2600
UFBa.chr3,81434200,22165244,4690213,11783034,2190519,11716380,2187015,22025273,4673122,0,0,0,0,0,0,0,0,0,0,0,0,300,3100
UFBa.chr4,82678687,21565156,5791841,11222514,2698682,11173139,2700153,21715301,5808101,0,0,0,0,0,0,0,0,0,0,0,0,100,3700
UFBa.chr7,66104789,17869103,3765070,9764422,1755807,9755644,1752483,17752235,3687725,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
UFBa.chr8,55337930,13275833,4964447,7018766,2388446,7068273,2393362,13236409,4990694,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
UFBa.chr9,66151780,17445539,4415026,9272161,2080286,9183206,2084375,17232313,4436474,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
UFBa.chr6,78834279,21370124,4578431,11384556,2105485,11358595,2114534,21334829,4585925,0,0,0,0,0,0,0,0,0,0,0,0,100,1700
UFBa.chrX,84914611,21419279,6524531,11339341,3098876,11375375,3099593,21505093,6549723,0,0,0,0,0,0,0,0,0,0,0,0,100,2700
UFBa.000017l,55667,1150,12642,1391,14061,990,11917,1066,12450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000050l,142715,48927,2,24065,1,26881,2,42835,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000069l,162621,3261,37055,3952,41194,2809,34861,3037,36452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000072l,535235,185244,396,90147,185,100659,160,158034,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000087l,47263,3128,11031,1607,7756,1639,7967,3692,10443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000092l,76759,7053,17211,4189,10558,4018,9454,6955,17321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000094l,46209,13883,0,8774,0,7706,0,15845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000112l,220592,65532,10,41576,2,37407,5,76053,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000144l,51489,3681,11961,1992,8134,2032,8252,4229,11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000155l,50580,6354,10706,3534,5307,3640,5223,6348,9468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000159l,196358,67251,0,32819,0,37307,0,58978,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000161l,112555,33100,0,21171,0,19306,0,38978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000162l,43472,15081,0,7406,0,8206,0,12779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000169l,1455774,217309,274609,177299,162874,108117,157464,203328,154774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000170l,66513,4055,16784,2216,10688,2032,9523,3800,17415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000172l,62499,4379,14355,2474,9871,2517,9981,4935,13987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000179l,54425,5197,13017,2832,6601,3052,6605,5495,11626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000187l,88769,6621,21565,3258,13651,3267,13486,5970,20951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000191l,128626,44198,0,21853,0,24616,0,37959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000192l,72876,1400,16268,1304,15575,1833,18493,1511,16492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000200l,190865,65771,0,32005,0,36320,0,56769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000204l,121729,33889,0,19552,0,24825,0,43463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000206l,47790,5991,9342,3366,5120,3356,4875,5892,9848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000209l,139153,41002,1,26550,0,23511,3,48083,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000212l,37581,1593,10602,1060,5889,874,5413,1615,10535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000221l,178164,61794,0,29997,0,33924,0,52449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000223l,70438,4935,16438,2517,11476,2474,11276,4379,16943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000226l,135141,2478,30298,2295,29121,3233,34493,2662,30561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000227l,40100,710,9022,654,8666,924,10265,760,9099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000228l,35934,2399,8481,1327,5869,1335,5608,2783,8132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000230l,79846,5117,19424,2598,12954,2545,12807,4525,19876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000231l,181153,62492,2,30045,3,34500,2,54106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000232l,59711,917,13688,833,12968,1183,15209,987,13926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000238l,240000,71310,10,45176,6,39985,38,83466,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000239l,55017,2732,15583,1460,8554,1494,8403,2692,14099,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000245l,53290,4229,11843,2031,8298,1992,8169,3679,13049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000246l,202630,4142,45811,5044,51390,3577,43503,3865,45298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000247l,82999,6847,19585,3828,11528,3851,10679,7565,19116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000249l,121393,42182,6,20873,2,22691,2,35632,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000252l,263217,6990,58387,7838,64919,6249,54954,6404,57476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UFBa.000254l,44113,3189,10503,1727,6360,1742,6845,3536,10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
