Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
STHa.chr1,64849547,14407223,7263168,7341374,3455947,7334986,3453869,14352649,7236531,0,0,0,0,0,0,0,0,0,0,0,0,200,3600
STHa.chr5,79940917,21819411,4435743,11569164,2063865,11628262,2059929,21926110,4435633,0,0,0,0,0,0,0,0,0,0,0,0,200,2600
STHa.chr2,75722392,20144201,4772174,10699099,2253870,10696443,2248037,20110793,4793775,0,0,0,0,0,0,0,0,0,0,0,0,200,3800
STHa.chr3,83479816,22440339,4863559,12090512,2288365,12103205,2286983,22555026,4847627,0,0,0,0,0,0,0,0,0,0,0,0,100,4100
STHa.chr4,80413748,20881675,5816751,10781251,2708284,10747988,2709895,20927498,5835506,0,0,0,0,0,0,0,0,0,0,0,0,200,4700
STHa.chr7,66327877,17846033,3730778,9818595,1746648,9807164,1743287,17926719,3705553,0,0,0,0,0,0,0,0,0,0,0,0,0,3100
STHa.chr8,55042771,13175219,4976258,6959285,2388459,7010567,2395578,13136001,4997604,0,0,0,0,0,0,0,0,0,0,0,0,0,3800
STHa.chr9,66063773,17429333,4405328,9311809,2073938,9206844,2079724,17125792,4427805,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
STHa.chr6,75606268,20336978,4534531,10792429,2103283,10819305,2099864,20373068,4543610,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
STHa.chrX,80605534,20060557,6548571,10592605,3122392,10608188,3115896,20019200,6533725,0,0,0,0,0,0,0,0,0,0,0,0,300,4100
STHa.000052l,100379,29908,0,18925,0,16779,3,34761,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000107l,64727,3558,17297,1893,10429,1935,9954,3598,16063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000119l,24004,8276,0,4019,0,4542,0,7167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000122l,1149152,307375,438,251052,222,269956,373,319176,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000137l,79668,27427,1,13498,0,15086,2,23653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000139l,112042,33243,0,21475,0,18723,0,38601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000143l,172212,58956,13,30006,11,32070,3,51147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000146l,36090,12472,0,6099,0,6848,0,10671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000157l,162272,4901,35520,5303,39363,4450,33368,4462,34905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000168l,57942,6326,12547,3665,6857,3497,6192,6209,12649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000169l,53921,4318,12674,2226,8036,2310,7789,4783,11785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000175l,58400,17456,0,11025,0,9821,0,20098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000181l,30176,10202,430,4922,119,5463,11,9015,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000189l,215213,3967,48154,3669,46293,5165,54741,4258,48966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000191l,65026,5157,15687,2415,9021,2529,10021,4561,15635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000195l,53674,3172,14127,1815,7402,1826,8067,2938,14327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000213l,165174,47124,6069,25493,2532,27506,2451,48197,5802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000216l,44457,4235,9158,2035,7037,1988,6727,3672,9605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000218l,145280,3031,32857,3684,36699,2620,31083,2830,32476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000223l,93695,1900,21252,2309,23751,1641,20100,1770,20972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000233l,39029,2130,10448,1111,6534,1135,6200,2048,9423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000238l,57985,1145,13065,1385,14839,985,12523,1062,12981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000244l,34888,10366,0,6658,0,5870,1,11992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000246l,34043,3925,7520,1953,3868,2095,3726,3959,6997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000248l,102713,5924,26231,2941,16040,3084,16503,5349,26641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000251l,90078,1593,20208,1476,19475,2079,23092,1710,20445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000253l,84862,1592,18969,1473,18256,2064,21592,1698,19218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000255l,40445,13862,4,6905,0,7631,1,12038,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000261l,73641,6503,17596,3652,8778,3832,9279,6609,17392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000263l,179364,10664,44829,5563,28354,5827,29557,10164,44406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000265l,42418,12628,1,8050,1,7166,1,14568,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000266l,73776,22270,194,13583,81,12015,53,25381,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000274l,26795,775,6966,558,5266,565,4915,810,6940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000277l,89492,1725,19922,1603,19193,2261,22704,1854,20230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000279l,38476,707,8619,656,8261,923,9768,761,8781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000281l,209913,4059,46967,3744,44961,5282,53015,4339,47546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000283l,54239,16166,0,10366,1,9084,0,18622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000284l,74263,1402,16610,1303,15925,1834,18849,1507,16833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000286l,147823,50939,0,24696,0,28144,1,44042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000288l,68818,7449,15559,4216,7830,4235,7904,7473,14152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000291l,40776,14076,0,6790,0,7757,0,12153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000298l,59657,18326,7,11280,7,9693,0,20337,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000300l,54189,1140,12217,1386,13691,984,11607,1062,12102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000302l,111203,33279,0,21029,0,18671,0,38224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000303l,41138,12233,3,7752,0,7052,0,14098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000304l,46985,13905,0,8940,0,7972,0,16168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000305l,82942,1592,18557,1475,17738,2083,20916,1709,18872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000308l,96798,33287,0,16360,0,18287,0,28864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000311l,79502,4550,19858,2560,12767,2590,13077,5076,19024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000320l,36762,12728,1,6115,0,6911,0,11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000325l,86555,25813,1,16584,40,14367,65,29634,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000327l,136398,46956,1,22854,2,25888,2,40691,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000328l,60100,17835,0,11231,0,10396,0,20638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000332l,103597,8788,24605,4864,14082,5005,13787,8779,23687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000333l,91447,26997,0,17543,3,15269,0,31634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000334l,55940,16711,2,10658,0,9266,0,19303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000341l,118507,1797,27242,2170,30788,1527,26097,1673,27213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000343l,82899,12195,15998,9981,9549,5772,9560,10917,8927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000344l,63340,21720,0,10334,0,11937,0,19349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000346l,87545,29703,713,14521,350,16141,283,25254,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000348l,38004,13017,3,6274,0,7394,1,11313,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000349l,29920,10246,0,5169,0,5573,0,8932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000350l,22864,2584,4482,1064,3303,990,3746,2449,4246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000353l,68193,23750,3,11209,0,12848,0,20382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000356l,60501,18286,4,11415,1,10186,0,20605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000360l,146347,2976,33227,3619,37060,2570,31360,2772,32763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000361l,183806,6098,39646,6881,43995,5382,37224,5690,38890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000363l,31814,1682,8275,863,4534,811,4699,1774,9176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000364l,27826,531,6222,492,5958,693,7059,570,6301,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000365l,59131,4188,14742,1996,9206,1950,8452,3652,14945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000366l,39076,13506,0,6664,0,7417,0,11489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000367l,91784,27881,0,16973,4,15602,0,31323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000368l,118657,2269,26490,2111,25485,2980,30150,2439,26733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000372l,69513,21098,195,12758,82,11271,54,23855,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000373l,39197,1507,11385,700,5595,800,6191,1560,11459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000374l,38140,3584,7836,1921,5672,1967,5330,4180,7650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000375l,39778,859,8935,1061,10001,748,8488,803,8883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHa.000376l,60863,17842,13,11528,4,10380,7,21085,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
