Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
BCMb.chr1,63227820,13893235,7264268,7012387,3463974,7033618,3454602,13852423,7235313,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
BCMb.chr5,76857694,20792760,4448680,11108271,2074971,11073147,2081562,20794955,4472848,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
BCMb.chr2,78324852,20984581,4767143,11178139,2254037,11132881,2248777,20956977,4783317,0,0,0,0,0,0,0,0,0,0,0,0,0,19000
BCMb.chr3,81564019,22078780,4629460,11817809,2152347,11885829,2152614,22209183,4615497,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
BCMb.chr4,78389132,20301149,5771851,10466570,2680956,10432979,2674776,20279492,5758859,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
BCMb.chr7,64394628,17377635,3579601,9582164,1658665,9535564,1664626,17392670,3583703,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
BCMb.chr8,54196680,12940661,4994293,6727040,2390493,6777869,2396634,12930712,5019478,0,0,0,0,0,0,0,0,0,0,0,0,0,19500
BCMb.chr9,65476547,17209248,4406287,9155956,2071047,9054529,2072502,17052837,4435141,0,0,0,0,0,0,0,0,0,0,0,0,0,19000
BCMb.chr6,76812500,20801069,4491101,10991385,2075365,11003626,2077682,20841539,4503233,0,0,0,0,0,0,0,0,0,0,0,0,0,27500
BCMb.chrY,107756508,30598987,4826394,16191563,2299908,16148257,2293798,30565528,4805573,0,0,0,0,0,0,0,0,0,0,0,0,0,26500
BCMb.11,44954,12338,3130,6231,1577,6065,1549,11147,2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.12,30049,810,7848,566,5412,558,5859,775,8221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.13,31105,9067,700,4551,334,5627,391,9490,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.14,40776,1541,11855,718,5883,819,6436,1579,11945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.15,46851,4186,10512,1997,7113,1950,6559,3652,10882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.16,41938,1663,10529,1011,7074,955,7493,1731,11482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.17,42828,3682,9439,1991,6357,2031,6227,4227,8874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.18,46503,3632,10915,1839,6191,1726,6221,3684,12295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.19,57392,6940,12390,3830,6090,3874,6048,6969,11251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.20,38995,2287,9567,1270,5738,1219,5690,2382,10842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.21,36434,637,8369,752,9347,543,7891,588,8307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.22,22718,349,5150,323,5024,444,5961,377,5090,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.23,51749,872,11763,1030,13422,737,11350,804,11771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.24,28160,480,6509,564,7200,405,6132,441,6429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.25,42794,2390,12218,1223,6278,1279,6228,2297,10881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.26,116316,1844,26505,1853,26766,2068,28681,1900,26699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.27,29380,441,6728,405,6409,564,7585,480,6768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.28,32634,441,7481,405,7233,564,8604,480,7426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.29,16629,272,5054,173,2638,166,2716,284,5326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.30,38842,1774,11619,811,5914,863,5841,1682,10338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.31,23171,2654,3883,1356,3499,1390,3076,3247,4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.32,26461,446,6005,539,6916,387,5805,413,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.33,29635,605,6761,729,7443,523,6343,561,6670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.34,32613,640,7578,752,8165,540,6956,588,7394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.35,35824,587,8171,544,7792,752,9202,636,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.36,39851,799,9168,935,9962,675,8512,734,9066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.37,129444,2189,29773,2585,33275,1874,28200,2037,29511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.38,51682,6893,7327,5767,6247,5455,6034,6631,7328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.39,98500,29168,11,18607,3,16321,4,33877,9,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.40,60000,17803,1,11402,2,10026,2,20761,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMb.41,59500,18966,0,10457,0,10595,0,18982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.42,45500,15123,0,7611,0,8435,0,13831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.43,76000,25745,8,12356,1,14356,3,22525,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BCMb.44,142500,47687,0,24395,0,26156,1,43761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.45,108500,32048,1,20529,1,18129,2,37290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.46,175000,55726,1005,29999,407,30811,427,53863,762,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
BCMb.47,52500,18069,0,8774,0,9695,0,15462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.48,143500,47029,8,24739,5,26053,3,44153,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
BCMb.49,149500,47189,4,26791,4,26499,2,48506,5,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.50,74500,25720,2,12456,7,13873,2,21939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.51,85500,24965,1,16072,2,14369,2,29587,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.52,27500,8725,1,4749,1,4884,1,8639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.53,26500,9019,1,4337,0,4945,0,7697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMb.54,21616,7392,0,3519,0,4144,0,6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
