Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
DPFBa.chr1,64110406,14072911,7269263,7200845,3479342,7198755,3489609,14102263,7294818,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
DPFBa.chr5,80376120,21944209,4455912,11640060,2070566,11693261,2068940,22044921,4456751,0,0,0,0,0,0,0,0,0,0,0,0,100,1400
DPFBa.chr2,80341616,21580921,4931535,11543436,2327007,11396839,2332773,21317056,4908649,0,0,0,0,0,0,0,0,0,0,0,0,0,3400
DPFBa.chr3,83258303,22729853,4704022,12106551,2189689,12045347,2194413,22575773,4710255,0,0,0,0,0,0,0,0,0,0,0,0,100,2300
DPFBa.chr4,81614901,21232145,5803652,11045523,2708981,11045247,2703408,21266711,5805234,0,0,0,0,0,0,0,0,0,0,0,0,100,3900
DPFBa.chr7,69073938,18555918,3962142,10282319,1873294,10232453,1872309,18462680,3830523,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
DPFBa.chr8,55097749,13164305,4990057,7024024,2389204,6977674,2387434,13194556,4967695,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
DPFBa.chr9,66086351,17406150,4383067,9288362,2067263,9208872,2069706,17255350,4404681,0,0,0,0,0,0,0,0,0,0,0,0,100,2800
DPFBa.chr6,79554796,21674963,4520658,11544520,2090599,11544206,2092492,21561359,4522599,0,0,0,0,0,0,0,0,0,0,0,0,0,3400
DPFBa.chrX,83237971,20875709,6579110,11063104,3131788,11060751,3122846,20840706,6560757,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
DPFBa.000045l,170009,49966,0,32256,0,28584,0,59203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000054l,72964,13637,6270,11406,5026,11737,5186,13236,6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000055l,26096,983,7768,650,3975,580,3795,963,7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000080l,43666,809,13014,565,7301,558,7941,774,12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000095l,255062,87913,1,42227,1,47663,0,77257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000123l,137384,47677,0,22923,0,25909,0,40875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000129l,68674,1157,15685,1345,17214,1072,15649,1103,15449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000144l,41288,14387,3,6973,0,7839,1,12085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000149l,229636,79201,0,38809,0,43457,0,68169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000150l,33672,1590,8867,790,4948,736,5023,1681,10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000151l,236473,70337,1,43382,0,40371,1,82381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000154l,30256,559,6776,513,6463,718,7635,601,6991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000156l,29979,2970,6342,1469,4248,1537,3973,3546,5894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000158l,295795,87963,616,70717,497,58936,619,75775,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000163l,89483,30651,2,15328,0,16935,0,26567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000167l,36216,1302,10412,641,5339,834,5880,1274,10534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000173l,248598,86088,1,41073,0,47576,4,73850,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000176l,231978,67737,909,43911,364,38248,446,79538,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000179l,44527,900,10006,1090,11299,775,9589,850,10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000180l,35514,1774,10572,811,5270,863,5249,1682,9293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000183l,30799,559,6933,513,6583,718,7753,601,7139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000184l,51100,3680,12012,1992,7926,2031,8062,4231,11166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000191l,159611,47745,0,30102,0,26725,0,55039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000195l,254079,87662,768,42206,192,47540,204,74781,726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000211l,187913,54718,7302,27421,4015,27837,3992,54669,7959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000219l,84578,25162,4,16114,4,14138,3,29151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000220l,101190,30307,9,19514,2,16766,4,34586,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000230l,305923,104815,1,52324,9,58199,3,90563,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000231l,50729,3673,11610,1988,7784,2035,8059,4237,11343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000236l,212512,73641,0,35795,0,40366,0,62709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000238l,238901,4759,54147,5782,60785,4109,51387,4436,53496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000244l,31278,1150,8718,690,5161,715,5786,1102,7956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000246l,36421,968,10975,607,6076,439,5509,976,10871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000248l,381726,132133,0,64042,1,71896,0,113654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000250l,63041,6348,14144,3686,7686,3528,7134,6233,14282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000252l,39050,2731,9290,1312,6013,1307,6460,2361,9576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000253l,59928,4936,13130,2517,9520,2474,9309,4379,13663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000255l,44612,3627,10216,1929,6186,1966,6682,4157,9849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000257l,61463,18286,0,11635,1,10380,0,21160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000261l,45193,4048,9528,1871,7330,1851,7158,3470,9937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000262l,211017,62433,0,40571,0,35858,1,72153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000265l,285244,5452,63770,5046,61178,7115,72284,5838,64561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000266l,143808,49610,1,23849,1,27457,0,42890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000267l,26212,531,5829,492,5568,693,6530,570,5999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000269l,33110,955,8498,636,5936,639,6259,958,9229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000271l,130043,38523,2,23053,3,23898,14,44543,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBa.000274l,142775,49486,0,24150,0,26876,0,42263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
