Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
S8Hb.chr1,65823800,14738973,7209733,7499138,3438391,7512489,3441527,14745678,7225171,0,0,0,0,0,0,0,0,0,0,0,0,300,12400
S8Hb.chr5,78452670,21359763,4415065,11310150,2048349,11355804,2042506,21498481,4405652,0,0,0,0,0,0,0,0,0,0,0,0,1100,15800
S8Hb.chr2,78346946,21101481,4800679,11101725,2261901,11060148,2265121,20952836,4786855,0,0,0,0,0,0,0,0,0,0,0,0,600,15600
S8Hb.chr3,81167411,22134557,4563477,11790756,2128981,11773982,2135474,22043000,4576884,0,0,0,0,0,0,0,0,0,0,0,0,900,19400
S8Hb.chr4,82256615,21456833,5796385,11123575,2701983,11154120,2696042,21510218,5799459,0,0,0,0,0,0,0,0,0,0,0,0,500,17500
S8Hb.chr7,64597212,17566819,3679019,9398100,1707970,9340263,1698361,17550256,3640724,0,0,0,0,0,0,0,0,0,0,0,0,600,15100
S8Hb.chr8,56210192,13517927,4998970,7183416,2403803,7148441,2403084,13552411,4988740,0,0,0,0,0,0,0,0,0,0,0,0,700,12700
S8Hb.chr9,63823589,16610328,4378644,8771410,2055114,8819790,2054261,16760206,4358336,0,0,0,0,0,0,0,0,0,0,0,0,600,14900
S8Hb.chr6,78729727,21474098,4521678,11339185,2075098,11268636,2075927,21437076,4522029,0,0,0,0,0,0,0,0,0,0,0,0,800,15200
S8Hb.chrX,82519352,20771252,6460466,10992184,3060311,10972248,3060841,20728932,6453518,0,0,0,0,0,0,0,0,0,0,0,0,600,19000
S8Hb.000008l,154055,47925,1881,25301,875,26169,830,49294,1780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000020l,115761,1691,26773,2027,30161,1429,25530,1571,26579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000058l,68077,6527,10038,4030,7438,6445,8672,7109,17818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000096l,52203,15020,89,9183,1,9385,462,17774,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000122l,270599,93442,3,45847,0,50834,2,80468,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000123l,245051,76461,3283,40032,2159,40111,2024,77254,3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000150l,419905,144063,0,70672,0,80196,0,124974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000184l,83017,15657,7938,10801,4316,11918,5481,18432,8474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000206l,185724,64303,1,31070,2,34918,0,55430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000208l,31669,10929,66,8113,28,6382,14,6046,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000216l,217911,76280,4,36056,5,39982,6,65575,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000219l,209068,72792,0,35236,0,39490,0,61550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000231l,158638,54302,0,26796,0,30158,0,47382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000241l,210589,72672,0,35110,0,39997,0,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000251l,91533,28883,2750,14635,1067,12919,1051,27818,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000254l,45308,13787,2,8433,2,7512,0,15572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000258l,122168,36698,0,22943,0,20392,0,42135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000307l,115886,39839,4,19758,1,22080,2,34198,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000329l,117470,40371,0,19409,0,22286,0,35403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000365l,142273,41826,0,27016,0,24087,0,49344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000385l,58199,867,13545,1021,15089,730,12799,809,13339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000404l,173610,59465,8,28728,2,32617,6,52777,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000412l,231034,68689,0,43830,0,38636,0,79879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000417l,144365,44899,2542,22121,1081,23493,1136,46330,2763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000436l,211396,72714,1,35484,1,40063,0,63130,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000458l,356905,122726,0,60036,1,67232,0,106903,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000470l,77192,26548,0,12737,0,14969,0,22938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000487l,36738,11025,108,6956,95,6691,101,11567,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000488l,238459,72364,8,44771,6,38934,2,82366,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000515l,384114,114301,29,74222,19,64585,22,130887,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000531l,196009,58688,0,36521,0,33171,0,67629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000532l,209757,71977,0,35183,1,39867,0,62729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000563l,210578,72751,2,35232,6,39998,2,62587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000575l,135487,40462,0,25471,0,22608,0,46945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000582l,180758,62428,0,30769,1,34263,1,53296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000596l,197756,59223,0,37246,0,33190,0,68097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000627l,118914,35081,4,22669,3,19955,2,41195,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000632l,619685,173479,30281,90157,14952,91599,15030,174388,29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000638l,39223,523,8997,476,8685,677,10254,561,9050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000651l,341754,118215,12,57414,12,65033,2,101064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000672l,180078,53660,0,34210,2,30037,0,62166,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000737l,144730,50194,0,24357,0,27404,0,42775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000769l,38602,11604,0,7223,0,6434,0,13341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000771l,87993,30563,0,14772,1,16703,0,25954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000778l,56303,1047,12623,970,12097,1364,14300,1125,12777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000796l,119547,35333,2,22627,1,20346,0,41236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000808l,190626,65472,2,32570,1,35917,3,56660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000828l,281359,83875,548,53214,232,47185,178,95723,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000844l,132796,39108,0,24877,0,22759,0,46052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000868l,318293,99364,6,58294,6,55993,6,104621,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000873l,188635,64335,0,31197,0,36602,0,56501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000875l,477554,164810,0,79661,0,90766,0,142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000889l,255574,75773,8,48603,2,43599,6,87582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000905l,43909,665,10098,809,11364,572,9645,624,10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000934l,68373,21057,0,12685,0,11206,0,23425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000940l,263012,76173,9121,42796,4124,41769,3633,76359,9037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000941l,241184,3942,54825,3650,52324,5024,61734,4290,55395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000942l,84811,28998,6,14324,0,16189,7,25278,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000945l,56380,19524,0,9695,1,10580,0,16580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000948l,132815,33940,10037,17867,4987,18210,4561,34271,8942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000960l,218310,64250,1,41106,1,37516,0,75436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000968l,39775,674,9141,820,10174,574,8672,627,9093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000970l,27803,8270,0,5296,1,4633,0,9602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000972l,492398,170220,0,82763,2,91379,0,148034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000976l,265095,91403,1,44463,0,50131,2,79093,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000982l,171019,2833,39352,3315,44094,2349,37404,2586,39086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000995l,45970,706,10633,843,11886,595,10078,656,10573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.000996l,238532,82194,0,39440,0,44908,0,71990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.001003l,163235,48074,0,31022,0,27397,0,56742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.001006l,235954,69277,10688,32888,5163,33127,5155,69226,10430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Hb.001011l,47571,14285,31,8790,8,7761,11,16658,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
