Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
TKFBa.chr1,65963587,14846440,7224676,7555407,3436650,7508788,3430171,14753909,7203446,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
TKFBa.chr5,79712815,21756967,4463720,11636873,2079369,11556955,2081518,21662264,4470349,0,0,0,0,0,0,0,0,0,0,0,0,100,4700
TKFBa.chr2,76663250,20387848,4866073,10806902,2303340,10797219,2293877,20324988,4879603,0,0,0,0,0,0,0,0,0,0,0,0,0,3400
TKFBa.chr3,82409869,22314608,4674290,11932401,2175785,11981429,2172108,22496059,4660989,0,0,0,0,0,0,0,0,0,0,0,0,200,2000
TKFBa.chr4,81173533,21064118,5858380,10891876,2751859,10911744,2750993,21088089,5852874,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
TKFBa.chr7,67888553,18402867,3739027,10015091,1777424,10028122,1779314,18350340,3794468,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
TKFBa.chr8,54128025,12903421,4966737,6787354,2392050,6832972,2402400,12838425,5002066,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
TKFBa.chr9,65601739,17381425,4300052,9231040,2030946,9152040,2033191,17147320,4322725,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
TKFBa.chr6,76281775,20640817,4488589,10910973,2062080,10942832,2061362,20677219,4493903,0,0,0,0,0,0,0,0,0,0,0,0,100,3900
TKFBa.chrX,85147934,21488495,6552220,11376538,3113083,11421339,3114025,21504976,6573358,0,0,0,0,0,0,0,0,0,0,0,0,100,3800
TKFBa.000012l,422379,103820,345,81345,117,96100,138,140161,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000046l,90996,1546,20953,1807,23412,1325,19784,1424,20745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000049l,22434,294,5141,274,5004,374,5944,318,5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000081l,159534,5152,33679,4794,32160,5786,38027,5883,34053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000086l,75224,25976,0,12721,0,14184,1,22341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000100l,639488,183732,25882,94803,12391,98824,12415,185240,26201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000110l,57663,956,13208,1123,14927,823,12582,884,13160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000120l,244978,83832,241,40953,118,46562,95,72993,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000127l,39428,13572,0,6442,0,7551,0,11863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000133l,149060,44163,0,28417,0,25153,0,51327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000152l,92773,27536,0,17655,1,15722,0,31859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000172l,34232,3680,7665,2119,3526,2199,4083,3668,7292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000177l,138400,41605,5,25689,2,23181,1,47916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000181l,23922,477,5616,561,5919,411,5061,441,5436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000198l,45174,15447,0,7482,0,8701,1,13541,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000204l,121383,35534,5,23039,2,20467,0,42332,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000205l,24438,3047,4556,1417,3348,1360,3799,2576,4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000207l,99847,29689,8,19161,0,16911,1,34074,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000210l,205259,3495,47169,4114,52843,3015,44643,3239,46741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000225l,120365,41704,0,19940,0,22918,0,35803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000228l,24656,7343,0,4694,0,4134,0,8485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000234l,105997,1830,24191,2156,27375,1579,23115,1691,24060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000236l,37362,1938,10393,991,5051,1069,5600,1830,10490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000241l,52130,954,12048,1122,13235,822,11217,882,11850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000243l,195790,57748,1,37032,1,32946,0,68062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000245l,100274,29951,35,19081,1,16701,0,34505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000246l,68176,23166,0,11605,1,13231,1,20168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000253l,59252,954,13582,1122,15387,822,12973,882,13530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000255l,125733,36969,1,23946,1,21262,0,43553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000256l,30893,4439,5622,2431,2953,2241,2997,4273,5937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000267l,219818,65251,1,41060,1,37509,0,75995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000276l,272283,94805,0,48842,0,49471,0,79165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000284l,103423,31129,0,19454,0,17281,0,35559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000286l,33016,4211,6202,1985,4286,1932,4551,3616,6233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000287l,24108,785,6342,506,3872,534,3872,806,7391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000288l,82968,16185,6969,13433,5319,13564,5055,15953,6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000289l,549049,160681,3,104334,2,92879,2,191146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000294l,185009,2943,42123,2740,40183,3738,47515,3179,42588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000295l,234786,69862,3,44624,0,39710,0,80587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000303l,504826,149279,1,96572,0,84095,0,174878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000304l,286043,77031,17064,41070,8285,39288,8001,78146,17158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000307l,310188,106986,0,52155,0,59372,0,91675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000309l,71149,1176,16186,1096,15373,1494,18145,1274,16405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000310l,27872,441,6378,411,6045,561,7126,477,6433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000312l,36090,588,8201,548,7824,748,9253,636,8292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000313l,76328,23176,1,14361,0,12720,1,26068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000318l,92471,32207,0,15651,0,17429,0,27184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000320l,55100,19209,0,9103,0,10489,0,16299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000321l,197755,58880,248,37207,112,33004,175,67939,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000322l,208087,61608,0,39661,0,34878,0,71940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000325l,175241,60283,0,29248,0,33285,0,52424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000330l,50534,17253,0,8502,0,9675,0,15104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000332l,77453,1324,17620,1233,16705,1683,19668,1431,17789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000333l,71419,21122,3,13543,0,12167,1,24581,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000335l,29198,3595,6312,1687,3149,1805,3127,3538,5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000336l,91912,31466,10,15379,2,17541,6,27500,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000338l,34621,1711,10281,767,5237,814,5087,1618,9106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000342l,28541,3366,5951,1734,3106,1606,3130,3379,6269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000343l,69421,1176,15788,1096,14967,1496,17666,1272,15960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000344l,232199,68131,0,44069,0,39202,0,80797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000345l,45193,13219,0,8815,0,7583,0,15576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000349l,47470,4184,10528,1973,6805,1921,7034,3593,11432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBa.000350l,133221,2982,29914,3072,33376,2948,28454,2767,29708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
