Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
EH23a.chr1,65878799,14682163,7271965,7482811,3467685,7489084,3471100,14719007,7290984,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
EH23a.chr5,78494000,21341994,4455205,11291910,2068106,11361484,2064869,21463047,4444385,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
EH23a.chr2,78431500,21082855,4837213,11112037,2272064,11083165,2274791,20949851,4814024,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
EH23a.chr3,84599500,23084523,4686104,12369269,2189090,12364888,2196353,23003842,4701931,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
EH23a.chr4,81926421,21330566,5791571,11097425,2703577,11109510,2696762,21398914,5792596,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
EH23a.chr7,65496500,17824469,3721759,9541081,1723342,9493333,1717535,17796585,3670896,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
EH23a.chr8,55717500,13362594,5007840,7084149,2406453,7070539,2402798,13387637,4992990,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
EH23a.chr9,66061500,17201616,4400272,9174087,2067146,9281816,2064149,17487561,4382353,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
EH23a.chr6,78694280,21417614,4579348,11295487,2101757,11228239,2101470,21389843,4577522,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
EH23a.chrX,84640807,21354344,6586296,11325953,3133321,11256202,3131320,21276972,6571899,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
