Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
DPSVb.chr1,66738060,14895839,7282255,7648702,3472487,7634841,3476177,15024391,7302668,0,0,0,0,0,0,0,0,0,0,0,0,0,700
DPSVb.chr5,83063140,22829618,4499291,12049518,2089266,12141450,2082255,22882445,4489097,0,0,0,0,0,0,0,0,0,0,0,0,0,200
DPSVb.chr2,80456616,21722818,4845483,11501831,2290022,11440509,2289104,21538895,4827554,0,0,0,0,0,0,0,0,0,0,0,0,200,200
DPSVb.chr3,88836356,24090119,4702422,13091984,2199411,13257463,2194907,24608416,4690534,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
DPSVb.chr4,83952241,22028996,5784943,11447796,2700571,11487510,2692298,22023409,5786418,0,0,0,0,0,0,0,0,0,0,0,0,0,300
DPSVb.chr7,65239501,17718037,3624403,9630280,1698196,9631394,1701330,17588171,3646390,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
DPSVb.chr8,51060514,12243738,4570653,6482713,2210940,6523456,2212762,12222676,4592676,0,0,0,0,0,0,0,0,0,0,0,0,0,900
DPSVb.chr9,68123634,17913077,4441144,9520529,2094436,9589397,2082394,18073245,4409212,0,0,0,0,0,0,0,0,0,0,0,0,0,200
DPSVb.chr6,83242830,22952827,4550601,12104232,2087397,12073762,2088985,22836009,4548717,0,0,0,0,0,0,0,0,0,0,0,0,0,300
DPSVb.chrX,85829766,21693423,6586311,11527038,3120414,11529659,3118267,21685705,6568549,0,0,0,0,0,0,0,0,0,0,0,0,0,400
DPSVb.000020l,1307083,391720,9,248334,4,219937,0,447066,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000022l,159900,2748,35944,2544,34646,3583,41080,2955,36400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000023l,249904,4641,56103,4464,55241,5801,62153,4902,56599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000042l,398338,138179,12,66816,12,75018,0,118301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000051l,71509,1336,15975,1240,15423,1746,18261,1437,16091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000052l,946502,325626,152,159674,165,180474,18,280367,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000055l,100195,1416,22626,1312,22173,1847,26465,1521,22835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000060l,77178,1593,17205,1475,16367,2080,19277,1712,17469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000062l,174229,3309,39018,3065,37284,4320,44049,3550,39634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000064l,342682,24737,82120,13769,50472,13724,48632,25612,83616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000066l,662431,231440,22,114147,13,122065,7,194733,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000067l,305676,106798,0,54112,1,55295,2,89464,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000070l,54487,2336,10804,2482,10373,2535,12270,2621,11066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000071l,96207,1770,21507,1639,20663,2310,24482,1901,21935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000073l,148144,2832,33105,2625,31730,3696,37511,3039,33606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000074l,62097,1556,13950,1687,15335,1226,13016,1495,13832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000077l,167537,3158,37517,2929,35918,4133,42486,3390,38006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000078l,48872,1062,10873,984,10304,1386,12098,1140,11025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000079l,31127,570,7121,693,7981,492,6756,531,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000080l,461183,113169,33805,64844,19717,63183,19257,111989,35219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000081l,105353,2089,23877,2541,26810,1806,22661,1948,23621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000082l,130455,35884,230,26224,143,28983,81,38754,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000085l,68344,1416,15237,1311,14496,1849,17036,1520,15479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000086l,103556,1975,23214,1825,22169,2564,26157,2124,23528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000087l,327225,112882,13,55592,4,62776,2,95952,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000088l,443401,89415,60485,42313,28097,44779,28483,88590,61239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000089l,88634,18293,11247,8126,5654,7902,6016,18351,13045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000090l,55011,6757,11514,3744,5763,3797,5865,6826,10745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000091l,37996,792,8617,950,9607,677,8134,735,8484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000092l,34472,1783,9637,970,5507,1001,5406,1703,8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000093l,208912,4314,47491,5252,52753,3722,44653,4023,46704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000094l,51357,912,11551,841,11052,1180,13064,982,11775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000095l,122392,2556,27747,3121,30851,2212,26143,2382,27380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000096l,78238,1593,17424,1475,16603,2080,19551,1710,17802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000097l,41057,950,9385,1155,10126,820,8622,885,9114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000098l,142773,2655,31984,2459,30704,3466,36370,2851,32284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000099l,59024,1075,13236,991,12643,1391,14979,1155,13554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000100l,104781,1974,23427,1826,22461,2567,26546,2121,23859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000101l,124118,2314,27813,2139,26596,3006,31437,2486,28327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000102l,101835,30150,3411,16473,1729,14544,1609,30451,3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000103l,55882,1062,12489,984,11984,1386,14162,1140,12675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000104l,102871,1947,23013,1804,22052,2541,26071,2090,23353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000105l,119274,2471,27099,3000,30119,2129,25501,2300,26655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVb.000106l,92489,1933,20924,2357,23384,1670,19787,1801,20633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
