Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
GERv1a.chr1,67522164,15155454,7317862,7770443,3491877,7760354,3500378,15188243,7336953,0,0,0,0,0,0,0,0,0,0,0,0,200,400
GERv1a.chr5,78831065,21382393,4494743,11407638,2093020,11391297,2102339,21446468,4512367,0,0,0,0,0,0,0,0,0,0,0,0,100,700
GERv1a.chr2,76360155,20292656,4765149,10734889,2261450,10795207,2251154,20480475,4778075,0,0,0,0,0,0,0,0,0,0,0,0,100,1000
GERv1a.chr3,82923160,22482276,4657897,12121932,2173439,12124962,2172638,22545200,4644316,0,0,0,0,0,0,0,0,0,0,0,0,100,400
GERv1a.chr4,80673333,21162616,5635724,10906989,2632928,10927517,2631487,21134014,5641058,0,0,0,0,0,0,0,0,0,0,0,0,100,900
GERv1a.chr7,72556612,19817396,3817151,10826051,1773666,10829268,1769785,19899097,3822498,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
GERv1a.chr8,65955441,16005484,5740150,8471393,2749283,8515143,2755546,15960466,5757476,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GERv1a.chr9,67238139,17684384,4147293,9582036,1951510,9725977,1954236,18065866,4125437,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
GERv1a.chr6,83237951,22596101,4546747,12157845,2148572,12386393,2149937,22694091,4555565,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
GERv1a.chrX,74868845,18815346,5735404,10076650,2730658,10103885,2741611,18885740,5778751,0,0,0,0,0,0,0,0,0,0,0,0,0,800
GERv1a.000049l,99960,1746,22989,2066,25612,1496,21699,1616,22736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000077l,19650,5709,764,3693,342,2837,324,5121,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000078l,33924,966,10151,608,5645,438,5100,971,10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000083l,30564,191,6189,325,8177,318,9170,208,5986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000088l,21543,2309,4882,1196,2501,1284,2438,2361,4572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000094l,343715,62180,52719,31197,25182,29309,25202,66220,51706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000096l,33484,1678,8844,989,5224,1006,5878,1797,8068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000099l,391147,115272,8310,63491,4215,66515,4787,119469,9088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000100l,33122,727,9699,524,6010,521,5584,747,9310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000101l,257580,88659,0,43007,0,48851,1,77062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000102l,162747,2863,37241,3384,41765,2448,35380,2646,37020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000105l,185129,19181,32659,16140,24714,16003,24611,19531,32290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000108l,31457,5232,5017,3055,2336,3059,2695,5359,4704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000109l,52073,4952,11977,3026,6468,2875,5898,4982,11895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000114l,34412,1911,9979,886,5028,954,4898,1813,8943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000115l,32020,775,8725,558,5970,565,5663,810,8954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000117l,34382,3621,6588,1932,4836,1983,4601,4188,6633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000118l,27297,810,7644,565,4753,558,5210,775,6982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000119l,33692,3620,6281,1933,4752,1983,4498,4187,6438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000120l,29684,441,6755,408,6535,564,7780,477,6724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000122l,22069,3720,3440,2183,1847,1986,1864,3375,3654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000123l,21757,1473,5526,743,2786,686,3089,1528,5926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000125l,24942,3180,4978,1886,2399,1907,2773,3126,4693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000127l,57301,1113,13135,1316,14449,952,12303,1029,13004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000129l,25980,810,7068,565,4572,558,5049,775,6583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000130l,21501,972,6241,439,2949,607,3464,966,5863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000131l,29576,4154,5173,1965,3752,1905,4081,3591,4955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000132l,23396,446,5249,539,5991,387,5067,413,5304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000133l,77831,1303,17983,1529,20022,1109,16947,1204,17734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000134l,49535,3521,12093,1733,7755,1723,7102,3197,12411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000135l,198439,69408,19,34290,5,36720,8,57973,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000136l,66031,1029,15039,952,14388,1316,17010,1113,15184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000137l,24081,3465,4412,1489,2864,1433,3008,2892,4518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000138l,24643,3465,4536,1490,3004,1433,3172,2892,4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000139l,25784,972,7387,439,3720,607,4048,967,7644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000141l,51926,1758,14680,992,8290,1152,9035,1719,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000142l,77483,1405,17885,1659,19718,1204,16707,1304,17601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000143l,34842,642,8082,758,8793,550,7495,593,7929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1a.000144l,222872,62467,11542,31399,5636,30613,5629,63750,11836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
