Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
H3S1b.chr1,65462195,14594266,7295117,7404218,3471136,7420202,3462363,14545597,7264296,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
H3S1b.chr5,74375271,20094602,4420832,10636457,2050886,10660797,2048475,20046864,4411358,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
H3S1b.chr2,76330000,20369757,4873947,10740715,2298258,10669272,2302332,20204882,4862837,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
H3S1b.chr3,81763500,22190540,4574868,11927398,2124924,11950492,2119940,22322267,4551571,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
H3S1b.chr4,79843000,20583814,5796731,10765720,2705067,10794736,2705313,20683621,5801998,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
H3S1b.chr7,65983500,17982958,3594715,9799606,1670474,9763322,1664789,17911944,3591192,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
H3S1b.chr8,54786805,13109345,4952137,6930296,2383215,6968185,2392401,13058391,4983835,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
H3S1b.chr9,66525729,17562252,4402975,9454302,2076524,9300209,2074307,17227055,4423105,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
H3S1b.chr6,74785771,20223034,4416532,10669048,2032470,10716317,2030184,20264977,4422709,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
H3S1b.chrX,83522000,20973124,6555283,11202960,3098199,11172555,3098801,20887739,6526339,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
H3S1b.11,32000,10959,2,5502,0,6079,1,9456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.12,179000,61627,0,29952,0,33617,0,53804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.13,52000,15638,0,9767,0,8706,0,17889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.14,49000,14763,0,9167,0,8155,1,16914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.15,33000,9858,0,6245,0,5525,0,11372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.16,69000,23725,2,11542,0,13204,0,20526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.17,20000,6260,0,3692,1,4169,0,5878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.18,24000,8259,0,3981,0,4617,0,7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.19,37000,12756,0,6167,0,7065,2,11008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.20,48000,16042,1,8161,0,8961,0,14834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.21,127000,36856,4,24664,2,22101,2,43370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.22,83000,24946,354,14985,200,14036,194,27875,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.23,19000,5710,0,3577,0,3208,0,6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.24,97000,29099,0,18124,0,16224,0,33553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.25,190000,56516,0,36383,0,32054,0,65047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.26,33000,9921,3,6197,2,5510,3,11362,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.27,166000,49676,507,30582,280,27376,267,56667,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.28,20000,5936,0,3766,0,3297,0,7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.29,148000,43864,3,28248,2,24684,0,51194,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.30,170000,51123,0,31458,0,28016,0,59403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.31,106000,31652,0,19994,0,17798,0,36556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.32,40000,13991,0,6613,0,7495,0,11901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.33,69000,20410,559,12610,302,11186,329,23086,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.34,72000,21493,0,13573,0,12246,0,24688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.35,372000,76035,42799,45006,21631,41111,20942,82310,42166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.36,21000,6253,0,4001,0,3531,0,7215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.37,26000,8966,0,4351,0,4892,0,7791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.38,17000,5815,78,2782,15,3083,21,5132,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.39,108500,35862,7,18874,0,19755,1,33496,5,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.40,79500,25988,2,13791,1,14447,0,24771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.41,126500,42395,836,20499,481,23171,538,36926,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.42,25000,8639,0,4173,0,4650,0,7538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.43,39000,13477,0,6570,0,7381,0,11572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.44,19000,6569,0,3179,0,3631,0,5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.45,42000,12475,0,7875,0,7171,0,14479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.46,284500,84377,1,53120,1,48636,31,97813,21,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.47,17000,5066,10,3187,2,2871,5,5851,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.48,182000,54399,1,34353,2,30314,0,62931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.49,38000,11221,5,7221,2,6360,1,13189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.50,108500,32126,4,20736,2,18084,2,37041,5,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.51,32500,9529,1,6062,1,5441,0,10962,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.52,101000,30250,1,17607,4,18639,2,33495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S1b.53,91500,27585,3,16991,1,15717,2,30700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.54,99000,29292,0,18818,0,16941,0,33949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.55,59500,19321,3,10392,0,10792,1,18491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.56,39500,13423,1,6659,2,7359,0,11555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.57,91000,31074,0,15696,0,16896,2,27332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.58,65000,22412,5,10821,3,12394,1,19358,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.59,115000,39569,0,19245,0,21658,0,34528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.60,33500,11371,0,5543,0,6302,1,9783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.61,162000,55319,3,26840,1,30622,1,48212,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S1b.62,35405,973,10651,439,5218,607,5818,968,10731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.63,53000,18678,1,8868,1,9392,1,16055,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.64,122000,42226,0,20471,0,23130,0,36173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.65,392000,135864,0,65873,0,74301,0,115962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.66,31000,10756,0,5234,0,5940,0,9070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.67,52000,18126,6,8685,1,9916,3,15257,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.68,36000,12575,2,6031,0,6840,0,10552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.69,53500,10509,5221,5536,6096,5945,5111,9324,5258,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.70,48000,16522,3,8164,4,9160,2,14143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.71,61500,18232,0,11605,0,10229,0,20934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.72,34500,10147,1,6410,3,5744,4,11690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.73,538500,179109,1153,92693,468,98529,387,163754,907,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
H3S1b.74,101000,29633,0,19129,0,17152,0,35086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.75,66314,1259,15226,1480,16792,1089,14243,1165,15060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.76,97000,28655,0,18687,0,16028,0,33630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.77,17000,4987,0,3211,0,2905,0,5897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.78,106000,36227,0,17931,0,20381,0,31460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.79,43000,14720,9,7204,2,8210,7,12841,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.80,104000,30884,0,20080,0,17307,0,35728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.81,129968,38749,7,24313,4,22175,1,44712,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.82,231500,50663,15297,31520,12848,31301,13057,56303,19011,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
H3S1b.83,53000,15665,0,10053,0,9081,0,18201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.84,67500,20718,0,12267,0,11545,0,22470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.85,91500,28071,4,16622,2,15876,4,30415,6,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.86,67000,23386,0,11148,0,12720,0,19746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.87,39000,13577,2,6498,0,7467,0,11456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.88,85000,29488,2,14350,0,16122,2,25034,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.89,84000,29085,0,13984,0,15886,2,25041,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.90,51000,17569,0,8641,0,9650,0,15140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.91,28220,8407,4,5392,2,4777,0,9634,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.92,149500,51314,2,25278,0,28147,0,44258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.93,111500,32702,9,21110,8,18730,4,38429,8,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.94,98000,29280,0,18536,0,16369,0,33812,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.95,159500,48503,5,31893,4,25392,2,53195,6,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1b.96,20000,6871,1,3384,0,3744,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.97,96000,33175,9,16198,4,18035,5,28562,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.98,166000,49446,0,31729,0,28015,0,56810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.99,35000,12065,0,5848,0,6693,0,10394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.100,79000,26980,0,13104,0,15352,0,23562,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.101,22000,7541,0,3603,0,4248,0,6608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.102,16000,5483,3,2590,0,3103,0,4820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.103,57000,19533,1,9335,3,10948,4,17175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.104,99000,34237,4,16545,0,18862,1,29348,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1b.105,519500,177559,1,86535,1,97103,0,156800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
H3S1b.106,15000,4483,0,2879,1,2471,0,5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
