Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
KOMPa.chr1,63906500,14066587,7306519,7122418,3478554,7136220,3477027,14022920,7279755,0,0,0,0,0,0,0,0,0,0,0,0,0,16500
KOMPa.chr5,71130846,19010944,4414792,10066347,2053561,10038380,2057868,19036741,4435213,0,0,0,0,0,0,0,0,0,0,0,0,0,17000
KOMPa.chr2,78427500,20920508,4858600,11202903,2288630,11169421,2293303,20822991,4843644,0,0,0,0,0,0,0,0,0,0,0,0,0,27500
KOMPa.chr3,82296806,22460475,4573256,12044046,2139487,12002922,2145455,22308948,4596717,0,0,0,0,0,0,0,0,0,0,0,0,0,25500
KOMPa.chr4,78885000,20581481,5584425,10676459,2611039,10662797,2607141,20551222,5588436,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
KOMPa.chr7,65114206,17548750,3655644,9627898,1696535,9613882,1705468,17594738,3659791,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
KOMPa.chr8,54195185,12968284,4947385,6799453,2378253,6814641,2386102,12910999,4970568,0,0,0,0,0,0,0,0,0,0,0,0,0,19500
KOMPa.chr9,66475063,17310322,4411375,9369314,2068997,9431997,2069483,17408656,4386919,0,0,0,0,0,0,0,0,0,0,0,0,0,18000
KOMPa.chr6,74083650,19990652,4463364,10460894,2063119,10512316,2064095,20037379,4469331,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
KOMPa.chrX,84504832,21266320,6559354,11241760,3120524,11258190,3121590,21327557,6588537,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
KOMPa.11,394653,58738,78862,24797,34802,23895,34774,58206,80579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.12,26196,3646,5125,3132,3060,1927,3009,3444,2853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.13,18790,2472,2045,1379,2161,2247,2192,2620,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.14,20603,5542,2144,2225,757,2089,777,5288,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.15,23716,2058,4876,971,4025,928,3350,1733,5775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.16,25912,477,5868,564,6636,408,5635,441,5883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.17,26544,804,8171,531,4281,507,4304,783,7163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.18,28747,974,8389,439,4185,608,4663,968,8521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.19,41267,121,13561,97,6848,77,6730,148,13685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.20,37427,588,8585,544,8118,752,9542,636,8662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.21,27707,489,6370,575,7097,410,6015,447,6304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.22,27799,8459,16,5133,4,4676,5,9480,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.23,43734,3703,9741,2002,6464,2040,6350,4233,9201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.24,64845,203,22877,91,9391,107,9757,249,22170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.25,35619,971,10699,439,5266,607,5849,966,10822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.26,35858,599,9995,485,6896,364,6449,672,10398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.27,35893,636,8229,752,9194,544,7819,588,8131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.28,36717,906,10331,649,6765,659,6303,1026,10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.29,38269,247,11525,149,7107,159,7580,211,11291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.30,38341,5770,6863,3314,3361,3326,3329,5862,6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPa.31,19197,0,4577,0,4915,0,5045,0,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
