Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SN1v3a.chr1,66715356,14944240,7324505,7620420,3490209,7662104,3485286,14889419,7298473,0,0,0,0,0,0,0,0,0,0,0,0,0,700
SN1v3a.chr5,79240112,21510608,4547586,11494941,2113555,11456801,2118872,21444304,4553245,0,0,0,0,0,0,0,0,0,0,0,0,0,200
SN1v3a.chr2,72632050,19250804,4613194,10176231,2183391,10250878,2176173,19362041,4615838,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
SN1v3a.chr3,90100853,24850285,4767996,13289399,2224585,13348568,2225936,24608923,4784261,0,0,0,0,0,0,0,0,0,0,0,0,0,900
SN1v3a.chr4,85576379,22459886,5862548,11707405,2731117,11721324,2729154,22489604,5873341,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
SN1v3a.chr7,68799051,18694569,3801592,10118166,1776490,10201221,1773586,18624108,3806819,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
SN1v3a.chr8,56671025,13753635,4942772,7284777,2382317,7324083,2384870,13627526,4968945,0,0,0,0,0,0,0,0,0,0,0,0,100,2000
SN1v3a.chr9,68030955,17687563,4452932,9539113,2091019,9729410,2082424,18021680,4426814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.chr6,78324066,21175887,4500511,11275786,2085839,11353081,2084005,21327400,4520157,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
SN1v3a.chrX,88229260,22525766,6424847,12123299,3035578,12067790,3046894,22593599,6409987,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
SN1v3a.000002l,41819,3209,9837,1729,5958,1742,6491,3547,9306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000025l,7816600,2316457,237113,1240164,113575,1242325,113682,2313858,239426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000027l,33429,3635,7707,1712,3959,1843,3803,3593,7177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000033l,31559,977,9310,439,4621,607,5215,968,9422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000038l,22956,290,7112,137,3622,173,3812,315,7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000039l,35449,810,9956,565,6164,558,6656,775,9965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000042l,987803,266547,73634,125479,36580,141008,34923,236105,73527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000044l,49569,6262,9924,3615,5364,3452,4693,6146,10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000048l,29241,4117,5782,3502,3414,2034,3298,3906,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000049l,30391,968,9010,607,5023,439,4440,976,8928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000054l,25189,968,7225,607,4063,439,3440,975,7472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000058l,1126013,277481,92171,150181,43205,146864,43453,281830,90828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000061l,2104259,532191,120593,322454,58096,288003,57139,600835,124948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000063l,8499,88,2145,72,1876,59,2246,46,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000067l,44826,4259,9383,2049,6983,2001,6630,3698,9823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000075l,93042,21279,275,19176,159,22481,186,29136,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000077l,1383466,322400,140725,167328,64592,165290,62718,320435,139978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000078l,31552,1058,8242,667,5150,683,5190,1142,9420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000079l,1635249,319288,236038,153893,107420,154022,108325,318469,237794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000083l,122939,2098,28313,2469,31629,1789,26735,1939,27967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000091l,22504,976,6545,439,3122,607,3644,968,6203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000093l,30327,3548,5810,1524,4516,1506,3889,3011,6523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000094l,353061,103941,2,64389,0,61604,3,123122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000095l,32882,588,7453,544,7016,752,8230,636,7663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000096l,40747,1021,11336,650,6882,687,7535,1000,11636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000097l,56907,3948,13546,2177,8150,2146,8730,4357,13853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000098l,26234,3010,5806,1489,2929,1584,2866,3059,5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000099l,444500,140099,11103,69071,6071,77629,5641,124332,10554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000100l,43772,3590,9960,1921,6422,1973,6306,4186,9414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000102l,32429,5407,4934,3097,2865,3075,2516,5288,5247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000103l,37031,2437,8812,1352,6027,1359,5818,2834,8392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000105l,45786,13072,2347,7419,960,6985,1192,11152,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000108l,177293,51000,10428,22907,3977,23317,4206,51593,9865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000110l,33100,786,9371,553,5817,545,6170,752,9106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000112l,48518,3755,10738,2021,7602,2082,7820,4295,10205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000114l,44990,6378,8561,3560,4435,3656,4181,6349,7870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000115l,1759617,485822,102576,253643,47993,246871,46579,472281,103852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000118l,55082,3922,13675,1964,8513,2016,8135,4143,12714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000119l,42090,2230,10899,1078,6156,1048,6206,2237,12236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000120l,40099,2930,9387,1596,6297,1615,6084,3353,8837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000122l,35726,1526,9595,903,5816,918,6366,1588,9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000123l,31814,2142,7481,1176,4544,1153,4492,2245,8581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000124l,18348,308,4144,286,3982,397,4699,335,4197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000125l,51757,882,11749,816,11137,1127,13106,954,11986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000127l,28703,976,8377,439,4180,607,4608,968,8548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000128l,20292,723,5148,494,3573,499,3859,729,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000130l,32356,4090,6161,2461,3632,2384,3102,4002,6524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000131l,27410,1455,7178,857,4269,864,4920,1452,6415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000132l,15353,72,3908,72,3435,79,2914,109,4764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000133l,16999,2866,2353,1397,1458,1451,1581,3435,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000135l,611136,147129,51546,77381,23795,82648,23978,152177,52482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000136l,28339,729,8056,499,5303,494,4900,723,7635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000138l,25972,1711,7287,767,3763,814,3466,1618,6546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000139l,52123,6261,10814,3615,5799,3453,5209,6147,10825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000141l,24186,3567,4072,1549,3091,1481,3491,2991,3944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000143l,24167,3567,4067,1549,3081,1481,3493,2992,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000144l,19446,1593,5043,730,2560,792,2464,1537,4727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000145l,42353,5880,7522,3428,4377,3323,3977,5829,8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000146l,46748,934,13641,626,8616,624,8054,931,13322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000147l,76224,5818,17296,2819,11582,2726,11510,5361,19112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000148l,28183,5294,3763,3009,2127,3014,1864,5171,3941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000150l,19853,4093,2320,2338,1395,2172,1317,3702,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000151l,26428,3221,4753,1378,3950,1356,3298,2795,5677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000153l,55935,4379,12391,2474,8606,2517,8777,4935,11856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000154l,32494,1774,9589,811,4771,863,4625,1682,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000158l,19911,3341,2952,1957,1524,2156,1569,3685,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000159l,31190,3509,6293,1511,4332,1468,4566,2926,6585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000160l,39775,1697,11277,1106,6288,933,5869,1699,10906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000161l,26370,5270,3176,3098,1629,3094,1720,5398,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000162l,37011,3633,7717,1595,5859,1565,5389,3056,8197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000163l,43940,1646,11919,946,7681,923,7035,1568,12222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000164l,39595,976,11974,439,5994,607,6534,969,12102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000165l,26371,2889,5114,1435,3609,1490,3358,3484,4992,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000166l,43554,786,12983,553,7295,545,7948,752,12692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000167l,51112,6849,9618,3815,5216,3753,4952,6775,10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000168l,17535,881,4692,512,2773,392,2399,908,4978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000169l,36583,3395,8244,1714,4460,1617,4668,3412,9073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000170l,18625,679,4916,468,3009,474,2967,671,5441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000171l,15835,4452,7,3589,5,3402,7,4366,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000172l,26117,1320,7114,734,4037,581,3479,1330,7522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000173l,24497,842,6436,486,3926,493,3857,943,7514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000174l,21104,1152,5129,571,3159,541,3131,1226,6195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000175l,36829,3256,8664,1905,4672,1882,4086,3385,8979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000176l,32246,1974,7721,1098,4761,1079,4657,2035,8921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000178l,25791,1908,6463,962,3386,920,3415,1891,6846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000179l,63378,2521,17837,1356,10717,1412,10221,2463,16851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000180l,32945,2832,7779,1417,4461,1406,4440,2814,7796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000181l,20166,1058,5468,545,2850,510,2920,1025,5790,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000182l,34208,751,9444,544,6395,552,5973,784,9765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000183l,395335,117718,0,76589,0,65925,0,135103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000184l,152983,35826,17198,17737,6688,16936,6795,34730,17073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000185l,389527,115032,13039,63091,6459,59620,6248,112202,13836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000186l,25672,3487,4828,2011,2564,1858,2610,3157,5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000187l,41854,1591,12000,1061,6646,874,6107,1618,11957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000188l,28141,976,8374,439,3911,608,4577,968,8288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000189l,44236,6198,8273,3493,3938,3663,4578,6323,7770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SN1v3a.000190l,19790,771,4892,534,3547,537,3986,751,4772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
