Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
TWSVa.chr1,67506597,15250597,7337903,7742363,3495612,7744415,3484979,15134967,7315161,0,0,0,0,0,0,0,0,0,0,0,0,0,600
TWSVa.chr5,80421483,21987211,4503296,11679662,2093983,11556622,2097023,21990119,4512367,0,0,0,0,0,0,0,0,0,0,0,0,0,1200
TWSVa.chr2,78038278,20939161,4816832,11074505,2272035,11030342,2276349,20819427,4808927,0,0,0,0,0,0,0,0,0,0,0,0,0,700
TWSVa.chr3,84566524,22980726,4689361,12384365,2195978,12418569,2189225,23036200,4671000,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
TWSVa.chr4,84360085,22203168,5783771,11481612,2696522,11531676,2696835,22183862,5782139,0,0,0,0,0,0,0,0,0,0,0,0,0,500
TWSVa.chr7,69572708,19086695,3672028,10405533,1694110,10382696,1690346,18978396,3661904,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
TWSVa.chr8,55628741,13324972,4997336,7059094,2404201,7102807,2412965,13291206,5035160,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
TWSVa.chr9,67200912,17790167,4351384,9526472,2044626,9493260,2043469,17617569,4333165,0,0,0,0,0,0,0,0,0,0,0,0,0,800
TWSVa.chr6,80119648,21845134,4450295,11620635,2048580,11688664,2046434,21963202,4455604,0,0,0,0,0,0,0,0,0,0,0,0,100,1000
TWSVa.chrX,76899919,19045635,6442094,9953453,3053869,9929347,3050709,18960564,6462848,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
TWSVa.000049l,806302,97714,122878,82388,101039,82577,101539,96631,121536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000067l,55119,1140,12469,1386,13970,984,11795,1062,12313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000073l,28937,651,6533,793,7234,562,6148,606,6410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000077l,64284,1117,14449,1023,13927,1439,16476,1200,14653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000083l,133807,3447,29483,4350,33192,2886,27987,3329,29133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000087l,586754,147217,256,117090,167,132254,190,189274,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000088l,40180,852,8925,798,8453,1117,9960,917,9158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000089l,67337,1239,15085,1149,14532,1616,17189,1330,15197,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000095l,50327,1062,11225,983,10634,1386,12483,1140,11414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000096l,45830,951,10423,1155,11550,821,9786,885,10259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000100l,214171,4369,48574,5312,54258,3772,45923,4073,47890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000102l,21650,503,4823,471,4495,668,5239,539,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000104l,89348,1743,19926,1620,19172,2286,22645,1869,20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVa.000105l,30790,557,6915,510,6660,716,7872,597,6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
