Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SVA12a.chr1,65320384,14536774,7290259,7410511,3469996,7408816,3468226,14468546,7264856,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
SVA12a.chr5,81039146,22130328,4495137,11711875,2087189,11765935,2080072,22282685,4484525,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
SVA12a.chr2,78003303,20925716,4835813,11080642,2282867,11000534,2282197,20778043,4815291,0,0,0,0,0,0,0,0,0,0,0,0,100,2100
SVA12a.chr3,85620062,23078276,4668271,12530780,2183103,12705003,2177124,23616297,4658508,0,0,0,0,0,0,0,0,0,0,0,0,100,2600
SVA12a.chr4,84012054,21992370,5785365,11480087,2699920,11482008,2692729,22092377,5785098,0,0,0,0,0,0,0,0,0,0,0,0,100,2000
SVA12a.chr7,61455013,16521527,3529933,9001523,1684884,9024389,1686989,16407368,3596600,0,0,0,0,0,0,0,0,0,0,0,0,100,1700
SVA12a.chr8,56176755,13489422,5021582,7174684,2414048,7136071,2415721,13517738,5005789,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
SVA12a.chr9,66348341,17247192,4501639,9174928,2139930,9241401,2129662,17443674,4468715,0,0,0,0,0,0,0,0,0,0,0,0,100,1100
SVA12a.chr6,79982148,21860308,4553174,11545455,2088811,11468163,2090514,21823321,4551102,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
SVA12a.chrX,85079522,21438378,6624237,11381754,3137625,11354831,3134541,21401394,6604962,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
SVA12a.000025l,2114878,601232,76313,337574,37434,340588,36884,609070,75783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000037l,55824,786,12796,714,12243,1014,14447,846,12978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000044l,37088,6261,5584,3616,3285,3453,2798,6146,5945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000061l,127742,38039,1,24327,0,21733,0,43642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000064l,56369,883,12830,815,12298,1122,14554,960,12907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000095l,5359773,1415282,367828,741984,168061,727022,165145,1413321,361130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000107l,1120241,332550,12432,225797,6328,216056,6186,307363,13529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000117l,40740,12262,0,7825,1,6806,0,13846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000120l,43551,5437,8494,3116,4676,3111,4435,5294,8988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000121l,33689,11682,0,5756,0,6375,0,9876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000128l,56412,19353,0,9550,0,10699,0,16810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000130l,418694,144470,2,70611,0,79675,0,123936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000138l,282826,79121,1938,72059,864,61912,809,64307,1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000139l,63168,4542,15354,2824,9411,2737,8449,4540,15311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000141l,183785,54892,0,34367,0,30642,0,63884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000142l,44126,6757,7871,3744,3795,3797,3821,6826,7515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000146l,725381,253708,20,127676,14,132467,7,211485,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000147l,792703,236455,0,149705,2,132992,5,273542,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000149l,32198,968,9711,607,5208,439,4564,976,9725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000150l,1386307,426726,16507,239419,8271,241271,7854,430286,15973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000151l,53682,847,12395,1016,13875,712,11756,787,12294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000157l,433331,149154,0,72724,0,82197,0,129255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000160l,290695,5455,66300,6495,74136,4444,62789,5336,65740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000163l,28519,423,6538,507,7461,357,6305,393,6535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000166l,359747,107024,0,67942,0,60394,0,124386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000173l,226416,65046,17,41044,3,41017,203,79030,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000176l,588367,173954,1,111326,1,99079,0,204006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000177l,104373,8640,25434,4788,13958,4996,14094,8684,23779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000178l,898431,278218,9908,160150,4513,155061,4491,277578,8512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000180l,467646,136431,17151,69536,8352,72415,8626,137252,17883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000184l,144563,50011,7,24550,5,26882,2,43096,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000185l,221545,76024,0,36657,0,42292,0,66572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000188l,626035,216898,0,103615,1,118310,0,187209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000190l,170275,2720,38809,2476,37015,3505,43553,2910,39287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000192l,546707,161900,905,103106,388,91860,472,186922,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000193l,363571,124271,18,62331,5,68970,5,107965,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000194l,34143,751,9722,545,6474,553,6000,786,9312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000196l,253304,87982,1,42203,3,47367,1,75747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000197l,475633,164763,3,79254,2,90023,0,141587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000198l,36501,3549,7716,1678,5334,1644,5637,2993,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000199l,77849,2369,16829,1747,15990,2673,19011,2297,16933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000200l,29822,2491,7108,1221,3791,1170,3935,2443,7663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000201l,53743,6941,11172,3824,5553,3869,5515,6973,9896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000202l,189770,65406,1,32164,0,35368,0,56831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000206l,57005,1807,15833,1221,10102,1058,9136,1892,15956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000207l,144409,2561,33273,2990,36899,2177,31295,2352,32862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000209l,48115,747,11025,679,10435,967,12250,804,11208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000211l,268401,4662,61826,5364,68902,3907,58387,4246,61107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000213l,58883,2463,15210,1412,9503,1356,10009,2521,16409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000215l,53116,6939,10854,3825,5445,3868,5275,6970,9940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000216l,89942,1276,20852,1527,23475,1077,19872,1184,20679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000217l,788664,236432,0,148434,1,131707,0,272090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000218l,32965,3593,6278,1923,4561,1973,4237,4183,6217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000219l,49288,14645,0,9412,0,8320,0,16911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000220l,41471,705,9708,845,10484,595,8964,655,9515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000221l,132883,39573,6,25491,2,21928,3,45878,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000224l,413765,7489,94850,8887,105710,6133,89603,7201,93892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000225l,29576,2417,6114,1343,4829,1348,4377,2818,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000226l,144184,43587,8,26753,2,23987,4,49841,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000227l,720916,248741,17,120545,12,136883,8,214706,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000229l,143368,43106,0,26928,0,23952,0,49382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000233l,40032,4208,8310,1992,5457,1953,5721,3632,8759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000234l,50579,814,11806,977,12934,693,10992,756,11607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000239l,34523,1721,8480,971,6105,956,5455,1631,9204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000240l,378135,28733,88083,15546,55965,15251,53175,27829,93553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000242l,40009,1177,10486,744,7015,730,7432,1087,11338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000243l,60802,1016,13799,935,13227,1315,15595,1091,13824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000245l,55286,3432,14056,1812,8812,1714,7988,3031,14441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000246l,133156,39144,0,25214,0,22270,1,46527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000247l,39903,4154,8071,1954,6071,1931,5531,3571,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000248l,38940,976,11779,439,5861,607,6428,968,11882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000249l,102385,1843,23371,1435,22133,1997,26113,1927,23566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000251l,102032,8638,23561,4957,13423,4751,12935,8621,25146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000252l,33706,5382,5436,3079,2930,3089,2837,5258,5695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000253l,169123,58245,2,28309,1,31602,0,50961,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000254l,78566,1487,17804,1727,20067,1234,17073,1349,17825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000255l,50349,5778,10060,3170,5712,2958,5705,5516,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000257l,41739,1677,11234,859,6392,811,6406,1769,12591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000258l,275198,96233,0,49952,0,49164,0,79849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12a.000259l,37732,593,8748,704,9714,494,8281,551,8647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
