Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
DPSVa.chr1,64812358,14297151,7264733,7346098,3475609,7293846,3483191,14362041,7288589,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
DPSVa.chr5,83930135,23001546,4534617,12231167,2107594,12273367,2106759,23140090,4534495,0,0,0,0,0,0,0,0,0,0,0,0,0,500
DPSVa.chr2,83338230,22570151,4933334,12062569,2321126,11941947,2327418,22272494,4908491,0,0,0,0,0,0,0,0,0,0,0,0,0,700
DPSVa.chr3,84610628,23171211,4633732,12431903,2157099,12372966,2161617,23033160,4648040,0,0,0,0,0,0,0,0,0,0,0,0,100,800
DPSVa.chr4,83688326,21906461,5829068,11389636,2720761,11417398,2715799,21879956,5828247,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
DPSVa.chr7,70480142,19258313,3695513,10601825,1710613,10635454,1713429,19173416,3691079,0,0,0,0,0,0,0,0,0,0,0,0,0,500
DPSVa.chr8,55531617,13328734,4975743,7046624,2394932,7097634,2399568,13289357,4998625,0,0,0,0,0,0,0,0,0,0,0,0,0,400
DPSVa.chr9,67830068,17990429,4373289,9604438,2059460,9526776,2066283,17809619,4399274,0,0,0,0,0,0,0,0,0,0,0,0,0,500
DPSVa.chr6,80944627,22094861,4505792,11825790,2080045,11783759,2078988,22072164,4502728,0,0,0,0,0,0,0,0,0,0,0,0,0,500
DPSVa.chrX,86691125,21956849,6568318,11710011,3115357,11696748,3110282,21982334,6550626,0,0,0,0,0,0,0,0,0,0,0,0,0,600
DPSVa.000019l,157447,3114,35750,3789,40067,2687,33876,2897,35267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000021l,109341,2096,24437,1946,23478,2748,27757,2249,24630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000049l,486456,167903,323,82003,452,91362,8,144332,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000054l,154185,3041,34900,3695,39308,2624,33235,2832,34550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000060l,275151,78994,4582,53586,2021,52535,1972,76988,4473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000067l,32324,570,7233,693,8426,492,7096,531,7283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000073l,54400,16248,3,10346,2,9033,2,18764,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000075l,36773,731,8328,899,9378,634,7914,680,8209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000079c,415762,48601,63499,41375,53416,41318,53404,49000,65149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000080l,85452,1594,19128,1474,18330,2080,21673,1710,19463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000081l,59344,1159,13225,1076,12720,1516,15036,1246,13366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000082l,41338,760,9277,924,10715,656,9018,708,9280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000084l,28276,571,6407,693,7176,493,6070,531,6335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000085l,25510,503,5691,471,5491,669,6488,539,5658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000086l,34472,1783,9637,970,5507,1001,5406,1703,8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000087l,161673,3186,36113,2951,34495,4159,40685,3420,36664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000088l,135907,2478,30498,2296,29293,3235,34687,2660,30760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000089l,36102,708,8072,656,7665,925,9094,760,8222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000091l,31868,729,7110,899,7988,635,6765,680,7062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000092l,95057,13622,18637,11403,11037,6616,10693,12520,10529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000093l,43156,12985,777,7392,338,7423,341,13007,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000094l,38462,721,8622,663,8228,928,9731,775,8794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000095l,162152,3304,36726,4013,41131,2848,34785,3077,36268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000096l,89458,1770,19981,1640,19026,2310,22449,1900,20382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000097l,79303,1710,17926,2080,19910,1475,16891,1593,17718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000098l,71491,1388,15964,1290,15347,1824,18114,1489,16075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000099l,28660,570,6460,693,7328,492,6185,531,6401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000100l,51474,948,11590,1147,13309,818,11192,883,11587,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000101l,28219,6916,2079,4090,884,3921,950,7642,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000102l,95263,1917,21500,2343,24294,1660,20512,1785,21252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000103l,32730,571,7501,692,8482,492,7124,531,7337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000104l,262021,5321,59449,6467,66411,4591,56188,4956,58638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000105l,40835,12548,1001,7055,384,6587,423,12033,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000106l,21872,355,4921,328,4775,463,5633,380,5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000107l,22905,570,5270,693,5536,492,4743,531,5070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000108l,43630,5751,4820,3041,4908,5233,5070,6255,8552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000109l,59839,1257,13691,1528,14998,1085,12705,1171,13404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000110l,78630,1679,17810,2054,19727,1455,16756,1565,17584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000111l,31119,559,7016,513,6632,718,7850,601,7230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000112l,112454,2124,25181,1968,24108,2772,28509,2280,25512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000113l,70881,1416,15822,1311,15062,1849,17736,1520,16165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000115l,97058,1900,21954,2310,24795,1640,20933,1770,21756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000116l,41793,919,9410,1130,10456,799,8878,857,9344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000117l,63207,8332,7065,4401,7099,7580,7335,9062,12333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000118l,49923,1140,11360,1386,12378,984,10520,1062,11093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000119l,23861,503,5268,471,5119,668,6053,539,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000120l,30120,531,6757,492,6533,693,7709,570,6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000121l,42487,760,9583,924,11014,656,9270,708,9572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000122l,76548,1416,17153,1312,16452,1848,19452,1520,17395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000123l,44895,820,9997,763,9711,1072,11525,877,10130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000124l,28920,1686,8434,736,4217,793,4205,1595,7254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000125l,46593,927,10590,1130,11829,801,10010,859,10447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000126l,112132,2280,25446,2774,28415,1966,24034,2124,25093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000127l,73729,1399,16499,1304,15790,1833,18698,1505,16701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000128l,105962,3221,22409,3301,21574,3690,25552,3572,22643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000129l,50905,980,11384,907,10834,1278,12810,1052,11660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000130l,27197,7844,0,5009,0,5994,0,8349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000131l,32842,708,7304,656,6861,924,8081,760,7548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000132l,33494,570,7552,693,8731,492,7358,531,7567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000133l,35734,708,7982,656,7599,924,8922,760,8183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000134l,89762,1622,20158,1497,19318,2103,22851,1741,20472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000135l,66547,8771,7398,4631,7468,7991,7735,9548,13005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000136l,32093,4596,6324,3845,3741,2239,3607,4229,3512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000137l,54813,1125,12502,1365,13827,972,11708,1045,12269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000138l,137651,2851,31330,3465,34713,2460,29406,2653,30773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000139l,33710,601,7753,718,8654,513,7302,559,7610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000140l,27277,9453,3,4573,3,5208,0,8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000141l,43365,950,9873,1155,10825,820,9189,885,9668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000142l,73961,1427,16845,1736,18838,1232,15923,1333,16627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000143l,52174,1140,11929,1386,12980,984,11037,1062,11656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000144l,24331,570,5623,693,5935,492,5073,531,5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000145l,26698,531,6001,492,5714,693,6733,570,5964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000146l,37048,762,8426,922,9348,656,7936,708,8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000147l,40265,10924,1911,5428,819,6404,854,12107,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000148l,72314,1416,16188,1313,15378,1850,18135,1520,16514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPSVa.000149l,42449,885,9455,820,8946,1155,10521,950,9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
