Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
FCS1a.chr1,65160524,14473302,7317851,7310950,3483112,7349141,3478904,14434588,7307676,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
FCS1a.chr5,78934500,21531019,4443327,11507728,2071728,11432433,2073112,21415462,4449191,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
FCS1a.chr2,76565557,20535586,4796304,10807034,2257709,10757791,2263742,20357706,4782185,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
FCS1a.chr3,83585943,22659586,4679333,12213915,2185686,12240596,2174989,22760380,4667458,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
FCS1a.chr4,80482525,20875975,5747341,10881035,2682605,10899374,2685681,20938548,5763966,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
FCS1a.chr7,66603500,18088660,3665625,9828348,1696838,9885661,1700755,18064406,3666707,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
FCS1a.chr8,55903504,13290774,5120981,7104048,2456814,7056199,2446467,13318885,5098836,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
FCS1a.chr9,63153443,16397331,4298702,8723823,2026139,8812783,2014734,16604511,4271920,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
FCS1a.chr6,78551443,21253606,4532494,11282213,2084554,11392033,2081451,21396296,4523296,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
FCS1a.chrX,84710000,21271353,6674057,11259994,3162653,11276209,3153533,21255765,6648436,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
FCS1a.11,19184,5689,2,3594,0,3256,0,6640,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.12,150373,45280,14,27980,8,25585,7,50985,14,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.13,101944,35506,9,17131,5,19249,4,30030,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.14,95556,27983,1,18175,0,16088,0,32807,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.15,139000,36320,8595,19168,5103,20093,5056,33964,9701,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1a.16,173000,60363,0,29066,0,32762,0,50809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.17,100040,30690,0,18679,0,16474,0,34197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.18,89960,31163,2,15100,0,17058,0,26636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.19,30773,10583,2,5117,0,5853,0,9215,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.20,108500,32163,1,20637,1,18200,0,36997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.21,106543,8347,25348,4490,15032,4564,13964,9023,24775,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1a.22,16943,4981,0,3241,0,2884,0,5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.23,40057,13931,0,6723,0,7576,0,11827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.24,18943,5570,0,3629,0,3179,0,6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.25,44500,13900,8,8009,6,7666,6,14398,7,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.26,70500,24136,0,11761,0,13319,0,20784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.27,17000,5950,4,2823,3,3214,1,5002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.28,95000,33139,4,16033,5,17886,2,27921,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.29,73521,25676,0,12584,0,13714,0,21547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.30,51638,16476,1151,8370,560,7127,586,16069,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.31,36841,12478,0,6214,0,7054,0,11095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.32,87000,29601,0,14623,1,16643,0,26132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.33,34000,11691,1,5662,3,6440,0,10203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.34,91500,28572,7,16505,2,16255,7,29644,8,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.35,57000,17066,0,10971,0,9409,0,19554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.36,21000,6299,1,4003,0,3479,0,7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.37,49000,16877,0,8124,0,9404,0,14595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.38,84000,29090,0,13883,0,16049,0,24978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1a.39,80500,27653,1,13408,0,15194,2,23741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1a.40,86727,22615,6488,11399,3086,12568,3576,20422,6073,0,0,0,0,0,0,0,0,0,0,0,0,0,500
