Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SDFBb.chr1,63684701,14238304,7002768,7245291,3331024,7218016,3342959,14276985,7026154,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
SDFBb.chr5,78025237,21333594,4383972,11331881,2046312,11250036,2053472,21234109,4388661,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
SDFBb.chr2,76440407,20484235,4781850,10836565,2250135,10769285,2250831,20303235,4760871,0,0,0,0,0,0,0,0,0,0,0,0,0,3400
SDFBb.chr3,83676075,22825544,4663563,12219773,2177998,12201383,2186540,22719431,4679243,0,0,0,0,0,0,0,0,0,0,0,0,100,2500
SDFBb.chr4,81943032,21335401,5788195,11103230,2702037,11109960,2696951,21407358,5796200,0,0,0,0,0,0,0,0,0,0,0,0,200,3500
SDFBb.chr7,65599687,17705776,3648506,9691211,1724693,9693058,1716259,17728153,3689431,0,0,0,0,0,0,0,0,0,0,0,0,200,2400
SDFBb.chr8,55741883,13301150,5060635,7046097,2462200,7033675,2469709,13321741,5044876,0,0,0,0,0,0,0,0,0,0,0,0,100,1700
SDFBb.chr9,65320461,16997409,4438784,9029123,2087747,9089228,2079267,17190406,4406697,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
SDFBb.chr6,77911450,21218323,4501956,11205771,2068009,11134910,2069887,21203986,4506808,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
SDFBb.chrX,83550261,21091092,6475953,11169091,3069936,11174490,3067389,21038380,6461230,0,0,0,0,0,0,0,0,0,0,0,0,100,2600
SDFBb.000043l,72583,4045,18584,2203,11632,2196,11626,4592,17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000058l,99398,5334,20408,3459,22995,2739,19414,4872,20177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000085l,93610,8315,22990,4565,11273,4752,11937,8351,21427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000112l,119402,36069,0,22022,0,19793,0,41517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000116l,111761,9018,25919,5200,15558,5022,14659,9197,27188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000126l,82963,24697,5,15902,3,13796,0,28555,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000138l,39953,678,9060,635,8580,841,10149,725,9285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000152l,26968,9168,0,4439,0,5242,0,8119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000159l,202451,67993,172,55891,85,43014,100,34869,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000166l,178192,3040,40824,3572,45914,2566,38908,2792,40576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000169l,57387,971,12927,916,12397,1225,14697,1038,13216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000170l,180711,25561,23210,21591,19469,21624,19615,25750,23891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000176l,117479,3215,25571,2551,24352,3709,28920,3205,25956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000190l,129177,43235,1423,20889,684,23879,630,37124,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBb.000193l,27171,9445,0,4552,0,5123,0,8051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
