Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
GERv1b.chr1,65669643,14766099,7092116,7571602,3382536,7565052,3391579,14787275,7112684,0,0,0,0,0,0,0,0,0,0,0,0,200,500
GERv1b.chr5,75250419,20347545,4341795,10859081,2028918,10831473,2034799,20448251,4357757,0,0,0,0,0,0,0,0,0,0,0,0,100,700
GERv1b.chr2,73311767,19615456,4455154,10349477,2124132,10433116,2114841,19747395,4471396,0,0,0,0,0,0,0,0,0,0,0,0,100,700
GERv1b.chr3,80546183,21864768,4500731,11777649,2103552,11784924,2102994,21922284,4488481,0,0,0,0,0,0,0,0,0,0,0,0,100,700
GERv1b.chr4,80290246,20969164,5701008,10805121,2661533,10811534,2660107,20971496,5709483,0,0,0,0,0,0,0,0,0,0,0,0,100,700
GERv1b.chr7,61479240,16719227,3322843,9163843,1537393,9183171,1531903,16707385,3311075,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
GERv1b.chr8,60625985,14592604,5399875,7721953,2592025,7752497,2599443,14544416,5422772,0,0,0,0,0,0,0,0,0,0,0,0,0,400
GERv1b.chr9,65440824,16986558,4292922,9180631,2014203,9352211,2013658,17323645,4274796,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
GERv1b.chr6,71944065,19455385,4333953,10168385,2016645,10173015,2012117,19448013,4333252,0,0,0,0,0,0,0,0,0,0,0,0,100,3200
GERv1b.chrX,79146134,19880202,6110888,10612917,2905565,10648237,2914738,19925979,6146508,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
GERv1b.000038l,33472,11685,0,5606,0,6164,0,10017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000042l,464526,49683,77713,41989,63972,41982,63692,49288,76207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000054l,98886,1621,22698,1904,25612,1384,21625,1497,22545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000104l,1186940,402151,196,207425,78,217266,86,359587,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000106l,43825,9247,4818,4979,2024,6247,2033,10013,4464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000109l,48553,6757,9413,3743,4730,3799,4538,6826,8747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000113l,40232,6369,8202,2104,3848,2419,3704,6815,6771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000116l,164830,49337,2,31290,2,27518,1,56678,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000121l,68270,1446,15376,1470,17395,1091,14684,1510,15298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000122l,1006326,340450,443,170951,512,188415,355,304834,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000123l,52073,4952,11977,3026,6468,2875,5898,4982,11895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000129l,56484,16894,0,10687,0,9401,0,19502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000130l,246969,76911,6,43703,2,44732,8,81599,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000131l,34382,3598,6611,1919,4849,1971,4613,4164,6657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000133l,40789,588,9315,544,9009,752,10704,636,9241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000134l,45855,11276,4154,5916,1854,5989,1779,11272,3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000137l,40142,5603,7888,2564,3473,2672,4007,5646,8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000139l,52363,954,11880,1128,13404,816,11391,882,11908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000140l,152405,52990,5,24619,1,28989,3,45792,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000144l,40936,12039,1248,6770,386,6822,366,12066,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000145l,39147,1671,10686,921,5821,1093,6216,1673,11066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000146l,109259,38821,0,21202,0,18656,0,30579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000148l,131278,39038,2,24879,2,22404,1,44948,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000149l,48445,14092,0,9309,0,8289,0,16755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000151l,81585,11626,16371,4834,6949,5389,7300,12150,16966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000152l,101143,29688,0,18708,0,17696,0,35051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000154l,48167,735,10968,680,10553,940,12525,795,10971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000156l,51384,17865,0,8518,0,9773,0,15228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000157l,39706,636,9051,752,10363,544,8727,588,9045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000158l,81400,1204,18564,1109,17832,1529,21127,1303,18732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000161l,157479,46642,0,29960,0,26266,0,54609,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000162l,31053,477,6993,564,8189,408,6887,441,7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000163l,48566,854,11017,795,10458,1103,12284,923,11132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000164l,38570,9300,2219,6762,1440,6372,1399,8631,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000165l,62001,1113,14350,1317,15760,952,13388,1029,14092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000166l,44150,9127,5167,5872,2575,4661,2492,8814,5442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000167l,72797,1272,16697,1502,18680,1087,15823,1176,16560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000169l,63305,5707,15216,3162,8107,3408,8015,5949,13741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000171l,160095,42788,13636,18506,6648,18759,6349,39299,14110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000172l,101740,1616,23179,1496,22131,2068,26145,1748,23357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000174l,37174,11841,28,7971,12,6538,12,10746,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000176l,195861,3087,44583,2856,42657,3948,50382,3339,45009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000177l,66006,1029,15030,952,14423,1316,17078,1113,15065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000178l,111159,33149,2,21158,2,18392,2,38453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000179l,37706,5900,6089,3443,3613,3272,3071,5850,6468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000180l,43125,12849,1,8207,0,7183,0,14885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000181l,48855,795,11172,940,12689,680,10722,735,11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000182l,86539,29667,0,14424,0,16643,0,25805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000183l,88632,24217,6872,11448,3001,10760,3181,21373,7780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000184l,60445,6264,13736,3550,6579,3724,7109,6404,13079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GERv1b.000185l,25637,3378,4693,2036,2773,2063,2399,3319,4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
