Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
TWSVb.chr1,67097607,15070825,7281283,7686497,3472141,7736325,3475963,15073245,7300628,0,0,0,0,0,0,0,0,0,0,0,0,0,700
TWSVb.chr5,86041156,23697133,4594451,12515176,2140627,12609096,2136370,23760506,4587197,0,0,0,0,0,0,0,0,0,0,0,0,0,600
TWSVb.chr2,82568472,22378539,4836027,11899540,2284359,11808452,2285266,22257614,4817675,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
TWSVb.chr3,88829956,24110423,4673557,13107163,2183619,13278124,2179932,24634572,4661066,0,0,0,0,0,0,0,0,0,0,0,0,100,1400
TWSVb.chr4,82345169,21564429,5701918,11223549,2660493,11255950,2653150,21583751,5701329,0,0,0,0,0,0,0,0,0,0,0,0,100,500
TWSVb.chr7,63793457,17223252,3632459,9369512,1708949,9343023,1710384,17145137,3659341,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
TWSVb.chr8,56967769,13734669,5036001,7300200,2423806,7271973,2425500,13755177,5019743,0,0,0,0,0,0,0,0,0,0,0,0,0,700
TWSVb.chr9,65315871,17004128,4428183,9030500,2084835,9091784,2073617,17202117,4400107,0,0,0,0,0,0,0,0,0,0,0,0,0,600
TWSVb.chr6,82856296,22838056,4550539,12032029,2086997,12006302,2088676,22704736,4548661,0,0,0,0,0,0,0,0,0,0,0,0,0,300
TWSVb.chrX,84968362,21451344,6563856,11401472,3107350,11370568,3105009,21423202,6544561,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
TWSVb.000049l,800202,91271,124992,78264,104813,77842,103986,92374,126660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000050l,583613,206341,22,109460,13,101624,7,166142,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000066l,31205,393,7188,357,6951,507,8242,423,7144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000076l,1060496,319364,16,200579,11,176491,8,364013,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000077l,54480,846,12613,1014,14065,714,11940,786,12502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000080l,146651,2265,33909,2699,37959,1912,32189,2100,33618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000085l,32121,728,7365,887,7941,635,6726,678,7161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000086l,195136,2758,44793,2503,42897,3561,50557,2970,45097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000087l,1597097,531624,19755,260826,10296,286336,10141,458152,19967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000088l,48506,655,11120,595,10771,845,12734,705,11081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000090l,45830,951,10423,1155,11550,821,9786,885,10259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000091l,32881,524,7549,476,7078,676,8279,564,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000096l,31749,564,7292,676,8049,476,6881,524,7287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000097l,72481,1105,16789,1327,18751,936,15906,1024,16643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000100l,152370,2227,34941,2024,33340,2873,39254,2396,35315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000101l,191281,56663,0,36232,0,32114,0,66272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000102l,52274,736,12152,870,13622,616,11538,684,12056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000103l,33059,708,7357,656,6933,924,8128,760,7593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000105l,160603,2721,36818,3177,41424,2312,35052,2500,36599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000106l,25062,393,5723,357,5447,507,6420,423,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000107l,534276,185388,12,89902,12,101116,0,157846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000108l,140729,11422,34209,5637,19715,5813,21641,11259,31033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000109l,113294,14931,12243,7905,13134,13593,13069,16257,22162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000110l,242816,3805,56318,4559,62538,3208,53139,3536,55713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000111l,81557,1445,18335,1333,17610,1874,20844,1549,18567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000112l,46897,816,10818,989,11943,693,10173,758,10707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000113l,72240,4379,17527,2474,11617,2517,11809,4935,16982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000114l,77785,10210,8421,5404,9006,9304,9016,11110,15314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000115l,92784,1667,21230,1940,23766,1373,20179,1511,21118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000116l,387744,6202,88185,5752,84616,7874,99372,6746,88997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000117l,133639,2115,30885,2535,34441,1784,29253,1966,30660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000118l,22812,423,5383,507,5690,357,4852,393,5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000119l,100035,3748,21316,4330,23439,2780,19631,3956,20835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000120l,77982,1179,17868,1071,16979,1521,19971,1269,18124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000121l,28971,533,6661,651,7333,455,6269,496,6573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000122l,42300,655,9689,595,9196,843,10773,702,9847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000123l,47155,840,10562,775,10208,1093,12119,902,10656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000124l,43313,524,10020,476,9646,677,11459,564,9947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000125l,123069,1864,28627,2222,31773,1568,26997,1731,28287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000126l,71411,923,16414,838,15808,1195,18684,996,16553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000127l,127745,1972,29560,2360,33012,1662,28028,1832,29319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000128l,103308,1572,23689,1428,22517,2028,26436,1692,23946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000129l,40579,655,9278,595,8758,845,10268,705,9475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000130l,61495,8768,12103,7347,7140,4266,7143,8057,6671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000131l,42202,885,9400,820,8888,1155,10447,950,9657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000132l,55564,1062,12428,984,11904,1386,14064,1140,12596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000133l,99816,1441,22908,1310,21880,1859,25743,1550,23125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000134l,43408,655,9929,595,9493,845,11173,705,10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000135l,28351,423,6598,507,7338,357,6232,393,6503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWSVb.000136l,37496,564,8662,676,9720,476,8273,524,8601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
