Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
OFBa.chr1,48436900,10541251,5655115,5336638,2702744,5346403,2696632,10512168,5644049,0,0,0,0,0,0,0,0,0,0,0,0,200,1700
OFBa.chr5,79910029,21770414,4514340,11639246,2102979,11536687,2108372,21705558,4529633,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
OFBa.chr2,77642233,20720297,4861383,10981339,2300415,10983853,2292589,20621051,4877106,0,0,0,0,0,0,0,0,0,0,0,0,0,4200
OFBa.chr3,82496393,22385222,4632160,12117490,2168164,12071834,2162811,22332618,4621794,0,0,0,0,0,0,0,0,0,0,0,0,100,4200
OFBa.chr4,81622616,21264427,5811495,11007255,2709186,11017042,2701211,21303425,5805075,0,0,0,0,0,0,0,0,0,0,0,0,100,3400
OFBa.chr7,66689785,18046536,3702482,9817020,1760667,9835800,1763014,18001157,3760209,0,0,0,0,0,0,0,0,0,0,0,0,0,2900
OFBa.chr8,54556976,13063760,4946612,6866706,2373827,6923309,2383606,13016662,4979794,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
OFBa.chr9,65399746,17219705,4392253,9153580,2071252,9060807,2075227,17012200,4412522,0,0,0,0,0,0,0,0,0,0,0,0,100,2100
OFBa.chr6,78863828,21422135,4545667,11403343,2092058,11386001,2098680,21360587,4552357,0,0,0,0,0,0,0,0,0,0,0,0,100,2900
OFBa.chrX,81649778,20426056,6504322,10759006,3090241,10785366,3092238,20458705,6530544,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
OFBa.000069l,486097,90229,75371,42682,36637,42793,35073,87611,75701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000086l,36273,3137,9075,1708,4143,1740,4735,2957,8778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000117l,176321,53119,6,32771,4,29436,5,60973,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000133l,76531,26172,0,13063,0,14533,0,22763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000163l,35383,774,10054,558,6656,565,6196,810,9770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000164l,32172,729,9632,499,5652,494,5384,723,9059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000166l,58036,19771,0,9848,0,11096,0,17321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000170l,148046,36324,9594,21704,4246,22777,4256,39500,9645,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000193l,52109,12910,4208,7373,1537,6868,2238,14184,2791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000195l,47042,14081,0,8991,0,7849,0,16121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000198l,378857,111791,9,71723,2,64532,4,130794,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000208l,159583,45988,1,28117,0,29615,0,55862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000215l,51301,6142,10587,3453,5055,3617,5638,6259,10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000217l,48571,885,10900,820,10463,1155,12400,950,10998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000218l,67261,9350,8753,8258,7381,8036,7110,9600,8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000226l,98501,3202,21466,3805,23452,2556,19800,3231,20989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000227l,103961,31001,7,19937,4,17221,1,35781,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000242l,469344,9243,106262,10691,115328,8752,104760,8865,105443,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000243l,37897,2201,9001,1223,5782,1186,5941,2329,10234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000245l,231831,69379,0,44109,0,38818,0,79525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000246l,208457,71718,0,34877,0,39682,0,62178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000253l,37028,1674,10339,1093,5912,921,5536,1675,9878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000254l,68927,1520,15627,1848,17204,1312,14622,1416,15378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000260l,263455,79084,51,49094,15,43832,41,91292,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000264l,39245,736,8778,676,8388,949,9909,791,9018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000267l,86465,29683,2,14774,1,16398,0,25604,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000268l,139755,3943,29939,3964,28712,4627,33966,4344,30260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBa.000269l,68505,12486,10652,5736,4559,6258,4846,12962,11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
