Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
MM3v1a.chr1,64852560,14489837,7099814,7371239,3395773,7407510,3393824,14557075,7122888,0,0,0,0,0,0,0,0,0,0,0,0,400,14200
MM3v1a.chr5,76957883,20926911,4388347,11115854,2038103,11091882,2042820,20925564,4400802,0,0,0,0,0,0,0,0,0,0,0,0,1200,26400
MM3v1a.chr2,75555635,20066791,4849734,10569356,2294180,10579751,2286544,20009624,4873755,0,0,0,0,0,0,0,0,0,0,0,0,1500,24400
MM3v1a.chr3,80350410,21974714,4462217,11699571,2083144,11656752,2084750,21878338,4482524,0,0,0,0,0,0,0,0,0,0,0,0,2300,26100
MM3v1a.chr4,81683535,21152520,5986051,10896578,2783208,10875597,2784414,21203600,5996567,0,0,0,0,0,0,0,0,0,0,0,0,200,4800
MM3v1a.chr7,62317081,16810051,3662598,9020493,1697396,8975754,1692287,16812719,3642283,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
MM3v1a.chr8,55089635,13080465,5141572,6851209,2466072,6862059,2467637,13045014,5163007,0,0,0,0,0,0,0,0,0,0,0,0,1000,11600
MM3v1a.chr9,64150888,16874501,4383531,8889546,2061136,8795077,2070551,16657094,4401152,0,0,0,0,0,0,0,0,0,0,0,0,1500,16800
MM3v1a.chr6,79556331,21494825,4771023,11298661,2197644,11292011,2196038,21520928,4762901,0,0,0,0,0,0,0,0,0,0,0,0,1200,21100
MM3v1a.chrX,84217111,21159537,6623001,11203734,3136753,11211439,3130807,21124189,6604651,0,0,0,0,0,0,0,0,0,0,0,0,700,22300
MM3v1a.000001l,72177,14166,10299,6128,5406,7623,4494,13970,10091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000024l,261545,69732,13525,37293,6118,40876,6304,74145,13552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000074l,17618,2864,2565,1395,1565,1451,1706,3435,2637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000097l,426905,117610,24762,60194,11987,57105,11505,117770,25972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000099l,442511,120330,25835,62615,13830,63219,11291,120790,24601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000106l,25573,1685,7254,735,3641,792,3420,1594,6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000123l,16938,2972,2375,1726,1217,1862,1320,3262,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000159l,109253,31157,4640,16496,2245,16008,2071,32120,4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000169l,76768,23938,1230,12381,396,13062,462,24007,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000177l,51365,17119,280,8761,213,9365,148,15115,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000189l,93714,28541,2711,14835,1011,15460,1292,26594,3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000194l,69489,17066,0,14448,0,17852,0,20123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000221l,31115,9337,5,5963,1,5208,3,10592,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000257l,129611,37346,5829,18422,2941,18295,2644,37659,6475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000272l,202529,55074,12187,26390,6062,25591,6334,56799,14092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000305l,496822,135236,31042,72082,15083,67701,14680,130614,30384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000315l,32619,10726,28,7021,19,5954,12,8844,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000331c,415762,49011,65138,41329,53393,41390,53401,48616,63484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000342l,535784,167550,8881,92153,3623,87042,3269,164825,8441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000355l,604708,186858,3587,109652,1897,110087,1652,187452,3523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000360l,320828,84941,23573,41785,10466,42420,11051,83225,23367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000362l,37653,11066,1565,6482,645,5797,634,9840,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000388l,24700,8479,0,4132,0,4675,1,7413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000389l,212361,56975,11725,29577,5359,30968,5875,58748,13134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000396l,63543,20046,1396,9713,734,9217,715,20221,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000399l,81520,23773,2266,13424,1009,13536,980,24404,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000436l,39732,11403,1546,5837,524,6700,538,11558,1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000445l,164907,27646,29116,11732,12995,13029,13822,27096,29471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000451l,24293,1681,6788,736,3414,789,3179,1589,6117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000474l,160815,51926,362,26470,173,27313,188,53997,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000494l,481029,153389,3970,81007,1684,82092,1749,153000,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000497l,787206,124133,148108,55818,67565,55335,65831,125491,144925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000505l,210454,59562,8217,33077,3497,33315,3607,61338,7841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000507l,339610,100595,12090,51525,6209,50882,5899,101081,11329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000518l,168516,49696,5674,25127,2624,25405,2678,51144,6168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000522l,251459,76691,5043,39662,2611,42131,2707,77232,5382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000523l,30529,8783,169,6057,77,6341,89,8838,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000530l,61684,887,14087,825,13590,1116,16069,955,14155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000551l,458123,95647,65145,42962,28240,40809,27294,94092,63934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000562l,427712,117733,27561,57850,13719,55936,13472,114580,26861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000564l,136705,42549,2489,21724,744,22808,711,43514,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000569l,223224,42933,31340,20267,14790,21361,15290,44007,33236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000573l,12984,4455,0,2128,1,2475,0,3923,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000587l,90446,28337,2409,14294,1423,13290,1006,27732,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000591l,56948,17001,0,10915,0,9507,0,19525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000606l,259199,63709,21690,32215,10055,33799,10807,63400,23524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000609l,229820,67385,6339,40290,2966,37868,2863,66272,5837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000615l,16366,2866,2374,1399,1147,1451,1360,3439,2330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000616l,144825,45821,277,24383,189,26016,109,47730,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000618l,22329,7628,0,3703,0,4278,0,6720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000628l,24085,471,5405,572,6102,413,5220,441,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000630l,652995,177648,34379,97987,16821,94971,17146,177214,36829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000639l,299551,87014,14702,44101,6340,41485,6700,84430,14779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000649l,122634,36203,6406,19044,2557,16470,2355,33906,5693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000652l,82419,22686,0,21456,0,17506,0,20771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000654l,191450,56061,11,48641,11,38698,7,48013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000658l,109320,33411,133,24742,98,21084,59,29643,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000663l,312806,87592,18928,42135,8256,41199,8355,86490,19851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000672l,93484,24720,3915,15880,1622,15995,1681,25809,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000698l,29228,541,6750,638,7390,467,6306,504,6632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000706l,347185,112174,3676,60806,1434,57448,1598,106566,3483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000736l,24197,976,6905,439,3441,607,3696,968,7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000771l,63216,14635,5789,7339,2811,7587,3282,15816,5957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000774l,19653,2043,4562,1192,2195,1011,2541,1813,4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000775l,146658,42835,5953,21159,2444,21275,2526,44759,5707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000781l,40221,6271,6999,3508,3537,3608,3473,6254,6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000785l,58292,16868,1370,9625,747,10054,737,17528,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000786l,45803,12417,3139,5886,1471,5513,1524,12479,3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000793l,197518,49256,16521,25268,7641,25066,7972,48547,17247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000797l,22898,6874,2,4353,1,3895,0,7770,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000803l,37253,10681,2623,4621,1171,4495,1050,9866,2746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000806l,14543,976,3894,439,1828,607,2185,968,3646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000807l,21626,2888,4027,1435,2237,1489,2290,3484,3776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000815l,94215,27299,5114,13360,2887,11951,2317,26532,4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000821l,31742,1677,8292,860,4521,811,4679,1769,9133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000829l,101929,28823,3558,15771,1839,17376,1683,29004,3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000830l,38162,11491,594,6483,177,6503,196,12003,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000833l,40680,13999,0,6810,0,7659,0,12212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000837l,22583,976,6617,439,3104,607,3630,968,6242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000838l,37644,12017,0,6842,0,5936,0,12846,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000858l,39338,11738,4,7495,0,6463,1,13637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000859l,19801,664,5367,447,3157,466,3124,647,5929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000862l,57788,20729,110,12380,17,9023,0,15519,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000864l,251026,61652,21396,33710,10162,32888,9655,60425,21138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000869l,256643,78258,4248,45469,2002,43574,1603,77643,3846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000872l,21127,1820,4695,1112,2773,1179,2398,2173,4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000882l,580977,167634,28826,84475,13379,82186,13745,161704,29028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000888l,74195,21914,248,13981,110,12217,175,25361,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1a.000892l,269541,62782,27370,30006,11754,32092,11882,65670,27985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
