Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
H3S7a.chr1,65389192,14523530,7279210,7390649,3468582,7378801,3480894,14536921,7312105,0,0,0,0,0,0,0,0,0,0,0,0,0,18500
H3S7a.chr5,78549000,21287449,4462677,11352214,2073587,11419090,2071820,21397255,4460908,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
H3S7a.chr2,79264719,21017143,4856750,11350294,2292427,11407846,2289324,21157219,4872216,0,0,0,0,0,0,0,0,0,0,0,0,0,21500
H3S7a.chr3,81683209,22100731,4676881,11775686,2178622,11827424,2176722,22266609,4664034,0,0,0,0,0,0,0,0,0,0,0,0,0,16500
H3S7a.chr4,81059863,21049818,5805891,10913915,2707716,10942953,2704979,21109752,5804339,0,0,0,0,0,0,0,0,0,0,0,0,0,20500
H3S7a.chr7,66919500,18127602,3668423,9928133,1709636,9959987,1706968,18141285,3657966,0,0,0,0,0,0,0,0,0,0,0,0,0,19500
H3S7a.chr8,55215133,13163464,5013747,7038319,2396911,7005410,2387712,13205457,4984113,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
H3S7a.chr9,66008500,17093994,4404241,9219747,2077010,9321016,2064589,17434382,4375021,0,0,0,0,0,0,0,0,0,0,0,0,0,18500
H3S7a.chr6,75419500,20364400,4437003,10787295,2049412,10849649,2043604,20424535,4438102,0,0,0,0,0,0,0,0,0,0,0,0,0,25500
H3S7a.chrX,84068500,21143470,6526774,11195398,3100663,11233280,3103738,21191802,6547875,0,0,0,0,0,0,0,0,0,0,0,0,0,25500
H3S7a.11,115876,38444,0,19777,0,21546,1,35608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.12,96816,31997,0,16613,0,17925,0,29780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.13,201000,68204,3,33010,1,37957,1,60824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S7a.14,171387,59627,0,28600,0,32585,0,50575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.15,61024,19830,0,10563,0,10960,0,19171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.16,173677,5921,36474,6722,38133,5624,37417,5997,36389,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S7a.17,107192,7532,26629,3643,14905,3788,16498,6645,26552,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S7a.18,161070,9790,37683,4972,27358,4919,27008,8645,39195,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
H3S7a.19,177256,3016,40720,3551,45445,2603,38396,2799,40226,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.20,103968,8891,24401,5017,13354,4889,12698,9020,25198,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.21,162026,2833,37352,3327,41262,2438,34951,2623,36740,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.22,27308,9448,2,4556,0,5078,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.23,39476,13709,1,6585,0,7531,0,11650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.24,29172,7643,2069,4009,841,4015,881,8125,1589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.25,46719,2644,12646,1459,6339,1546,6903,2494,12688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.26,40157,703,9163,831,10341,607,8737,653,9122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.27,74708,6109,18076,3402,9732,3292,9176,6007,18414,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.28,16768,294,3851,276,3612,372,4236,320,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.29,38098,720,8717,853,9691,623,8227,670,8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.30,41722,6322,6926,3662,4143,3497,3524,6207,7441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.31,73601,1138,16776,1065,15750,1436,18652,1241,17043,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.32,75500,1107,17211,1033,16287,1387,19312,1201,17462,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.33,54000,852,12083,944,12804,819,12410,830,12258,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S7a.34,28882,469,6512,435,6082,583,7167,511,6623,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.35,23824,477,5358,559,6029,411,5142,440,5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.36,20461,318,4808,374,5291,274,4441,294,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.37,60168,6829,12742,4028,6937,3850,6363,6732,12687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.38,33167,588,7543,548,7067,748,8297,636,7740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.39,41735,658,9787,760,10694,567,9066,611,9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.40,19261,5183,940,3023,438,3022,462,5312,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.41,25200,5376,2726,3071,1458,3067,1330,5245,2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.42,35346,636,8196,749,8955,548,7619,588,8055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.43,48080,2895,12639,1803,6870,1795,6309,3176,12593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.44,23872,5388,3462,2062,1353,2090,1461,5033,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.45,31640,1785,9079,820,4649,875,4493,1699,8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.46,25359,968,7328,607,4091,440,3509,976,7440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.47,25732,872,6407,592,4917,608,4268,901,7167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.48,26021,441,5947,414,5544,558,6537,480,6100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.49,79685,8086,16805,3826,11529,3751,11192,7068,16928,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.50,27064,351,6429,397,7021,297,5914,322,6333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.51,35346,3619,7232,1593,5538,1564,5002,3055,7743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.52,44271,2304,11353,1273,6472,1254,6519,2372,12724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.53,48386,805,11090,948,12249,693,10372,742,10987,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.54,31500,1501,6320,1288,6549,1711,5829,1433,6369,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.55,86173,1321,19663,1231,18801,1682,22243,1432,19800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.56,15607,2904,1607,1439,1473,1492,1318,3509,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.57,62663,1113,14304,1310,16069,958,13605,1029,14275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.58,39363,1786,10159,1000,6937,983,6328,1678,10492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.59,25524,322,5903,295,5634,399,6689,349,5933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.60,34628,5730,5255,3334,3090,3227,2731,5665,5596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.61,26850,1670,6435,854,3925,851,3858,1741,7516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.62,36500,6097,6112,2620,3320,2568,2958,5204,7121,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.63,90777,3933,22820,2081,16187,2092,15499,3665,23500,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S7a.64,36755,3734,8003,1904,4265,1791,4510,3809,8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.65,27610,478,6349,560,7091,411,5995,441,6285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.66,70139,7647,15808,4312,8018,4354,8091,7674,14235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.67,21265,294,4892,276,4662,372,5545,320,4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.68,66083,3815,16593,1988,10782,1960,10799,3382,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S7a.69,33065,636,7616,747,8344,549,7078,588,7507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.70,44426,6350,7726,3685,4593,3528,4037,6232,8275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.71,44569,6288,7911,3630,4642,3472,4000,6169,8457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.72,33551,792,9151,547,5856,546,6363,766,9530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.73,33619,1699,8822,876,4830,819,4979,1786,9808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.74,23357,441,5340,414,4862,558,5696,480,5566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.75,23908,723,6178,494,4170,499,4344,729,6771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.76,35894,636,8289,748,9156,548,7758,588,8171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.77,23934,967,6725,607,3872,439,3234,975,7115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S7a.78,48785,736,11109,685,10698,935,12691,799,11132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
