Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
COFBa.chr1,72103498,15897033,8028913,8226695,3834394,8246525,3835154,15991822,8040562,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
COFBa.chr5,77630844,21244196,4359606,11274450,2027293,11190605,2033485,21134318,4363491,0,0,0,0,0,0,0,0,0,0,0,0,100,3300
COFBa.chr2,78480317,21106685,4822232,11117007,2271967,11102609,2273479,20978921,4804317,0,0,0,0,0,0,0,0,0,0,0,0,0,3100
COFBa.chr3,84360299,22804499,4814939,12251288,2237457,12308077,2234450,22911027,4795062,0,0,0,0,0,0,0,0,0,0,0,0,100,3400
COFBa.chr4,82123367,21400207,5791527,11126745,2704355,11147536,2697817,21456678,5794702,0,0,0,0,0,0,0,0,0,0,0,0,0,3800
COFBa.chr7,63737855,17182182,3553915,9425482,1669854,9438197,1665977,17209033,3589715,0,0,0,0,0,0,0,0,0,0,0,0,100,3400
COFBa.chr8,55668298,13357148,4995184,7085423,2398884,7068944,2394095,13386032,4979788,0,0,0,0,0,0,0,0,0,0,0,0,100,2700
COFBa.chr9,65531150,17080060,4417685,9073470,2083246,9129807,2072965,17283783,4387434,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
COFBa.chr6,79670822,21578096,4572276,11458636,2103644,11526487,2102498,21750543,4574342,0,0,0,0,0,0,0,0,0,0,0,0,200,4100
COFBa.chrX,85708028,21695201,6593058,11475103,3130155,11492978,3123887,21625766,6567280,0,0,0,0,0,0,0,0,0,0,0,0,0,4600
COFBa.000119l,220517,3688,50009,3430,47801,4692,56394,3980,50523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000122l,632523,86110,131516,34661,62390,36632,63290,87437,130487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000139l,244385,72157,1,46309,0,41219,12,84673,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000143l,68808,23633,0,11383,0,13169,0,20623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000156l,40116,2923,10189,1716,5445,1693,4881,3108,10161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000163l,64774,19240,0,12184,0,10942,0,22408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000175l,72746,1304,16367,1232,15696,1648,18531,1392,16576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000177l,132046,5784,27719,3469,26404,3886,31104,5574,28106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000179l,110450,2085,25196,2471,28170,1844,23823,1957,24904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000183l,139405,48015,0,23403,0,26379,0,41608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000187l,132426,2505,30142,2918,33847,2144,28662,2297,29911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000188l,57716,19933,0,9778,1,11002,0,17002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000190l,56627,19589,10,9496,2,10716,8,16799,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000209l,32182,1618,8767,874,4491,1061,4780,1594,8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000210l,208091,57630,10821,27383,4541,29687,5047,60968,12014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000211l,50474,2353,13158,1332,7632,1284,7581,2448,14686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000218l,34901,10495,0,6713,0,5830,0,11863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000225l,38393,652,8666,616,8356,824,9901,696,8682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000226l,135204,2195,30757,2026,29343,2815,34483,2394,31191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000231l,167944,58099,0,27970,0,31975,0,49900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000232l,37871,3055,8518,1539,5881,1596,5904,3589,7789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000239l,52275,3285,12986,1744,7432,1712,7442,3265,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000240l,195121,67248,0,32869,0,37200,2,57802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000241l,109463,5161,22391,3036,21402,3851,25224,5682,22716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000244l,135657,46723,0,23035,0,25529,0,40370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000246l,31709,2300,7073,1256,5297,1213,4661,2082,7827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000248l,27582,729,8511,499,4360,494,4351,723,7915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000251l,138283,47916,0,23207,1,26122,0,41037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000255l,34447,6059,4936,3499,2869,3379,2516,5950,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000256l,92106,31703,0,15407,0,17575,0,27421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000270l,54639,3673,12730,1988,8499,2035,8672,4236,12806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000275l,79205,23718,0,15085,1,13298,0,27103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000276l,254027,81875,0,45634,0,43744,3,82770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000281l,103142,27244,7,14244,7,23599,7,38016,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000284l,164849,53419,5,29281,4,29798,2,52335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000286l,53434,15824,7,10081,2,9162,5,18351,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000288l,262537,91174,2,43370,0,49546,0,78444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000289l,45046,814,10146,770,9694,1030,11451,870,10271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000292l,166985,2653,38015,2439,36316,3393,42847,2890,38432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000294l,39803,6826,6018,3798,3150,3744,3194,6757,6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000296l,101668,35179,2,17061,0,19294,0,30131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000297l,78561,27071,513,13067,250,13832,274,23052,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000301l,164277,56476,0,27705,0,30779,0,49317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000302l,218070,23468,36929,19401,29977,19897,29632,22925,35841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000303l,139419,48269,0,23282,0,26226,0,41642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000306l,126360,37608,1,23382,1,21101,2,44263,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000307l,108187,33145,10,20224,2,17832,5,36963,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000309l,43462,14783,0,7211,0,8404,0,13063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBa.000310l,91263,1470,20698,1350,19883,1880,23492,1600,20890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
