Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
H3S1a.chr1,65917476,14548236,7391304,7475802,3535106,7435972,3536393,14578414,7404749,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
H3S1a.chr5,77406315,20851305,4571781,11057908,2117436,11149361,2115512,20973935,4563577,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
H3S1a.chr2,78163500,20943751,4888469,11156992,2297451,11041286,2303002,20650363,4876686,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
H3S1a.chr3,83056500,22653207,4616252,12145499,2151401,12149630,2151700,22546542,4632769,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
H3S1a.chr4,81436612,21184478,5753486,11046599,2689498,11081528,2684608,21224703,5759712,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
H3S1a.chr7,65297000,17662669,3673064,9594634,1708364,9618962,1710909,17657332,3664066,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
H3S1a.chr8,55423282,13288810,4979743,7033868,2384354,7079979,2392266,13249318,5010444,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
H3S1a.chr9,64554888,16792663,4380735,8938189,2059793,8987621,2049874,16991506,4349007,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
H3S1a.chr6,74296500,20001809,4445532,10555123,2062259,10646214,2065188,20073884,4437991,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
H3S1a.chrX,73712315,17990208,6441124,9397102,3050052,9354259,3054183,17958215,6460672,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
H3S1a.11,280815,82530,48,53264,35,47408,35,97438,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.12,56223,16164,0,10657,3,9478,5,19415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1a.13,111390,37926,0,18906,0,21425,0,33133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.14,242000,71226,1,45944,3,40805,0,83019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S1a.15,160500,35074,18294,17670,10214,19146,9411,30554,18637,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
H3S1a.16,109747,32418,0,20813,0,18522,0,37993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.17,145500,42947,3,27419,0,24697,0,49930,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1a.18,63698,22069,1,10683,3,12049,2,18891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.19,328441,6082,73620,5958,70506,7274,83272,6534,74195,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S1a.20,172134,8691,35856,8783,38528,3615,35255,5116,35790,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1a.21,139950,7772,36538,4111,21201,4144,21544,8319,35321,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
H3S1a.22,118675,34885,1,22417,0,20320,0,41050,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.23,119175,35866,3,22044,0,19944,3,41312,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.24,85406,29750,0,14286,0,15907,0,25463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.25,89853,26397,15,17120,6,15407,6,30896,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.26,267524,79293,0,51097,0,44833,0,92301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.27,99476,29804,0,18806,0,16706,0,34159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.28,406259,121433,1,76573,1,67925,0,140322,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.29,101123,29805,0,19254,0,17112,0,34452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1a.30,147005,43611,6,27867,3,24950,1,50062,5,0,0,0,0,0,0,0,0,0,0,0,0,0,500
H3S1a.31,283472,82447,1040,52765,324,47245,680,97305,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.32,31281,1593,8734,1059,4579,876,4357,1622,8461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.33,33000,9776,0,6338,0,5440,0,11446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H3S1a.34,24185,7223,0,4641,0,3921,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
