Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
COFBb.chr1,64684386,14517131,7113360,7371174,3386945,7371451,3385820,14440973,7093032,0,0,0,0,0,0,0,0,0,0,0,0,200,4300
COFBb.chr5,77692623,21088084,4509368,11241231,2096703,11135192,2099164,20994202,4523579,0,0,0,0,0,0,0,0,0,0,0,0,100,5000
COFBb.chr2,77072744,20413360,4843131,10859669,2292444,10925467,2287211,20582229,4865533,0,0,0,0,0,0,0,0,0,0,0,0,0,3700
COFBb.chr3,82141523,22190357,4683603,11921280,2182033,11950265,2177425,22369239,4662421,0,0,0,0,0,0,0,0,0,0,0,0,200,4700
COFBb.chr4,81576503,21288253,5791883,10998850,2692902,10973204,2699407,21321172,5805432,0,0,0,0,0,0,0,0,0,0,0,0,0,5400
COFBb.chr7,68398435,18486222,3793174,10064461,1818947,10147097,1819038,18385884,3879812,0,0,0,0,0,0,0,0,0,0,0,0,200,3600
COFBb.chr8,55246804,13201634,4996614,6975712,2421910,7033242,2422382,13169468,5022042,0,0,0,0,0,0,0,0,0,0,0,0,100,3700
COFBb.chr9,66272944,17493706,4417165,9351947,2084234,9224582,2087554,17162779,4446877,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
COFBb.chr6,77060234,20859523,4537321,11049897,2085924,11045913,2088793,20845131,4544332,0,0,0,0,0,0,0,0,0,0,0,0,0,3400
COFBb.chrX,84611564,21283285,6581241,11323013,3121689,11325862,3115119,21291952,6565003,0,0,0,0,0,0,0,0,0,0,0,0,0,4400
COFBb.000044l,77183,23024,0,14557,0,13204,0,26398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000091l,146562,2817,32796,2613,31323,3673,37012,3030,33298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000096l,56279,16579,4,10544,2,9453,3,19689,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000118l,121932,2462,27667,2994,30920,2129,26166,2299,27295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000121l,140031,2654,31342,2460,30019,3466,35483,2850,31757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000128l,237625,4851,54017,5870,60091,4213,50862,4533,53188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000132l,64139,22125,2,10802,1,12078,2,19128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000175l,46053,15746,0,7846,1,8760,2,13696,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000178l,106798,2092,23873,1941,22700,2727,26870,2246,24349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000193l,165648,57573,1,27686,1,31413,0,48974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000202l,124592,2660,28310,3234,31312,2296,26517,2478,27785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000211l,42095,13151,195,6713,59,7730,90,13904,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000212l,62339,1320,14226,1607,15614,1146,13278,1235,13913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000235l,144563,2870,32883,3479,36770,2468,31058,2677,32358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000241l,616046,11397,137988,10554,132461,14857,156602,12237,139950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000254l,29496,10108,0,5062,0,5591,0,8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000255l,67413,19666,144,12139,111,11252,118,23758,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000259l,137518,2656,30731,2460,29403,3466,34750,2850,31202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000273l,225615,67064,0,42419,0,37315,0,78817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000286l,293910,87184,1,55761,0,49699,0,101265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000291l,90833,27002,0,17384,0,15457,0,30990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000297l,119853,2470,27206,3001,30301,2132,25656,2298,26789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000299l,307240,106379,0,51253,1,57822,0,91785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000303l,157713,3228,35736,3920,39944,2788,33816,3009,35272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000310l,258704,89150,0,43345,0,49133,1,77075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000311l,52275,3285,12986,1744,7432,1712,7442,3265,14409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000319l,74394,21888,0,13630,3,13230,6,25636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000337l,160064,47544,0,30552,1,27036,0,54930,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000340l,44808,13223,0,8642,0,7441,0,15502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000342l,61147,21189,0,9999,0,11630,0,18329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000344l,153878,52855,0,25262,2,29529,0,46230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000346l,33072,9877,0,6171,0,5507,0,11517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000354l,191226,66049,166,32807,288,35283,2,56570,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000356l,70550,1516,16106,1849,17637,1311,14964,1418,15749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000360l,28347,9850,0,4750,0,5418,0,8329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000363l,36124,558,8198,514,7881,718,9351,602,8302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000365l,381015,9423,84983,10752,94903,8330,80243,8650,83731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000366l,101668,35179,2,17061,0,19294,0,30131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000369l,104076,35784,0,17649,0,19711,0,30932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000374l,127881,12104,23168,10265,18791,10329,18376,12145,22703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000376l,122049,42140,5,20808,3,23045,2,36040,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000384l,216859,74904,0,36627,0,41016,0,64312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000386l,95321,1758,21318,1639,20506,2297,24337,1892,21574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000387l,414559,123865,0,79027,3,69608,0,142055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000388l,143978,2837,32684,3400,36101,2525,31568,2668,32195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000392l,67020,23161,0,11229,0,12478,0,20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COFBb.000398l,224799,32080,29065,27234,24301,27136,24482,31897,28604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
