Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SZFBb.chr1,65000327,14769956,6867735,7546325,3284771,7511728,3303748,14816541,6897023,0,0,0,0,0,0,0,0,0,0,0,0,100,2400
SZFBb.chr5,81769975,22435954,4433644,12003847,2062418,11854781,2067197,22471936,4438498,0,0,0,0,0,0,0,0,0,0,0,0,100,1600
SZFBb.chr2,77824319,20929577,4793205,11090777,2256425,11016411,2256990,20705760,4773474,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
SZFBb.chr3,86857084,23689841,4700935,12763335,2186590,12816062,2182606,23832023,4683592,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
SZFBb.chr4,85251217,22447917,5794372,11666380,2705040,11721230,2698488,22419083,5796007,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
SZFBb.chr7,67226309,18135532,3680971,9959141,1760367,9955079,1753268,18230657,3749794,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
SZFBb.chr8,55954045,13438153,5001781,7135719,2401311,7114552,2396548,13478325,4986956,0,0,0,0,0,0,0,0,0,0,0,0,0,700
SZFBb.chr9,62162318,16031729,4337232,8560379,2057119,8611652,2044914,16219216,4298477,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
SZFBb.chr6,83650167,23136079,4546658,12179199,2083680,12165572,2083586,22912883,4541010,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
SZFBb.chrX,83443357,20996744,6561525,11111278,3107675,11091331,3105625,20927648,6540531,0,0,0,0,0,0,0,0,0,0,0,0,100,900
SZFBb.000082l,45367,5849,8636,3216,4705,2992,4858,5567,9544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBb.000083l,28789,489,6463,462,6213,618,7362,522,6660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBb.000101l,49900,958,11511,1121,12580,810,10699,880,11341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBb.000115l,75542,1332,17152,1580,19511,1180,16454,1250,17083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SZFBb.000116l,34362,1674,9683,1093,5205,921,4946,1675,9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
