Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
GRMa.chr1,64427488,14328441,7226322,7236004,3439431,7250346,3432196,14290255,7201993,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
GRMa.chr5,78042500,21290720,4327942,11294166,2010384,11363158,2004683,21406326,4322621,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
GRMa.chr2,77201340,20687220,4741065,11021048,2233899,10971268,2233263,20566304,4723273,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
GRMa.chr3,80689500,21960149,4569676,11771293,2129170,11691421,2131968,21842633,4586690,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
GRMa.chr4,80788213,21004975,5829938,10842319,2710532,10870804,2713379,20986460,5808306,0,0,0,0,0,0,0,0,0,0,0,0,0,21500
GRMa.chr7,61979006,16753090,3395977,9117860,1576547,9233133,1577121,16903285,3397993,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
GRMa.chr8,53300500,12747166,4825175,6739985,2319008,6781932,2322918,12711642,4840174,0,0,0,0,0,0,0,0,0,0,0,0,0,12500
GRMa.chr9,62707000,16477554,4210204,8789842,1979873,8724590,1990203,16306256,4216478,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
GRMa.chr6,76859000,20808522,4481694,11054378,2054579,11066306,2056178,20846680,4485663,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
GRMa.chrY,113162000,31757745,5402457,16694054,2688394,16719166,2702021,31735045,5413118,0,0,0,0,0,0,0,0,0,0,0,0,0,50000
GRMa.11,9566045,1542,2164218,1772,2560802,1847,2546477,1517,2165870,0,0,0,0,0,0,0,0,0,0,0,0,0,122000
GRMa.12,210047,357,35171,374,66964,462,67784,323,35112,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
GRMa.13,20000,6081,1,3497,3,4349,3,6064,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMa.14,29000,9708,2,4920,4,4744,1,9618,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMa.15,24500,8315,0,3858,0,4646,0,7181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMa.16,61500,19894,681,9429,498,8989,283,20501,725,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMa.17,73000,22901,653,12375,455,12115,309,23418,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMa.18,387500,112034,11886,62830,7062,61634,6328,113405,11821,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMa.19,153000,30385,21236,15134,9061,15747,9770,29373,22294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMa.20,16000,4665,987,2348,464,2316,369,3835,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMa.21,143000,37568,5988,23740,2710,22678,2459,41142,5715,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
