Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
STHb.chr1,67735110,15195046,7255551,7898280,3467406,7919238,3470068,15255199,7271222,0,0,0,0,0,0,0,0,0,0,0,0,0,3100
STHb.chr5,80017916,21793578,4487913,11547704,2085288,11618484,2082155,21923724,4475670,0,0,0,0,0,0,0,0,0,0,0,0,200,3200
STHb.chr2,77388128,20816911,4784033,10977895,2249380,10930736,2251986,20608607,4765280,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
STHb.chr3,83960015,22913190,4673453,12247773,2181699,12236470,2190063,22826811,4687756,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
STHb.chr4,81086518,21126494,5725812,10966401,2667407,11001590,2663177,21199256,5731981,0,0,0,0,0,0,0,0,0,0,0,0,0,4400
STHb.chr7,65499962,17774616,3776579,9525501,1756425,9464734,1741448,17748721,3708638,0,0,0,0,0,0,0,0,0,0,0,0,100,3200
STHb.chr8,56572177,13632911,5016609,7255997,2406927,7215732,2402641,13640460,4998200,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
STHb.chr9,66568449,17350669,4499678,9207786,2115958,9267414,2107260,17548665,4468819,0,0,0,0,0,0,0,0,0,0,0,0,100,2100
STHb.chr6,78192662,21282846,4548143,11231218,2085971,11150740,2087704,21257133,4546707,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
STHb.chrX,84577864,21378115,6557216,11328384,3106383,11259122,3107796,21293663,6544385,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
STHb.000011l,3625053,1098197,58978,627397,29712,622329,28976,1101906,57558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000072l,55347,787,12710,714,12157,1014,14320,846,12799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000099l,82994,24997,1,15741,0,13911,0,28339,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000137l,24047,771,6053,533,4448,537,4828,750,6127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000144l,123775,42599,0,20693,0,23601,0,36882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000159l,84495,25176,1,16101,2,14303,0,28910,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000161l,193111,63335,1,34073,0,33534,0,62167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000174l,149351,2367,34521,2848,38452,2002,32699,2199,34263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000182l,44000,13513,12,8188,3,7706,4,14564,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000187l,86711,25842,4,16380,8,14532,3,29934,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000202l,53519,15905,1,10135,0,9120,0,18358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000206l,58681,987,13643,1183,14939,833,12724,917,13455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000208l,277014,83629,874,63838,418,53576,453,73459,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STHb.000209l,85034,25352,0,16206,0,14266,0,29210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
