Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SODLa.chr1,67445000,15042780,7284661,7855301,3482861,7827581,3489697,15153285,7304834,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
SODLa.chr5,76913719,20827649,4438730,11062761,2058334,11147247,2058066,20891406,4425026,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
SODLa.chr2,76771728,20500514,4838753,10845411,2285753,10797101,2291520,20357017,4844159,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
SODLa.chr3,81544456,22287910,4601278,11847577,2150268,11784704,2157614,22090836,4620769,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
SODLa.chr4,81890219,21337627,5787813,11088398,2697538,11108730,2693194,21392476,5778443,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
SODLa.chr7,66682500,18003670,3733894,9868589,1737051,9827928,1734995,18058514,3709359,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
SODLa.chr8,55354456,13303763,4937142,7041305,2369380,7088099,2378000,13275568,4960699,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLa.chr9,63419000,16453939,4327237,8763631,2033616,8856422,2024878,16657023,4302254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.chr6,76182009,20605153,4471695,10931389,2057072,10949771,2060171,20630001,4473257,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
SODLa.chrX,87722000,22116623,6818300,11761033,3218811,11729646,3212009,22073985,6787593,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
SODLa.11,58000,19901,0,9743,0,10874,0,17482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.12,47000,14075,2,8763,1,7929,0,16229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.13,75000,25936,0,12688,0,14267,0,22109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.14,15000,5209,1,2515,0,2836,0,4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.15,74000,25490,2,12217,0,13969,0,22321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.16,27000,9308,0,4580,0,5123,0,7989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.17,19969,4813,2057,2528,876,2129,803,4784,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.18,16000,5535,0,2747,0,2985,0,4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.19,79000,23163,0,15003,0,13383,0,27451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.20,118000,34626,6,22315,0,20130,1,40922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.21,32000,9573,0,6105,0,5357,0,10965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.22,99000,29571,0,18758,0,16471,0,34200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.23,22000,6572,0,4120,2,3715,0,7590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.24,56095,1760,15730,991,9026,1152,10036,1720,15680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.25,289000,84184,5712,49748,3860,46956,3715,88470,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
SODLa.26,22000,6592,0,4213,0,3699,0,7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.27,218000,65561,1,40477,0,36241,0,75719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLa.28,163000,48917,10,30314,8,27865,4,55880,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
