Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
YMv2b.chr1,64002831,14190204,7126487,7271975,3414468,7265295,3415174,14171249,7145979,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
YMv2b.chr5,77362515,21104546,4399291,11193339,2056205,11152516,2057619,20976489,4420910,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
YMv2b.chr2,76667960,20532955,4842567,10820350,2276028,10760851,2279597,20321045,4833367,0,0,0,0,0,0,0,0,0,0,0,0,0,1200
YMv2b.chr3,82498322,22558283,4680270,11900296,2180363,11913583,2185431,22379341,4699255,0,0,0,0,0,0,0,0,0,0,0,0,200,1300
YMv2b.chr4,80756378,20781628,6034601,10752545,2811307,10748033,2802977,20791881,6031806,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
YMv2b.chr7,73781435,19909664,4175268,10851643,1980006,10867693,1978792,19830480,4184989,0,0,0,0,0,0,0,0,0,0,0,0,100,2800
YMv2b.chr8,55274196,13245302,5022619,6986798,2406244,6950735,2397173,13276413,4987812,0,0,0,0,0,0,0,0,0,0,0,0,100,1000
YMv2b.chr9,65056398,17025946,4360846,9017785,2045342,9071209,2045652,17145732,4343086,0,0,0,0,0,0,0,0,0,0,0,0,100,700
YMv2b.chr6,78150443,21181439,4627810,11142446,2126030,11140535,2123375,21177836,4629272,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
YMv2b.chrX,84812144,21446768,6527024,11403189,3089542,11399947,3090054,21350059,6504861,0,0,0,0,0,0,0,0,0,0,0,0,0,700
YMv2b.000047l,125779,2112,29012,2469,32326,1775,27408,1939,28738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000048l,311892,85697,1925,66073,1290,66760,1381,86557,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000059l,327089,96088,1,61987,1,55001,0,114009,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000071l,112294,33525,0,21221,0,18809,0,38739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000078l,283697,98788,124,49685,166,52595,0,82336,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000085l,229569,79607,2,38370,0,43210,2,68377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000089l,236316,82510,74,42330,87,43127,23,68143,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000093l,422610,144253,5,71175,6,79727,2,127438,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000096l,305821,104798,557,51200,890,58022,0,90255,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000098c,776729,267066,0,130203,0,146989,0,232467,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000101l,32244,5253,5294,3091,2600,3077,2564,5380,4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000104l,206438,70277,3,34853,0,39402,1,61900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000109l,1277161,381463,256,241268,90,212275,90,441403,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000112l,174108,60581,4,29116,4,32843,2,51548,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000122l,127511,44447,0,21360,1,24301,0,37400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000125l,95649,33030,3,16292,0,18165,1,28156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000133l,42266,770,9527,711,9069,989,10648,829,9723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000135l,516976,156045,204,97084,129,85605,132,177569,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000136l,35677,3293,8093,1645,4350,1576,4565,3296,8859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000138l,123559,36904,1,23228,0,20718,1,42707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000140l,45597,735,10383,675,9909,940,11681,800,10474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000145l,364989,101278,16285,54188,8276,54300,7443,106570,16649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000148l,47582,2317,12405,1293,7093,1266,7097,2389,13722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000149l,216044,64010,0,41175,0,36177,2,74679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000153l,203619,70378,0,34124,1,38758,0,60357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000154l,165133,56448,8,26774,7,31295,2,50589,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000158l,57540,7562,6218,4012,6658,6900,6661,8229,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000159l,231110,68573,3,43649,2,39439,1,79443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000160l,49966,287,17623,136,7035,142,7212,282,17249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000161l,55668,16429,0,10622,0,9293,0,19324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000163l,149778,2406,34086,2211,32586,3076,38422,2618,34373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000165l,223113,65482,0,42566,0,37546,0,77519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000166l,21463,294,4931,270,4739,376,5630,320,4903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000167l,182052,53929,0,34479,0,31152,1,62491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000169l,158088,46830,207,29857,0,26162,3,54579,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000171l,114959,39592,226,19212,118,21439,164,33973,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000174l,201251,58098,14,36212,7,36807,3,70103,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000175l,153958,45340,0,29152,1,26301,0,53164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000176l,46865,13687,0,8896,0,7955,0,16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000178l,121399,33747,8252,17297,3312,14511,3398,32758,8124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000179l,80775,1441,18627,1692,20595,1214,17499,1323,18384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000180l,156463,2499,35645,2295,34015,3195,40141,2720,35953,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000182l,168517,38279,18923,19370,7628,18835,7188,38913,19381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2b.000183l,201421,57470,4,36179,2,36760,4,71000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
