Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
NLv1b.chr1,66221825,14827249,7307527,7539196,3482383,7555565,3476980,14746543,7282582,0,0,0,0,0,0,0,0,0,0,0,0,100,3700
NLv1b.chr5,75945117,20632514,4467079,10886559,2080585,10812724,2081451,20509105,4474200,0,0,0,0,0,0,0,0,0,0,0,0,0,900
NLv1b.chr2,77119858,20601428,4872290,10954539,2292452,10862912,2295223,20379811,4858503,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
NLv1b.chr3,82591637,22603560,4551713,12106467,2120695,12045909,2126603,22464731,4566759,0,0,0,0,0,0,0,0,0,0,0,0,400,4800
NLv1b.chr4,79938642,20943104,5591875,10805240,2606682,10786475,2607964,20986792,5608810,0,0,0,0,0,0,0,0,0,0,0,0,200,1500
NLv1b.chr7,67645646,18333023,3726367,10021178,1750483,9989732,1746682,18353756,3719825,0,0,0,0,0,0,0,0,0,0,0,0,300,4300
NLv1b.chr8,53715265,12933176,4782597,6812630,2294689,6856737,2295377,12929274,4806385,0,0,0,0,0,0,0,0,0,0,0,0,100,4300
NLv1b.chr9,64287129,16656337,4359536,8901464,2047211,9022261,2040545,16929628,4326447,0,0,0,0,0,0,0,0,0,0,0,0,100,3600
NLv1b.chr6,80366750,21919669,4515958,11779462,2073826,11678268,2069952,21813827,4508688,0,0,0,0,0,0,0,0,0,0,0,0,100,7000
NLv1b.chrX,83981939,21136715,6570033,11208018,3111194,11192494,3105010,21111722,6544953,0,0,0,0,0,0,0,0,0,0,0,0,100,1700
NLv1b.000016l,64164,8963,12764,7669,7417,4704,7173,8460,7014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1b.000019l,999895,264242,67598,136607,31919,138374,31782,261277,68096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1b.000052l,127088,37750,0,24265,0,21657,0,43416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1b.000066l,168497,53527,1546,25511,644,28140,708,56581,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1b.000086l,59074,17513,0,11373,0,9839,0,20349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
