Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
MM3v1b.chr1,65808216,14497835,7531934,7341613,3589301,7317858,3587510,14413705,7514160,0,0,0,0,0,0,0,0,0,0,0,0,600,13700
MM3v1b.chr5,78997496,21332588,4701385,11325658,2192743,11249087,2197440,21258165,4716530,0,0,0,0,0,0,0,0,0,0,0,0,1400,22500
MM3v1b.chr2,76196856,20451244,4653288,10787958,2204429,10781967,2199875,20430187,4665508,0,0,0,0,0,0,0,0,0,0,0,0,800,21600
MM3v1b.chr3,78954611,21423480,4583903,11414151,2141621,11341393,2147649,21275570,4602244,0,0,0,0,0,0,0,0,0,0,0,0,1900,22700
MM3v1b.chr4,65673036,16464219,5430402,8412080,2519364,8391380,2520394,16494449,5433848,0,0,0,0,0,0,0,0,0,0,0,0,100,6800
MM3v1b.chr7,55673753,14957270,3425621,7947754,1582717,7929525,1577879,14822591,3427896,0,0,0,0,0,0,0,0,0,0,0,0,100,2400
MM3v1b.chr8,54123145,12913032,4923457,6845737,2371395,6867342,2370007,12876109,4940466,0,0,0,0,0,0,0,0,0,0,0,0,1300,14300
MM3v1b.chr9,60615752,15817560,4199469,8368443,1973797,8334042,1983486,15698195,4222760,0,0,0,0,0,0,0,0,0,0,0,0,1100,16900
MM3v1b.chr6,75212027,20152715,4648381,10615733,2139700,10650163,2140782,20194637,4646216,0,0,0,0,0,0,0,0,0,0,0,0,1500,22200
MM3v1b.chrX,80715781,20218062,6356929,10718836,3022121,10734967,3024181,20238519,6381966,0,0,0,0,0,0,0,0,0,0,0,0,500,19700
MM3v1b.000013l,521637,125683,45581,63581,22006,67732,21750,129786,45518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000023l,214284,53746,17935,26120,8122,25899,8553,54493,19416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000046l,360768,104964,14050,53658,6026,54664,5914,106928,14564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000047l,202431,50690,16355,27408,6791,27637,6404,52390,14756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000061l,99676,27580,5016,15699,2053,14596,2025,27865,4842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000064l,28460,9797,2,4864,0,5377,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000074l,96588,23930,8714,11161,4114,10708,4652,23991,9318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000108l,247688,76321,3353,41736,1716,40132,1712,78928,3790,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000121l,475245,119403,35940,65264,16330,65163,17247,119335,36563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000147l,49850,11251,4134,6083,2238,6464,2303,12634,4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000150l,125576,32853,8289,17434,3810,18548,4020,32308,8314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000160l,610163,187560,8550,104926,4840,103689,4943,186277,9378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000180l,69489,17066,0,14448,0,17852,0,20123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000182l,314387,92210,11052,48049,5078,48479,5204,92686,11629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000199l,18027,2656,3492,2164,2072,1256,2077,2370,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000235l,299704,91312,5589,53223,2888,51255,2641,87451,5345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000253l,136722,38435,7111,18997,3492,18965,3486,38815,7421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000278l,459480,115618,35125,63600,16435,65225,16348,114000,33129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000283l,273292,75203,10531,43713,5052,44701,5238,77502,11352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000313l,156333,49741,3216,23533,1563,24019,1681,49333,3247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000336l,369738,112446,9354,58295,4586,58027,4674,113263,9093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000354l,122820,33042,6232,19793,2547,19074,2688,33026,6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000367l,88862,23371,7334,10787,3201,11427,3092,22182,7468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000373l,294246,45806,52615,21869,24732,22949,25014,47496,53765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000377l,212361,56975,11725,29577,5359,30968,5875,58748,13134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000392l,401370,99839,34403,50521,16050,50533,16738,98099,35187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000397l,110788,25239,11322,13099,5066,14317,4933,26313,10499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000398l,244450,68192,1366,52789,683,52427,638,67215,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000403l,332482,101719,6027,56330,2637,55336,2634,101476,6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000412l,67914,19884,2606,10323,1164,10464,1073,19719,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000430l,164907,27646,29116,11732,12995,13029,13822,27096,29471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000439l,157272,45137,8742,21810,4284,20738,4101,44279,8181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000463l,74832,22875,516,13251,527,13246,422,23302,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000493l,168516,49696,5674,25127,2624,25405,2678,51144,6168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000504l,56587,15139,3132,8770,1305,8853,1241,15525,2622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000516l,92685,26692,2362,14535,1160,15391,1454,28378,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000525l,458123,95647,65145,42962,28240,40809,27294,94092,63934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000529l,32108,10368,1,5704,1,5737,1,10295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000542l,355497,109497,7271,57255,3166,59616,3212,108157,7323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000569l,179121,52271,6720,27659,3254,28989,3069,51490,5669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000577l,144825,45821,277,24383,189,26016,109,47730,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000590l,643217,195033,11886,107461,5905,109089,5983,195790,12070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000594l,44052,13071,10,8358,2,7376,5,15222,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000616l,131586,38639,4888,20094,2482,19378,2452,39317,4336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000617l,228520,38530,39027,18714,19692,19500,18272,38059,36726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000624l,82419,22686,0,21456,0,17506,0,20771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000627l,191450,56061,11,48641,11,38698,7,48013,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000635l,172603,48419,8785,23595,4178,24460,4240,49501,9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000658l,93484,24720,3915,15880,1622,15995,1681,25809,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000659l,372051,117727,6531,57511,2967,58700,2951,118953,6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000685l,74068,14694,11458,6244,4883,6781,4757,14533,10718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000698l,347184,112170,3677,60806,1434,57449,1598,106564,3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000704l,95331,23903,7745,11842,3492,12389,3437,24526,7997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000706l,37728,11168,2,7058,2,6264,2,13230,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000708l,302319,89907,6741,51841,2962,51432,2955,89600,6881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000715l,480392,147582,7568,81580,3261,80710,3493,148595,7603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000721l,334391,82382,31227,41872,14181,40983,14469,79424,29853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM3v1b.000724l,500613,122491,41823,65612,19392,67435,19341,124384,40135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
