Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SAN2a.chr1,65871193,14691219,7297403,7472517,3476668,7505045,3476477,14654116,7286248,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
SAN2a.chr5,76831253,20787663,4457674,11117559,2070875,11074107,2079111,20774433,4463331,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
SAN2a.chr2,76236503,20212907,4842779,10656029,2291502,10728204,2283796,20357634,4854652,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
SAN2a.chr3,82409500,22297849,4637721,12065427,2163069,12076367,2162620,22380685,4617262,0,0,0,0,0,0,0,0,0,0,0,0,0,8500
SAN2a.chr4,79194673,20528277,5736611,10684183,2670332,10673463,2669487,20490324,5729996,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
SAN2a.chr7,66603965,18081180,3667260,9853392,1707070,9880193,1701596,18063071,3642203,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
SAN2a.chr8,55567786,13288096,5027762,7046650,2406893,7076798,2414995,13245445,5054147,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
SAN2a.chr9,66017071,17109988,4352465,9237193,2043461,9423309,2039801,17480731,4326123,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
SAN2a.chr6,69857991,18836321,4279240,9822945,1975485,9822680,1972958,18857509,4282853,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
SAN2a.chrX,81927800,20528273,6458013,10889839,3068968,10872905,3070540,20542693,6484569,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
SAN2a.11,34574,10285,1,6673,0,5744,0,11871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.12,17174,5490,365,2092,189,2459,212,5933,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.13,23016,1497,6021,726,3195,695,3365,1474,6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.14,15129,2306,1830,1169,2092,1210,1521,2870,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.15,15294,4457,477,2326,186,2427,161,4815,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.16,20257,4996,2408,2287,943,1620,917,4859,2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.17,106009,2423,23596,2609,22230,2624,26040,2606,23881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.18,143816,34624,11981,17419,6291,19261,5967,36564,11709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.19,18085,4646,1656,2345,869,2022,863,4341,1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.20,19011,6338,1,3936,1,3059,2,5672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.21,40052,3429,8758,1861,5985,1901,5756,4006,8356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.22,40643,2314,9627,1284,6162,1232,6793,2407,10824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.23,23257,966,6465,606,3730,439,3178,975,6898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.24,24013,729,7246,499,3910,495,3833,723,6578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.25,23096,4939,2622,2392,1280,2217,1441,5090,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.26,20924,3809,2861,2344,1326,1946,1367,4429,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.27,25208,8664,0,4183,0,4844,0,7517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.28,17388,3904,1698,1933,879,1900,1014,4122,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.29,60279,932,13750,982,14336,984,14084,941,13770,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SAN2a.30,38578,1657,10662,908,5658,1083,5963,1640,11007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.31,27891,729,8244,499,4868,494,4648,723,7686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.32,28407,480,6653,558,7243,413,6100,441,6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.33,19060,5447,1863,1751,662,1677,617,5211,1832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.34,19413,322,4449,297,4143,397,4902,351,4552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.35,25031,320,5828,372,6647,276,5530,294,5764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.36,40070,899,11314,609,6894,593,7411,831,11519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.37,28582,3102,5616,1326,4403,1335,3778,2729,6293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.38,31261,1487,7791,813,5370,783,5786,1255,7976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.39,26922,1651,6833,845,3628,792,3913,1746,7514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.40,75111,1176,17209,1104,16132,1488,19129,1280,17593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.41,28021,480,6549,558,7121,414,6013,441,6445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.42,28112,440,6447,414,6056,558,7179,480,6538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.43,36276,8870,3056,4533,1450,4062,1582,9207,3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.44,22702,429,5222,404,4779,538,5589,467,5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.45,30375,4342,5950,3634,3526,2117,3518,3998,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.46,33237,4206,6283,1984,4294,1934,4590,3616,6330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.47,51451,735,11805,690,11188,930,13316,800,11987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.48,18042,294,4140,276,3853,372,4579,320,4208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.49,54884,882,12592,828,11760,1116,13952,960,12794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.50,28547,3260,4990,1657,4107,1730,3773,3827,5203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.51,30146,508,6884,478,6461,644,7633,552,6986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.52,22577,294,5208,276,4998,373,5972,321,5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.53,34210,588,7839,552,7251,744,8557,640,8039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.54,26468,441,6081,414,5617,558,6637,480,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2a.55,39805,982,11218,656,6868,653,7254,987,11187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
