Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
S8Ha.chr1,64807748,14206347,7421808,7212560,3555134,7267252,3553444,14164422,7414881,0,0,0,0,0,0,0,0,0,0,0,0,100,11800
S8Ha.chr5,78122360,21372257,4318394,11298687,2010801,11361714,2005083,21418135,4316389,0,0,0,0,0,0,0,0,0,0,0,0,1200,19700
S8Ha.chr2,75325893,20023945,4866705,10529648,2308230,10464047,2306068,19961040,4849710,0,0,0,0,0,0,0,0,0,0,0,0,400,16100
S8Ha.chr3,80753233,21967983,4581640,11765236,2140162,11669060,2145142,21858873,4604737,0,0,0,0,0,0,0,0,0,0,0,0,1400,19000
S8Ha.chr4,78806945,20474450,5729692,10518170,2670178,10540028,2664659,20460184,5729184,0,0,0,0,0,0,0,0,0,0,0,0,500,19900
S8Ha.chr7,61556359,16651663,3371224,9054646,1570570,9177612,1569528,16782268,3359648,0,0,0,0,0,0,0,0,0,0,0,0,1300,17900
S8Ha.chr8,54472235,13035395,4918919,6887199,2360993,6942319,2368579,13001209,4943722,0,0,0,0,0,0,0,0,0,0,0,0,800,13100
S8Ha.chr9,63014750,16555157,4239897,8821718,1991981,8749632,1998152,16400254,4242959,0,0,0,0,0,0,0,0,0,0,0,0,1100,13900
S8Ha.chr6,76025916,20610732,4446501,10926510,2048733,10915948,2048925,20566634,4443133,0,0,0,0,0,0,0,0,0,0,0,0,800,18000
S8Ha.chrX,84599024,21371074,6516501,11365701,3089292,11335998,3085144,21325068,6490946,0,0,0,0,0,0,0,0,0,0,0,0,200,19100
S8Ha.000012l,65604,1330,14917,1619,16600,1147,14049,1238,14704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000035l,97046,28858,0,18312,0,16192,1,33683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000044l,90283,29097,1374,13860,542,14410,946,28716,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000071l,232556,69484,0,44155,0,38653,0,80264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000122l,31056,637,6892,596,6625,833,7831,685,6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000131l,320916,108544,1816,52579,992,59660,1097,94425,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000150l,47904,14014,1,9026,0,8160,0,16701,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000157l,166783,57963,0,27933,0,31716,0,49171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000198l,615660,157627,49789,76679,21427,80609,20600,160491,48438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000213l,233323,4416,52214,4086,50040,5758,59150,4740,52919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000286l,140985,42009,0,26852,5,23765,0,48351,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000297l,299560,92032,7558,47828,3382,46683,3238,90499,8340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000303l,50164,6208,10376,3497,4765,3665,5502,6326,9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000321l,475790,100968,63600,47147,28170,48995,29540,94027,63343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8Ha.000332l,383321,107799,16904,57734,8684,56519,8817,108488,18376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
