Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
PPFBa.chr1,65792706,14623560,7382087,7410184,3517910,7424979,3508516,14569897,7350773,0,0,0,0,0,0,0,0,0,0,0,0,0,4800
PPFBa.chr5,79301934,21661061,4459206,11546331,2070040,11453670,2074574,21569427,4462225,0,0,0,0,0,0,0,0,0,0,0,0,200,5200
PPFBa.chr2,78259944,20881436,4795393,11167049,2273508,11119045,2264238,20939197,4813778,0,0,0,0,0,0,0,0,0,0,0,0,100,6200
PPFBa.chr3,82065171,22339225,4625487,11990027,2156730,11895468,2159659,22254061,4638714,0,0,0,0,0,0,0,0,0,0,0,0,300,5500
PPFBa.chr4,84257616,22085637,5851366,11456777,2723463,11504271,2729445,22048337,5851720,0,0,0,0,0,0,0,0,0,0,0,0,100,6500
PPFBa.chr7,65210488,17545499,3628239,9672691,1712000,9632874,1707275,17640617,3667993,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
PPFBa.chr8,53750037,12787572,4968655,6669646,2385979,6755756,2387409,12801637,4989083,0,0,0,0,0,0,0,0,0,0,0,0,0,4300
PPFBa.chr9,66933960,17630138,4486879,9355258,2114331,9270489,2117227,17445172,4510866,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
PPFBa.chr6,80272044,21854119,4567939,11653799,2103998,11618688,2108087,21780962,4578952,0,0,0,0,0,0,0,0,0,0,0,0,200,5300
PPFBa.chrX,84768755,21452815,6518672,11351012,3097129,11380438,3087991,21373891,6500607,0,0,0,0,0,0,0,0,0,0,0,0,0,6200
PPFBa.000047l,98938,1948,22114,1804,21070,2540,24851,2091,22520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000081l,303933,104869,0,50955,0,57506,0,90603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000101l,3090043,585731,463828,286702,207181,292134,209624,586728,458115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000112l,736950,84202,114418,71736,96626,71813,96440,84966,116749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000146l,75285,25926,6,12600,1,14290,7,22447,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000147l,841373,195306,81979,102750,37899,101301,38985,200841,82312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000193l,128842,2486,29293,3006,32929,2139,27789,2314,28886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000199l,99519,29169,0,18914,0,17038,0,34397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000255l,103734,35900,4,17043,1,19726,1,31054,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000256l,66081,19512,5,12504,3,11143,0,22910,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBa.000270l,113119,2280,25613,2772,28750,1968,24300,2124,25312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
