Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
MBSVa.chr1,66692343,14914270,7290112,7621723,3477495,7589478,3478475,15004856,7314834,0,0,0,0,0,0,0,0,0,0,0,0,100,1000
MBSVa.chr5,83908521,22998344,4592447,12295197,2136701,12256456,2135870,22897825,4594081,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
MBSVa.chr2,83902427,22449214,5036028,11986522,2387568,12025196,2381121,22582301,5053377,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
MBSVa.chr3,86044196,23526835,4660342,12697164,2168381,12665089,2172176,23484913,4668696,0,0,0,0,0,0,0,0,0,0,0,0,0,600
MBSVa.chr4,84311839,22087799,5831296,11482716,2717425,11527604,2721779,22111543,5830377,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
MBSVa.chr7,67878716,18365648,3752521,10020549,1751807,10079113,1754956,18437046,3715776,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
MBSVa.chr8,55176138,13196765,5013911,6947778,2421119,6988752,2423376,13139094,5044843,0,0,0,0,0,0,0,0,0,0,0,0,0,500
MBSVa.chr9,68245420,18059178,4405919,9664648,2081018,9580058,2084422,17932188,4436689,0,0,0,0,0,0,0,0,0,0,0,0,0,1300
MBSVa.chr6,79566461,21723618,4433092,11549308,2043410,11617108,2043594,21721721,4433810,0,0,0,0,0,0,0,0,0,0,0,0,0,800
MBSVa.chrX,85815888,21792089,6568776,11508121,3111869,11538674,3102525,21657091,6535743,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
MBSVa.000088l,36164,4744,3916,2518,4198,4321,4198,5157,7112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000094l,80328,1431,18427,1683,20551,1234,17402,1323,18277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000096l,25670,322,5919,295,5670,399,6767,349,5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000097l,112244,2056,25794,2414,28558,1774,24219,1903,25526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000098l,40769,735,9233,685,8690,935,10242,795,9454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000103l,246045,7476,54023,7658,59978,6166,50768,6626,53350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000104l,72809,12736,12519,5142,5753,4843,6140,12654,13022,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000111l,567850,179230,5529,93540,2314,94778,2986,184595,4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000112l,29410,696,8489,483,5458,479,5065,694,8046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000113l,48035,1612,10099,1495,11459,1750,9907,1513,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000115l,44503,795,10289,935,11335,685,9619,735,10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000116l,92874,9841,19223,5506,11133,5459,11757,10087,19868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000117l,100695,2480,22081,2084,20974,3155,24867,2560,22494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBSVa.000120l,238858,5111,54072,5513,60078,4736,51092,4699,53557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
