Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SDFBa.chr1,68792610,15559005,7437819,7936124,3538201,7897055,3529422,15475419,7415965,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
SDFBa.chr5,79747452,21718609,4499275,11606564,2092081,11563222,2095069,21665003,4503529,0,0,0,0,0,0,0,0,0,0,0,0,100,4000
SDFBa.chr2,77767414,20829356,4847877,11125920,2283663,11007291,2288096,20545582,4835429,0,0,0,0,0,0,0,0,0,0,0,0,0,4200
SDFBa.chr3,81857581,22166040,4681515,11970659,2186707,11931925,2181817,22067134,4667884,0,0,0,0,0,0,0,0,0,0,0,0,200,3700
SDFBa.chr4,80490159,20929441,5797418,10820473,2702479,10818807,2696116,20926505,5794320,0,0,0,0,0,0,0,0,0,0,0,0,100,4500
SDFBa.chr7,67560320,18235412,3727681,9983786,1744047,10009811,1747170,18330939,3778074,0,0,0,0,0,0,0,0,0,0,0,0,100,3300
SDFBa.chr8,54972609,13085169,5020679,6972656,2415553,6933307,2420563,13117885,5003497,0,0,0,0,0,0,0,0,0,0,0,0,100,3200
SDFBa.chr9,65676805,17310137,4394403,9197547,2071375,9108354,2075540,17101132,4415017,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
SDFBa.chr6,76050858,20609315,4470949,10851948,2054046,10909191,2054654,20618605,4476950,0,0,0,0,0,0,0,0,0,0,0,0,0,5200
SDFBa.chrX,84365489,21213842,6640839,11232869,3146970,11218338,3137327,21163862,6608142,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
SDFBa.000005l,101745,30691,1,19207,0,16921,0,34925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000033l,123816,39424,1155,21407,760,20790,567,38382,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000051l,72583,4045,18584,2203,11632,2196,11626,4592,17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000054l,122491,36398,1,23182,0,20488,0,42422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000057l,64304,19308,1,12250,1,10292,0,22452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000078l,197436,3913,43995,3624,42203,5080,49902,4235,44484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000081l,197202,30136,38202,13871,18715,12687,18389,28959,36243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000090l,237394,82133,0,38493,0,45551,0,71217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000093l,50638,6760,9973,3744,4878,3797,5150,6825,9511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000106l,93610,8315,22990,4565,11273,4752,11937,8351,21427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000120l,43287,2947,10427,1528,7037,1530,6450,2640,10728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000136l,722613,190184,46632,99502,21104,102798,22635,190421,49337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000138l,111761,9196,27197,5006,14661,5199,15564,9007,25931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000140l,73750,21750,0,13987,0,12386,0,25627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000144l,81702,5392,20838,2758,12564,2839,12534,5852,18925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000153l,270081,5422,60329,4843,57636,6751,68099,5817,61184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000164l,51881,15479,0,9895,0,8644,0,17863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000173l,698782,183123,46634,96621,19784,99970,19881,186691,46078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000203l,139198,45630,1171,24046,751,23163,558,42539,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000204l,2324716,479542,310024,230549,147494,227420,145795,475227,308665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000212l,325944,95255,1,84018,0,66726,1,79943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000213l,788325,206539,50419,110429,23075,112563,22688,212635,49977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000221l,31973,11120,1,5485,0,5958,0,9409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000226l,357365,122394,0,59597,0,68143,0,107231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000230l,57871,19967,4,9785,3,10982,0,17128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000253l,62126,21289,2,10315,0,11849,0,18670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000254l,30533,8951,8,5822,6,5089,1,10646,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000256l,1063178,244801,109541,124887,53567,126084,53579,243897,106822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000258l,39687,11786,10,7584,3,6560,2,13733,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000263l,33786,11602,4,5567,0,6480,1,10131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000268l,110797,27509,11584,11747,4817,11752,4896,26831,11661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000269l,27586,8120,0,5247,0,4698,0,9521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000270l,42672,3617,9686,1935,6193,1984,5918,4207,9132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000271l,31153,976,9145,439,4596,607,5174,968,9248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000273l,58857,20316,1,9902,0,11232,0,17405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000286l,199994,34699,32547,17614,16816,17499,15942,32815,32062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000287l,77448,6432,17823,3071,10923,2987,11189,5844,19179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000293l,51755,15443,0,9811,0,8663,0,17838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000294l,166787,3809,37761,4308,41715,3114,35396,3552,37132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000297l,137366,41383,275,27587,245,21562,11,46216,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDFBa.000298l,67106,20005,5,12930,2,11032,3,23127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
