Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
WCFBa.chr1,66621439,14984752,7310737,7619294,3480390,7570797,3472960,14888616,7291593,0,0,0,0,0,0,0,0,0,0,0,0,100,2200
WCFBa.chr5,79722324,21772625,4459702,11633100,2075765,11580273,2078858,21653692,4465009,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
WCFBa.chr2,78439510,21039120,4866845,11236641,2288942,11109172,2293348,20749353,4853289,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
WCFBa.chr3,82407121,22484368,4668236,12014634,2181637,11916188,2183292,22267141,4689125,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
WCFBa.chr4,80619455,20940936,5812490,10809561,2715527,10856017,2714247,20963369,5803008,0,0,0,0,0,0,0,0,0,0,0,0,0,4300
WCFBa.chr7,65949636,17756622,3754880,9664791,1749232,9734952,1751464,17822136,3713459,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
WCFBa.chr8,55322539,13223966,4998629,6989236,2419525,7047258,2420805,13195390,5024430,0,0,0,0,0,0,0,0,0,0,0,0,100,3200
WCFBa.chr9,65261480,16981202,4417070,9050643,2081309,9087189,2067618,17184019,4391030,0,0,0,0,0,0,0,0,0,0,0,0,100,1300
WCFBa.chr6,75433177,20440340,4423089,10786751,2035065,10831694,2031373,20457268,4423997,0,0,0,0,0,0,0,0,0,0,0,0,100,3500
WCFBa.chrX,85009508,21408826,6541106,11376272,3109056,11382347,3110781,21513842,6563678,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
WCFBa.000073l,268300,79290,0,51034,0,45011,0,92965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000093l,54411,18700,0,8970,0,10427,0,16314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000165l,60376,6749,12913,3986,7000,3793,6425,6644,12866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000168l,58244,4485,14305,2770,8042,2681,7381,4469,14111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000171l,32331,968,9691,607,5339,439,4754,976,9557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000176l,182304,55225,183,34078,100,29621,34,62800,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000184l,181371,3642,41347,4413,45929,3139,38860,3391,40650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000188l,41317,14167,1,6902,0,7866,1,12380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000191l,667867,98096,128755,80344,76154,47084,76168,89997,71269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000194l,121421,2301,27168,2132,26035,3002,30767,2471,27545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000201l,387612,134199,1,65153,2,72163,4,116085,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000204l,336279,116197,0,55532,0,63639,0,100911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000208l,43877,4229,9301,2030,6338,1992,6495,3679,9813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000209l,44708,6591,8219,3669,4245,3739,4026,6646,7573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000218l,37049,3212,7816,1775,5695,1793,5313,3791,7654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000221l,58635,17409,1,11111,3,9975,1,20133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000223l,52567,19274,1,12825,0,7133,1,13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000229l,40865,14182,1,6940,0,7705,0,12037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000231l,102887,30414,0,19707,0,17265,0,35501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000237l,57856,2162,15964,1159,9058,1282,10105,2181,15945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000242l,61822,4897,15189,2497,8918,2574,8679,5417,13651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000243l,125131,37229,0,24061,1,20915,1,42924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000244l,114144,34046,10,21621,4,19035,4,39414,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000247l,41822,6169,7508,3472,3548,3630,4214,6288,6993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000248l,52362,893,11796,823,11393,1167,13500,959,11831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000255l,32178,1236,8884,741,4785,814,4975,1301,9442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000256l,256965,75580,10,50041,5,43617,6,87702,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000257l,37425,12991,0,6271,0,6990,0,11173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000261l,114910,39710,0,19356,0,21776,0,34068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000263l,49632,12235,2264,8511,1155,7966,1309,13653,2539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000264l,406480,8973,91495,11029,102227,7641,86461,8483,90171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000266l,28648,1706,8392,767,4109,811,3972,1613,7278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000268l,62289,3757,15416,2049,9977,2077,10368,4341,14304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000272l,92534,1769,20693,1640,19807,2306,23381,1899,21039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000273l,61938,7795,11965,4404,6656,4184,6399,7734,12801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000274l,74265,7795,16467,4406,8721,4183,8140,7734,16819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000275l,43256,1675,12011,1094,7387,921,6758,1673,11737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000276l,211347,5844,46576,6453,51972,5269,43977,5340,45916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000280l,261621,88679,13,49047,14,44802,0,79060,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000281l,45877,1812,13186,1130,7198,959,6627,1830,13135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000283l,583354,66035,91218,56298,76561,56026,76675,66546,93995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000284l,157343,54371,0,26403,0,29759,1,46809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000285l,29078,2928,6357,1447,3610,1478,4301,3443,5514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000292l,219981,64751,212,41887,75,36262,133,76532,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000296l,43713,4227,8935,2031,6647,1992,6607,3681,9593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000297l,57809,6436,12120,3734,6686,3564,6197,6293,12779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000298l,169713,50204,0,31844,0,28455,0,59210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000299l,78924,23587,0,14895,0,13039,0,27403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000300l,88923,30902,0,14861,0,16849,0,26310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000301l,71491,3934,18446,2141,11652,2145,11865,4477,16831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000303l,187117,3790,42429,4607,47451,3276,40135,3534,41895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000306l,117598,2262,26248,2102,25267,2951,29856,2427,26485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000308l,491324,170081,4,81938,4,93923,2,145363,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000309l,41366,6260,6978,3616,4027,3452,3466,6146,7421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000311l,73012,21682,0,13781,2,12497,6,25042,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000314l,178765,3359,40008,3110,38375,4376,45456,3597,40484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000315l,63804,4608,15013,2313,10279,2246,10270,4072,15003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000316l,34326,11765,0,5809,0,6587,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000317l,34732,3616,6811,1934,4858,1984,4552,4207,6770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000318l,60173,2970,15717,1867,9908,1866,8877,3240,15728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000319l,97660,2083,22233,2531,24517,1802,20772,1943,21779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000320l,244088,73859,1,46185,0,40628,3,83412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000321l,81064,23566,3,15668,1,13814,1,28007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000322l,61068,4771,14493,2930,7779,3028,8495,4894,14678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000323l,72607,21630,2,13788,3,12134,2,25046,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000324l,142056,2831,31720,2624,30263,3691,35756,3040,32131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000325l,65214,4484,16477,2104,9314,2235,10315,3916,16369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000327l,30266,4183,5368,1972,3871,1921,4204,3593,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000328l,177337,52611,1,33866,1,29898,0,60960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000329l,194851,57987,0,37356,0,32611,0,66897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000330l,205882,4037,46647,4905,52555,3485,44386,3761,46106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000331l,39971,13663,0,6817,0,7594,0,11897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000332l,56770,2475,16119,1297,9382,1341,9022,2376,14758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000333l,79446,23705,0,14982,0,13394,0,27365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000334l,109644,32595,0,20500,0,18691,0,37858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000335l,38715,2387,10463,1222,5948,1271,5835,2289,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000336l,115411,2059,26283,2516,29819,1783,25133,1919,25899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000337l,51205,1686,14181,1130,9204,958,8145,1719,14182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000338l,50616,5079,11930,2734,6024,2977,5995,5334,10543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000339l,145642,50445,0,24141,0,27717,0,43339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000340l,130937,45311,1,21890,0,24680,0,39053,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000341l,39273,6289,6269,3630,3647,3472,3144,6169,6653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000344l,36618,3033,8030,1553,5369,1583,5809,3612,7629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBa.000345l,119876,2153,26897,1985,25852,2800,30610,2313,27266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
