Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SKFBa.chr1,61166387,13574556,6797063,6945339,3244398,6914117,3246809,13622150,6819855,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
SKFBa.chr5,77839341,21208204,4346088,11257164,2023522,11299837,2021302,21333108,4348116,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
SKFBa.chr2,76888146,20368315,4827596,10845695,2285129,10902652,2279089,20529673,4847697,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
SKFBa.chr3,81999532,22350570,4578676,12011552,2134098,11907576,2138382,22283133,4593045,0,0,0,0,0,0,0,0,0,0,0,0,300,2200
SKFBa.chr4,83491783,21905098,5755043,11368495,2685124,11427745,2680442,21916272,5749864,0,0,0,0,0,0,0,0,0,0,0,0,100,3600
SKFBa.chr7,67238196,18237191,3697914,9916568,1760491,9931715,1759492,18177196,3755329,0,0,0,0,0,0,0,0,0,0,0,0,100,2200
SKFBa.chr8,55963436,13357423,5066799,7129528,2440909,7082076,2443829,13396363,5043709,0,0,0,0,0,0,0,0,0,0,0,0,100,2700
SKFBa.chr9,65055817,16878218,4370122,9099504,2068801,9147649,2062195,17030848,4395780,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
SKFBa.chr6,80385814,21864859,4561993,11613457,2100876,11652216,2102672,21927832,4559809,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
SKFBa.chrX,84867214,21428638,6548384,11379891,3106004,11402800,3101673,21364050,6532874,0,0,0,0,0,0,0,0,0,0,0,0,300,2600
SKFBa.000039l,142483,42625,5,27057,2,23748,2,49028,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000049l,33791,1590,8889,789,5000,736,5059,1681,10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000070l,4534832,1327617,154573,725572,69478,711154,69947,1326324,150167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000099l,44830,13138,1,8545,4,7638,1,15502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000102l,82978,5978,20400,2818,13006,2810,12755,5345,19866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000110l,256081,76862,1,49703,2,42723,0,86788,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000115l,57143,6349,12123,3686,6539,3528,5989,6236,12693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000122l,241693,53178,26736,26939,12714,27612,12675,54989,26850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000124l,350850,103465,45,63290,8,61787,254,121865,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000127l,58082,1233,12937,1144,12287,1580,14461,1324,13116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000133l,63459,6015,14428,3672,8171,3497,7478,5993,14205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBa.000141l,53416,2639,14518,1619,8321,1582,7616,2794,14327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
