Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
GRMb.chr1,65938110,14691351,7324971,7508399,3483526,7499749,3474976,14646113,7298525,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
GRMb.chr5,76052787,20459862,4498173,10859547,2091817,10952850,2087281,20583696,4496561,0,0,0,0,0,0,0,0,0,0,0,0,0,23000
GRMb.chr2,75483213,20050271,4788415,10582189,2264962,10619207,2259265,20085930,4812974,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
GRMb.chr3,80010000,21640412,4570942,11587388,2124520,11662818,2121006,21742246,4551668,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
GRMb.chr4,78494500,20367325,5723095,10473630,2667809,10487060,2662175,20377177,5718729,0,0,0,0,0,0,0,0,0,0,0,0,0,17500
GRMb.chr7,65497000,17682869,3627110,9677730,1693029,9710218,1690164,17750158,3643722,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
GRMb.chr8,54502390,13068678,4917746,6881005,2359154,6938381,2359941,13034672,4932813,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
GRMb.chr9,64510000,16938617,4361692,9031618,2057617,8940380,2063281,16716284,4390511,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
GRMb.chr6,78410000,20891295,4863657,11078791,2376084,11094302,2384810,20842678,4862383,0,0,0,0,0,0,0,0,0,0,0,0,0,16000
GRMb.chrX,83804036,21085848,6547475,11179446,3105009,11187166,3098528,21057161,6525903,0,0,0,0,0,0,0,0,0,0,0,0,0,17500
GRMb.11,40114,5925,6969,3314,3712,3160,3847,5739,7448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.12,37952,6083,6296,3452,2992,3594,3436,6188,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.13,20885,1,4735,3,5438,28,5591,53,5036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.14,281500,34890,40366,29940,34463,29859,34324,35563,41595,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.15,128500,105,45219,40,18948,37,19055,104,44492,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.16,49000,8892,6390,5299,3146,5376,3048,9935,6914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.17,689000,171290,54796,94084,24239,96323,24876,170694,52698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.18,38500,7810,5039,2821,2656,5429,3425,6082,4738,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.19,28115,8630,0,4969,0,4843,0,9673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.20,30088,9098,1,5676,0,5100,1,10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.21,140000,40337,6034,22014,3107,19984,3028,39460,6036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.22,30661,8076,1513,5613,748,4675,587,7998,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.23,270000,83720,450,64975,207,56404,165,63385,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.24,73000,19432,80,17349,38,16940,47,19002,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.25,59500,8496,11586,7030,6837,4105,6700,7820,6426,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.26,34500,4698,5553,3406,3926,3030,3904,4623,4860,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.27,32848,9773,1,6247,0,5551,0,11276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.28,28175,9733,0,4721,0,5324,0,8397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.29,26000,7829,0,4899,0,4299,0,8972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.30,109321,33489,2,19940,1,18550,2,36337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.31,15000,4460,2,2858,3,2464,3,5209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.32,36500,13864,1,10686,3,3373,1,8070,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.33,21500,7045,1,3615,2,3780,1,6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.34,25000,8560,1,3839,0,4362,1,8236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.35,30500,10308,2,5041,3,5740,4,8900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.36,212000,66259,1,38463,6,36746,9,68513,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
GRMb.37,17325,4900,807,2591,365,2332,314,5193,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.38,27000,8013,2,5118,0,4598,0,9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.39,50000,14776,0,9388,0,8542,1,17293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.40,45000,13390,1,8435,1,7563,0,15610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.41,111500,35499,10,19642,2,19739,5,35097,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
GRMb.42,71000,23028,1,12227,2,12739,0,22003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.43,28500,8785,0,5111,0,4905,0,9199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.44,98910,32697,7,17014,4,17770,5,30407,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.45,48000,14192,6,8796,6,8139,2,15848,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.46,101000,34337,0,16938,1,18769,1,29954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.47,37500,12766,0,6137,0,7066,0,11031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.48,66000,22640,0,10882,0,12756,0,19722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.49,34500,11693,7,5599,4,6516,2,10170,9,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.50,54000,17805,0,9019,0,9681,1,16492,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.51,35500,11424,1,6256,0,6223,0,11092,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.52,47500,15925,323,7792,0,8723,17,13671,549,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.53,15000,5148,0,2486,0,2871,0,4495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.54,79000,24155,1,14456,0,13029,1,26357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.55,25500,8419,1,4223,0,4605,1,7751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.56,32500,10233,0,5745,0,5551,1,10469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.57,37500,12741,2,6241,0,6947,2,11067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.58,77000,22502,1,14433,1,12848,0,26214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.59,22500,7607,3,3665,3,4154,4,6564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.60,35479,12208,0,6028,0,6656,0,10587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.61,33500,9942,0,6265,0,5520,0,11273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.62,135500,45957,8,22894,1,25312,4,39820,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
GRMb.63,109000,35596,0,19053,0,18692,0,34659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.64,15000,4462,0,2784,3,2537,0,5213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.65,35500,11932,1,5937,0,6586,0,10543,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.66,20000,6852,0,3338,0,3796,0,6014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.67,36500,12338,0,6002,0,6910,0,10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.68,77500,22306,219,14210,66,12726,157,26124,192,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
GRMb.69,79000,25509,190,13417,54,14274,141,24255,160,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.70,26500,8945,2,4377,4,4952,3,7708,9,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.71,34000,11474,15,5542,11,6231,10,9700,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.72,94500,32552,3,15667,1,17907,1,27868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.73,96500,29371,5,17910,2,15806,14,32875,17,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.74,57000,16814,0,10630,1,9207,1,19347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.75,102000,32528,2,18011,2,18112,2,32343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.76,55500,16617,0,10349,1,9405,0,18628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.77,46000,13636,0,8775,0,7676,0,15913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.78,30000,8964,1,5765,1,4984,1,10282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.79,43500,11217,2,6442,0,9742,53,15509,35,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.80,23500,7149,1,4164,2,4074,1,7605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.81,69500,22713,0,11989,0,12547,0,21751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.82,24000,8380,0,3884,0,4527,1,7208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.83,80000,27832,3,12794,2,15375,6,23983,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.84,76500,24812,1,13141,0,13423,2,24621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.85,24000,7221,0,4535,1,3898,0,8345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.86,161500,47722,0,30697,0,26283,1,55297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
GRMb.87,74500,22659,155,12266,16,14703,307,22593,301,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
GRMb.88,28500,8482,3,5270,0,4716,4,9523,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.89,37000,12742,0,6271,0,6960,0,11027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRMb.90,100000,32134,2,17407,1,18097,4,31352,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
GRMb.91,115500,38462,7,19442,4,21386,2,34691,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
GRMb.92,66500,19674,9,12583,11,10949,2,22763,9,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.93,38500,11565,1,7073,1,6473,0,12884,3,0,0,0,0,0,0,0,0,0,0,0,0,0,500
GRMb.94,62500,18312,2,11980,1,10526,0,21175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
