Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
OFBb.chr1,84762758,19425285,8671404,10088811,4125241,10104337,4129375,19518172,8697633,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
OFBb.chr5,77885337,21300544,4372255,11319352,2036889,11238368,2042122,21198001,4375406,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
OFBb.chr2,76708492,20568850,4790940,10902740,2257795,10812319,2258831,20344596,4769921,0,0,0,0,0,0,0,0,0,0,0,0,100,2400
OFBb.chr3,84297587,22868578,4700696,12309809,2186307,12351696,2182544,23012119,4682838,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
OFBb.chr4,83159192,21732750,5790447,11317898,2702512,11327528,2697105,21790716,5797636,0,0,0,0,0,0,0,0,0,0,0,0,100,2500
OFBb.chr7,65051879,17550979,3618679,9610733,1704880,9623080,1700705,17585005,3655918,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
OFBb.chr8,55874338,13407580,5019612,7080894,2413612,7125750,2420039,13364791,5040460,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
OFBb.chr9,65482566,17029596,4455647,9049569,2102443,9108497,2093498,17218540,4423176,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
OFBb.chr6,80069015,21905396,4568102,11529698,2095846,11497116,2095807,21806483,4568867,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
OFBb.chrX,86787265,21970231,6615708,11704439,3133810,11700636,3129083,21938736,6592422,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
OFBb.000038l,671184,146475,76205,75768,36968,73984,35438,149319,77027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000046l,334718,88896,22120,43913,10917,44202,10822,92945,20903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000056l,70579,1160,16391,1344,18114,960,15406,1048,16156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000062l,2959012,778272,197238,395119,96929,399645,98446,789171,204192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000073l,670761,16222,149476,14824,142911,14492,167984,13955,150897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000084l,152867,53400,0,25433,0,28545,2,45485,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000085l,104943,31173,0,20002,0,17567,0,36201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000088l,249131,74606,4,47139,8,41514,3,85849,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000091l,99917,29524,0,18870,0,16909,0,34614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000094l,264923,91086,0,44560,0,49744,0,79533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000108l,802095,178969,87967,92899,40810,94033,42120,176625,88672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000116l,4895065,1266222,350708,666990,168439,662842,166983,1260169,352712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000118l,167271,57520,2,28626,1,31403,3,49713,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000121l,217956,64912,0,41708,1,36509,0,74826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000139l,229326,68783,6226,37590,2680,36392,2671,68121,6863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000142l,4330523,1049204,392713,539930,187210,541605,187453,1042479,389929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000154l,22926,365,5216,340,5023,479,5942,403,5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000155l,192661,57736,4,36511,2,32154,1,66247,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000156l,85837,25735,7,16267,3,14336,0,29484,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000161l,159127,54961,66,26412,42,29926,39,47644,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000162l,35018,1006,9901,624,5985,624,6528,955,9395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000172l,117196,40374,0,19662,0,22286,0,34874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000173l,67261,9350,8753,8258,7381,8036,7110,9600,8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000175l,52158,2115,14445,1197,7989,1271,8812,2278,14051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000176l,253976,75745,15,48472,13,42545,11,87154,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000184l,145706,43624,0,27418,0,24397,0,50267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000189l,414666,122905,2,78708,1,70448,2,142600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000198l,113039,35718,1,20727,0,18207,0,38385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000200l,1100591,288098,76015,149310,35936,149685,36340,287037,78170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000205l,268879,93010,12,45072,12,50560,0,80213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000206l,80197,22887,2674,12717,947,13469,1127,23925,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFBb.000208l,89082,28908,2106,14074,849,15825,827,24719,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
