Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
BOAXa.chr1,65316000,14486674,7241737,7438972,3451099,7446906,3464932,14515059,7262621,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
BOAXa.chr5,76354500,20857305,4211121,11081298,1952926,11131763,1954067,20950699,4211821,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
BOAXa.chr2,79644134,21413039,4870636,11314537,2294897,11286758,2294246,21311542,4852979,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
BOAXa.chr3,81850000,22263317,4624703,11929074,2156011,11899182,2158547,22176734,4636432,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
BOAXa.chr4,78036549,20254797,5689803,10436317,2651683,10423773,2653102,20223271,5689803,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
BOAXa.chr7,63980000,17287252,3608444,9465668,1674422,9443669,1674643,17221569,3599333,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
BOAXa.chr8,54812500,13083554,5003435,6917109,2390627,6912331,2384147,13138620,4970177,0,0,0,0,0,0,0,0,0,0,0,0,0,12500
BOAXa.chr9,65300500,17000691,4390494,9083572,2065821,9149572,2062236,17164151,4377463,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
BOAXa.chr6,79084000,21495912,4580123,11297754,2108410,11361702,2108556,21538285,4581258,0,0,0,0,0,0,0,0,0,0,0,0,0,12000
BOAXa.chrX,83220866,20854757,6531170,11047347,3100823,11092661,3101826,20927083,6557699,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
BOAXa.11,15000,4673,158,2457,63,2163,44,5220,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.12,45000,15463,1,7531,0,8499,0,13505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.13,37571,644,8666,748,9638,544,8176,584,8571,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.14,24958,1769,6153,1012,3629,933,3094,1858,6510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.15,48963,730,11164,680,10735,935,12738,805,11176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.16,32339,1590,9066,1056,4808,872,4531,1611,8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.17,68230,1225,16184,1463,17137,1057,14365,1127,15672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.18,19005,4926,971,3531,528,3550,487,4130,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.19,35528,8442,99,6783,59,8385,48,11606,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.20,76459,10060,8304,5322,8880,9169,8879,10946,14899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.21,27683,8284,0,5218,0,4495,0,9686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.22,62897,8680,12627,7442,7300,4581,7059,8189,7019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOAXa.23,49500,16520,0,8309,0,9164,0,15007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BOAXa.24,48500,15316,1212,7696,723,8303,711,13360,679,0,0,0,0,0,0,0,0,0,0,0,0,0,500
