Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SHH5b.chr1,65911223,14739168,7216738,7517910,3445261,7524855,3448065,14782835,7232291,0,0,0,0,0,0,0,0,0,0,0,0,100,4000
SHH5b.chr5,79689249,21704001,4477782,11487110,2079227,11564660,2075956,21828468,4467045,0,0,0,0,0,0,0,0,0,0,0,0,100,4900
SHH5b.chr2,79489014,21413162,4854897,11299635,2282488,11253525,2283492,21260458,4835757,0,0,0,0,0,0,0,0,0,0,0,0,100,5500
SHH5b.chr3,85115181,23299621,4642679,12470554,2168776,12459497,2175713,23232452,4660489,0,0,0,0,0,0,0,0,0,0,0,0,100,5300
SHH5b.chr4,82458190,21553232,5761062,11186869,2684396,11227493,2679910,21597370,5761958,0,0,0,0,0,0,0,0,0,0,0,0,100,5800
SHH5b.chr7,64709864,17593297,3700709,9414967,1716383,9360392,1707500,17563213,3649203,0,0,0,0,0,0,0,0,0,0,0,0,0,4200
SHH5b.chr8,56814026,13692574,5038801,7280995,2420823,7241330,2417703,13695550,5022950,0,0,0,0,0,0,0,0,0,0,0,0,200,3100
SHH5b.chr9,65728332,17147451,4414398,9116459,2073587,9171095,2064600,17352814,4383028,0,0,0,0,0,0,0,0,0,0,0,0,100,4800
SHH5b.chr6,79485057,21730318,4539613,11448301,2083257,11404487,2084672,21648764,4540745,0,0,0,0,0,0,0,0,0,0,0,0,300,4600
SHH5b.chrX,83478388,21026624,6540218,11126965,3097239,11094375,3098695,20963712,6524860,0,0,0,0,0,0,0,0,0,0,0,0,0,5700
SHH5b.000093l,402768,120037,0,75190,0,68646,0,138895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000097l,82780,24520,0,15885,1,13952,0,28422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000108l,307540,88821,21,54464,10,56733,11,107454,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000126l,331893,113290,1,54921,0,62496,0,101182,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000132l,295397,87685,0,56168,0,49025,0,102519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000144l,115409,39302,0,19317,0,22145,1,34642,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000145l,122481,36477,0,23309,1,20587,0,42107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000147l,710834,244504,3,119097,1,134389,4,212835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000162l,133942,6522,27055,4073,25737,5924,30803,6433,27395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000202l,136079,40245,2,25900,0,23165,0,46767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000231l,620865,185188,4,117753,8,103655,3,214246,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000250l,135351,2401,31235,2805,34537,2039,29326,2205,30803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000258l,418835,124036,8,79914,0,70893,5,143979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000289l,66708,23039,0,11034,0,12587,0,20048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000310l,154695,53165,0,25788,0,29687,0,46055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000319l,66888,979,15430,1170,17423,828,14766,912,15380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000329l,140985,44628,1256,24556,810,24533,592,43176,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000337l,270044,92795,0,45366,0,51195,0,80688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000339l,223610,66673,6,42658,5,37596,1,76666,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000341l,250445,74859,0,47030,0,41903,2,86650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000344l,581770,200379,728,96618,246,109884,291,173026,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000353l,115143,27879,10419,13828,5423,12856,5485,28038,11215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000356l,180315,53365,0,34338,0,30256,0,62356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000364l,581342,175267,2,109593,0,96048,0,200431,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000367l,105673,31904,8,19469,6,17555,2,36720,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000369l,292942,87771,0,55586,0,49614,0,99971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000371l,97174,33838,0,16301,0,18197,0,28838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000389l,263350,79421,2,48998,0,43833,0,91096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000392l,342983,102611,81,64225,22,57735,21,118214,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000396l,82092,28072,0,13800,0,15656,0,24563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000397l,151042,45094,1,28693,0,25591,0,51660,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000400l,167995,50088,0,31290,0,27619,0,58998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000401l,326363,112860,0,55965,0,61307,1,96230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000406l,131640,45986,0,21806,0,25051,0,38797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000411l,327645,114101,0,58038,0,59020,0,96486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000420l,105357,10515,23503,5704,13339,5933,13440,10964,21959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000421l,430851,148116,3,73240,18,81793,0,127676,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000423l,671258,233060,14,112676,12,126609,0,198887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000427l,389872,6654,89582,7777,100323,5650,84947,6115,88824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000431l,120551,35641,0,22745,2,20206,0,41955,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000437l,148299,52316,11,27790,20,25881,0,42276,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000438l,369636,108892,1773,68698,828,60902,849,125582,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5b.000440l,103173,35557,0,17182,0,19613,0,30821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
