Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
WHWb.chr1,66163000,14732902,7298453,7529097,3481875,7509180,3483923,14791036,7317534,0,0,0,0,0,0,0,0,0,0,0,0,0,19000
WHWb.chr5,76830808,20911050,4453916,11060032,2073214,10977125,2078468,20800074,4462429,0,0,0,0,0,0,0,0,0,0,0,0,0,14500
WHWb.chr2,76278498,20448032,4767590,10854152,2243652,10749340,2247282,20195373,4753077,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
WHWb.chr3,80940229,22014687,4601821,11801958,2144193,11719927,2148449,21882307,4624387,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
WHWb.chr4,80486271,20944476,5769079,10825625,2681893,10808246,2683511,20985881,5773560,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
WHWb.chr7,66182000,17968240,3631007,9787345,1681729,9829764,1681520,17962638,3635757,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
WHWb.chr8,54431376,12979099,4965845,6903285,2379123,6872886,2369517,13011107,4940014,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
WHWb.chr9,62865595,16472587,4303697,8752387,2028048,8664169,2035421,16269736,4329550,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
WHWb.chr6,76693735,20874639,4448205,10983674,2041343,10964992,2043959,20877961,4447462,0,0,0,0,0,0,0,0,0,0,0,0,0,11500
WHWb.chrX,83748631,21028328,6566481,11167579,3115698,11179052,3109975,21023238,6550280,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
WHWb.11,17765,2344,1897,1233,1989,2126,2101,2548,3527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.12,155000,22427,15076,11231,15817,19467,16624,24454,27904,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
WHWb.13,65894,1973,14110,2389,15021,1715,14330,1982,13874,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.14,21415,7738,5,3632,0,3188,3,6846,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.15,91619,11505,13397,9835,11232,9570,10865,11963,13252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.16,86690,1686,19385,1562,18470,2201,21799,1814,19773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.17,57982,2724,15417,1716,9531,1695,8544,2947,15408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.18,52789,5638,11489,3185,5661,3364,6236,5647,11569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.19,51572,4282,12162,2045,7810,1994,7409,3732,12138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.20,120000,2439,27160,2978,30484,2111,25763,2273,26792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.21,36352,3907,7737,2071,4097,1913,4358,3885,8384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.22,35944,559,8166,513,7835,718,9300,601,8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.23,65008,6460,14134,3147,8502,3101,8880,6198,14086,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.24,40964,2311,10079,1268,6674,1303,6245,2742,9842,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.25,34708,4024,6882,1865,4554,1786,4850,3458,7289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.26,30742,4206,5466,1983,3909,1934,4328,3616,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.27,29039,1158,8703,518,3947,667,4551,1158,8337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.28,26480,503,5975,471,5689,668,6705,539,5930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.29,25045,2060,6448,971,3182,1019,3174,2090,6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.30,23632,3246,4192,1390,3159,1358,3597,2654,4036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.31,92574,1839,20577,1708,19806,2410,23422,1975,20837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.32,22112,2178,4691,1269,2773,1365,2399,2461,4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.33,21785,7652,2,3477,1,3247,4,7398,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.34,38889,752,11046,545,7282,553,6684,786,11241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.35,37945,760,8627,924,9614,656,8129,708,8527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.36,36885,926,10288,625,6697,626,6449,935,10339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.37,36297,1171,9879,756,6582,786,6137,1377,9609,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.38,35462,4082,7024,1912,4662,1834,4933,3512,7503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.39,34540,968,10346,607,5766,439,5179,975,10260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.40,29596,750,8238,537,5691,533,5215,771,7861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.41,28423,531,6363,492,6093,693,7211,570,6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.42,125822,2653,28633,3216,31628,2291,26808,2480,28113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.43,25706,2904,5438,1427,2964,1472,3156,3459,4886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.44,24385,2155,5635,1146,3265,1145,3918,2414,4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.45,32400,1592,8604,935,5100,959,5706,1670,7834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.46,18771,3483,2801,1489,1990,1434,2186,2887,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.47,27498,776,7314,558,5451,566,5010,810,7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.48,34785,2045,8869,1177,5246,1220,5896,2229,8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.49,33712,1845,9150,1085,4940,1010,4296,1970,9416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.50,23703,382,5401,349,5111,487,6039,411,5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.51,20780,7412,10,3439,2,3181,5,6725,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.52,44544,3608,10247,1936,6533,1975,6427,4190,9628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.53,62619,2668,16193,1547,10939,1546,10954,2583,15689,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.54,34337,5650,5489,3155,2867,3032,2927,5411,5806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.55,43601,3138,9914,1598,7058,1641,7279,3694,9279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.56,19134,6620,6,3198,1,3625,5,5672,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.57,28794,9492,339,4651,187,5183,251,8343,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.58,32706,10085,1,5797,1,5683,1,10638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.59,39670,11594,0,7415,0,6539,0,13622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.60,27737,8217,0,5253,0,4739,0,9528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.61,53306,18240,0,8940,0,10164,0,15962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.62,16052,4830,0,3051,0,2659,0,5512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.63,79448,22646,905,14743,364,12670,447,26348,825,0,0,0,0,0,0,0,0,0,0,0,0,0,500
WHWb.64,56000,17219,1,10098,0,9773,0,17908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
WHWb.65,53432,7051,5706,3730,5984,6406,6333,7649,10573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.66,31992,1260,6502,953,6255,1608,7538,1232,6644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.67,16767,1407,3182,646,3111,664,2671,1646,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.68,70284,3005,14524,2999,16223,2808,13720,2696,14309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.69,35674,948,8383,863,8608,662,7319,908,7983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHWb.70,36073,4681,6783,2846,3893,2708,3336,4661,7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
