Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
FCS1b.chr1,63180547,14199651,6865042,7292059,3272605,7270232,3259528,14175256,6840174,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
FCS1b.chr5,71249000,19260385,4119633,10268667,1921773,10272180,1929470,19334076,4135816,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
FCS1b.chr2,75651000,20071644,4847519,10651312,2289824,10649061,2280095,20002521,4856024,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
FCS1b.chr3,80557000,21785960,4562391,11813800,2132481,11800193,2135501,21737046,4584628,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
FCS1b.chr4,81821500,21253191,5834673,11112585,2722894,11084863,2716844,21257223,5832727,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
FCS1b.chr7,67368047,18237335,3723799,9987031,1731336,10012198,1729885,18228921,3715042,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
FCS1b.chr8,54953453,13154717,4959651,6960910,2378680,6996723,2384861,13130224,4981687,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
FCS1b.chr9,66345547,17248953,4380873,9330748,2067663,9393021,2065892,17447152,4404245,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
FCS1b.chr6,77731500,21064816,4453848,11193776,2048234,11304501,2042871,21170011,4447943,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
FCS1b.chrX,82702500,20860928,6381052,11154939,3022986,11102261,3022509,20795686,6352639,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
FCS1b.11,41000,14118,0,6916,0,7816,0,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.12,49000,14603,0,9388,0,8209,0,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.13,91000,27032,179,18929,104,14253,867,28038,598,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1b.14,79000,23423,3,14652,3,13358,0,27559,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.15,116000,28658,18,12038,17,33827,7,40428,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1b.16,45000,14403,9,8033,3,8038,7,14499,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.17,24761,351,5769,397,6516,297,5444,322,5665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.18,32500,1510,5364,303,5334,3990,6397,3895,5207,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.19,85000,29250,0,14270,1,16123,0,25356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.20,134000,46408,1,22565,0,25161,0,39865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.21,57000,17168,0,10395,0,9584,0,18853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1b.22,72500,24466,2,12013,3,13578,0,21938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.23,24000,8213,3,4003,1,4616,1,7160,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.24,59000,20542,0,9799,0,10576,0,18082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.25,110000,35270,253,19169,112,19375,180,34438,203,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1b.26,34000,10853,5,6174,1,5274,0,11690,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.27,43500,13596,0,7875,1,7311,2,14215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.28,212500,63459,4,40051,2,35792,3,72687,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.29,33500,10551,7,5885,5,5844,1,10701,6,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.30,81500,23961,0,15308,0,13748,0,27983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.31,31000,10332,205,5775,244,5025,0,8381,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
FCS1b.32,28500,8857,0,5053,0,4940,0,9150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.33,53500,15855,0,10037,0,8729,0,18379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.34,29000,8642,0,5505,0,4818,0,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.35,63500,18491,3,8221,1,15271,6,21003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.36,24000,8256,0,4033,0,4528,0,7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.37,31000,10616,4,5254,4,5844,2,9267,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.38,26500,8798,0,4490,1,4903,0,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.39,71000,21266,0,13458,0,11763,0,24513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.40,17000,5020,0,3227,0,2851,0,5902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.41,89000,26126,0,16911,0,15060,0,30903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.42,66000,19435,0,12466,0,11107,0,22992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.43,107000,31322,86,20197,44,18002,24,37232,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.44,20529,6197,1,3851,1,3492,0,6986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.45,48520,14374,2,9198,5,8129,1,16807,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.46,64500,23054,3,18497,2,6364,4,16074,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
FCS1b.47,166000,49740,0,30174,0,27750,0,58336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.48,61000,17932,0,11577,0,10289,0,21202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.49,40000,11961,0,7577,0,6683,0,13779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.50,39000,11481,0,7475,0,6618,0,13426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.51,24000,7111,0,4631,0,3994,1,8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.52,159000,47156,1,30347,0,26494,0,54999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.53,42000,12512,0,7952,1,7014,0,14521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.54,197000,68667,0,32980,0,37229,0,58122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.55,84512,25027,0,15896,0,14053,1,29531,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCS1b.56,74000,22215,0,14278,0,12111,0,25396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
