Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SAN2b.chr1,64695200,14344524,7250968,7291952,3452524,7340516,3450509,14320962,7236245,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
SAN2b.chr5,74847000,20221089,4444698,10723783,2071012,10722436,2063711,20158483,4430788,0,0,0,0,0,0,0,0,0,0,0,0,0,11000
SAN2b.chr2,75001906,19917049,4703894,10534965,2226218,10597088,2221341,20076218,4718633,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
SAN2b.chr3,82079094,22346738,4599042,11987437,2144711,11976537,2144351,22257736,4617042,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
SAN2b.chr4,79980591,20585248,5839941,10780551,2733379,10808741,2728166,20643419,5851146,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
SAN2b.chr7,66469000,18022331,3653785,9846037,1695254,9878099,1692331,18022810,3652353,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
SAN2b.chr8,55393800,13271015,4987753,7025464,2386483,7079727,2393677,13231614,5011067,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
SAN2b.chr9,67119000,17351227,4465172,9382083,2090048,9570238,2088904,17732657,4434671,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
SAN2b.chr6,78504561,21238643,4648581,11197102,2138675,11235642,2138325,21252002,4645091,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
SAN2b.chrX,83725000,20995667,6489207,11210831,3081201,11259844,3090621,21068975,6518654,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
SAN2b.11,1334000,375110,69949,193232,30589,187860,31302,373877,72081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN2b.12,236000,79281,17,41025,19,42763,0,69884,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
SAN2b.13,66577,20003,9,12735,2,11074,4,22746,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
