Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
BCMa.chr1,65132402,14448390,7254984,7363701,3459917,7359254,3469123,14480903,7282130,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
BCMa.chr5,76714000,20784453,4445457,11095096,2067703,11030776,2070968,20745568,4459979,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
BCMa.chr2,75802090,20177860,4806753,10679321,2265980,10626346,2268998,20158856,4794476,0,0,0,0,0,0,0,0,0,0,0,0,0,23500
BCMa.chr3,86162403,23514830,4631754,12715642,2153426,12737320,2150727,23616122,4615082,0,0,0,0,0,0,0,0,0,0,0,0,0,27500
BCMa.chr4,81182531,21100240,5807274,11001223,2699622,10994459,2709257,21027888,5820068,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
BCMa.chr7,65474844,17695987,3600143,9750441,1673564,9715508,1675698,17736178,3607325,0,0,0,0,0,0,0,0,0,0,0,0,0,20000
BCMa.chr8,54785033,13080083,4973868,6937589,2377050,6936587,2368767,13146354,4943735,0,0,0,0,0,0,0,0,0,0,0,0,0,21000
BCMa.chr9,64866000,17002537,4434437,9015823,2089026,8946294,2094188,16802902,4457793,0,0,0,0,0,0,0,0,0,0,0,0,0,23000
BCMa.chr6,75327823,20448899,4383792,10860900,2021296,10803170,2020808,20376517,4390441,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
BCMa.chrX,83331736,20962558,6499663,11174085,3075689,11154108,3074804,20879464,6482365,0,0,0,0,0,0,0,0,0,0,0,0,0,29000
BCMa.11,70000,1143,15787,1091,15482,1375,17109,1204,15809,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BCMa.12,122500,22109,13499,11175,14168,12704,14505,19403,13437,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
BCMa.13,18000,5400,0,3437,0,3032,0,6131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.14,55500,16417,0,10457,0,9349,0,18777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMa.15,23500,7916,3,3754,2,4428,1,6894,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMa.16,79500,24313,0,14499,3,13853,0,26331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMa.17,64000,19379,7,11484,6,10667,2,22447,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.18,59000,17507,0,11139,0,9974,1,20379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.19,28000,8337,0,5266,0,4680,0,9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.20,34500,10237,0,6368,0,5790,0,11605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMa.21,74500,23402,0,13377,0,13082,0,24139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMa.22,71000,22073,0,12623,1,12517,0,22786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BCMa.23,35500,10424,0,6675,5,5944,0,11951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
BCMa.24,177000,51507,10,33985,3,30395,12,60074,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BCMa.25,19000,6520,0,3267,0,3615,0,5596,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.26,106500,31318,4,20116,1,17501,1,36059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
BCMa.27,144000,49398,0,23837,0,27300,0,42465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
BCMa.28,23000,7898,6,3861,2,4342,4,6880,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.29,50000,17068,26,8328,5,9454,4,15099,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.30,27000,9316,4,4502,2,5139,1,8033,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCMa.31,168500,51641,7,30913,7,28669,3,55747,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
BCMa.32,105500,33236,2257,15922,1047,18695,1277,29130,2436,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
