Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
DPFBb.chr1,66919417,15022760,7293148,7653261,3471598,7618079,3482191,15059703,7316077,0,0,0,0,0,0,0,0,0,0,0,0,200,2400
DPFBb.chr5,77635032,21238934,4352114,11287363,2028402,11204777,2032942,21134028,4355072,0,0,0,0,0,0,0,0,0,0,0,0,0,1400
DPFBb.chr2,79252878,21367258,4834762,11271361,2277922,11221984,2280137,21178247,4818907,0,0,0,0,0,0,0,0,0,0,0,0,300,2000
DPFBb.chr3,83867066,22740113,4710050,12220077,2190376,12280062,2186606,22844231,4692851,0,0,0,0,0,0,0,0,0,0,0,0,100,2600
DPFBb.chr4,83322556,21771268,5794451,11343357,2706483,11351860,2701273,21848223,5803141,0,0,0,0,0,0,0,0,0,0,0,0,200,2300
DPFBb.chr7,65046193,17542881,3621930,9619399,1702356,9615939,1700659,17580648,3659981,0,0,0,0,0,0,0,0,0,0,0,0,100,2300
DPFBb.chr8,55438922,13258291,5022799,6995398,2417713,7044345,2422085,13231595,5044896,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
DPFBb.chr9,65507079,17084738,4414776,9070447,2074470,9128806,2066432,17282208,4383302,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
DPFBb.chr6,80332943,21826947,4503131,11629282,2071068,11674996,2068603,22049584,4506232,0,0,0,0,0,0,0,0,0,0,0,0,200,2900
DPFBb.chrX,84436921,21282255,6587069,11281863,3121424,11259474,3118302,21217819,6566615,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
DPFBb.000042l,167054,49730,0,31552,0,28081,0,57691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000047l,57388,19578,0,9627,0,10996,1,17186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000056l,392407,135073,7,65502,5,74080,2,117728,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000063l,72964,13637,6270,11406,5026,11737,5186,13236,6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000080l,43666,785,13038,553,7313,545,7954,751,12727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000092l,36062,720,8180,873,9149,621,7765,680,8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000116l,296619,88647,4,56015,8,49613,3,102321,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000120l,38793,2484,10942,1182,5432,1214,5395,2492,9652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000129l,111301,33667,0,21100,1,18578,0,37955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000138l,970512,249554,76795,125891,35377,131082,36911,238856,76046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000141l,236473,70337,1,43382,0,40371,1,82381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000142l,277955,95556,0,46173,0,53150,0,83076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000165l,123164,2340,27937,2836,31479,2014,26666,2211,27681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000167l,164004,48809,1,30780,0,27695,0,56716,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000168l,205984,71334,0,34235,0,38270,0,62144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000170l,89205,6473,21634,3616,13084,3670,12576,7260,20892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000175l,67480,4605,16895,2369,9206,2571,10269,5119,16446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000183l,128404,38982,0,23649,0,21125,0,44648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000187l,389153,6234,89980,7225,100452,5160,85223,5633,89246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000188l,198186,3565,44554,3251,42850,4565,50557,3769,45075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000189l,143411,2565,32225,2344,31017,3284,36627,2711,32638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000192l,48866,16656,0,7906,0,8965,0,15338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000193l,92110,27344,204,17383,67,15216,90,31685,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000194l,88427,30657,0,14847,0,16750,0,26173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000195l,106465,36560,0,17984,0,20457,1,31463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000196l,135654,46252,2,22629,4,26069,5,40691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000203l,305923,104815,1,52324,9,58199,3,90563,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000209l,67643,1260,15245,1526,17406,1085,14721,1190,15210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000210l,50729,3673,11610,1988,7784,2035,8059,4237,11343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000212l,124650,42889,3,21187,0,23569,1,36998,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000214l,80996,27725,3,13538,0,15472,1,24256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000215l,418004,122917,8,77283,2,72744,6,145038,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000216l,57454,3738,13809,2039,9153,2064,9501,4311,12839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000217l,165251,49370,0,30971,0,27428,0,57482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000219l,123937,36756,0,23626,0,20818,0,42737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000221l,36421,968,10975,607,6076,439,5509,976,10871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000222l,127753,38222,0,24439,0,21177,0,43915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000223l,63041,6348,14144,3686,7686,3528,7134,6233,14282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000224l,45609,5834,9169,3324,4519,3439,4855,5883,8586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000225l,181105,62091,0,30513,0,34506,0,53995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000226l,59928,4936,13130,2517,9520,2474,9309,4379,13663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPFBb.000227l,33835,540,7646,654,8856,465,7478,510,7686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
