Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
TWFBa.chr1,66676637,14991087,7333608,7597799,3490519,7592182,3480942,14876580,7310820,0,0,0,0,0,0,0,0,0,0,0,0,500,2600
TWFBa.chr5,78814180,21348275,4530374,11332905,2100624,11442337,2100383,21433244,4522338,0,0,0,0,0,0,0,0,0,0,0,0,100,3600
TWFBa.chr2,76917135,20543680,4822380,10878038,2274810,10810106,2278971,20491165,4813985,0,0,0,0,0,0,0,0,0,0,0,0,300,3700
TWFBa.chr3,82423010,22274369,4688709,12006257,2191104,12033415,2183319,22374192,4669045,0,0,0,0,0,0,0,0,0,0,0,0,100,2500
TWFBa.chr4,82237800,21428833,5793577,11127840,2702775,11135021,2702109,21550587,5794658,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
TWFBa.chr7,68765062,18742470,3768651,10221187,1740407,10202912,1729694,18640716,3715825,0,0,0,0,0,0,0,0,0,0,0,0,100,3100
TWFBa.chr8,55930496,13424755,5018986,7104623,2403031,7162831,2412751,13355868,5045351,0,0,0,0,0,0,0,0,0,0,0,0,100,2200
TWFBa.chr9,64043491,16777713,4335626,8973296,2035654,8943084,2034961,16621027,4319930,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
TWFBa.chr6,76345160,20695840,4335444,11030155,2000608,11069622,1996166,20869318,4346007,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
TWFBa.chrX,74178188,18162668,6432566,9484060,3048658,9439641,3045601,18110928,6452266,0,0,0,0,0,0,0,0,0,0,0,0,100,1700
TWFBa.000032l,174147,59731,3,29365,0,33029,1,52016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000100l,142153,48195,2,24040,1,27657,2,42251,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000112l,53372,2433,14665,1281,9070,1342,8514,2376,13691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000115l,358933,106857,34,66287,0,61508,132,124021,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000116l,141437,42101,0,26915,0,23543,0,48878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000132l,58821,19583,8,10655,15,11617,1,16931,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000137l,60046,7631,11634,4319,6498,4096,6020,7529,12319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000148l,94514,28053,0,17998,0,15917,1,32544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000157l,63802,5159,15143,2411,8780,2528,9296,4561,15924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000170l,31212,4140,5687,2514,3443,2420,2914,4043,6051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000179l,59399,17704,0,11225,0,10101,2,20364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000180l,35669,909,10189,605,6877,592,6384,892,9221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000189l,39976,1678,10638,859,6078,811,6138,1769,12005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000194l,74720,6918,16516,4095,10424,3949,9386,6817,16615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000195l,40346,2332,11419,1220,5898,1245,5748,2253,10231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000205l,349488,8190,78234,9859,87428,6863,73842,7880,77192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000206l,31534,3569,6360,1558,4240,1500,4521,3010,6776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000214l,141219,48427,0,23487,0,27093,0,42212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000217l,27716,2252,6441,1210,3847,1190,4472,2560,5744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000219l,145658,50309,0,25001,0,27340,1,43006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000220l,207672,61625,1,39335,1,35140,0,71570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000223l,96605,33470,6,16126,0,18455,3,28540,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000229l,134712,46361,2,22736,0,25460,0,40153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000231l,180836,61521,3,30199,0,33695,1,55414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000233l,57785,1762,16288,992,9277,1152,10317,1720,16277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000234l,179226,53305,1,34189,0,29888,0,61843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000236l,224555,4248,50211,3936,48140,5544,56935,4560,50981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000239l,38045,4209,7701,1993,5073,1953,5347,3632,8137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000244l,90554,1900,20580,2310,22799,1640,19313,1770,20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000245l,85016,25256,5,16140,0,14214,5,29384,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000246l,121830,41638,3,20708,1,23236,0,36243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000247l,190947,56354,0,35924,0,33024,0,65645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000250l,104904,36031,10,17670,9,20024,4,31137,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000254l,107026,19830,18537,8697,6552,7093,8513,18355,19449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000256l,134324,39872,78,25648,59,22197,51,46315,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000258l,69872,4974,16742,2817,10516,2848,9510,5603,16862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000259l,806518,94673,123276,80706,102680,80558,102982,95622,126021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000261l,32624,9841,0,6154,0,5413,0,11216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000263l,59694,4295,13892,2082,9858,2021,9661,3755,14130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000264l,186210,55584,0,35274,0,30951,0,64401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000265l,57423,2680,15350,1678,9411,1649,8450,2894,15311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000269l,48220,4137,10330,1960,7838,1895,7663,3594,10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000270l,130251,45496,0,21788,0,24695,0,38269,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000272l,92903,1771,20804,1638,19907,2309,23494,1894,21086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000273l,42848,3089,11663,1482,5839,1548,5832,3126,10269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000280l,225883,77293,1,38280,1,43368,1,66939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000281l,125622,2472,28428,3006,32060,2133,27080,2300,28143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000282l,77358,1670,17509,1985,19394,1492,16450,1572,17286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000283l,83304,1679,18862,2054,21201,1455,17899,1565,18589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000284l,45469,3308,11609,1825,5731,1849,6299,3168,11680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000286l,158210,55183,5,26669,0,29793,3,46552,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000289l,90814,26723,9,17292,3,15241,5,31536,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000290l,36678,747,10408,522,6195,524,6808,727,10747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000291l,46209,3301,11829,1823,5876,1849,6435,3161,11935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000292l,52296,2178,14154,1179,8265,1305,9103,1978,14134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000293l,45090,5015,9774,2879,4542,3037,5188,4975,9680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000294l,103197,1946,23079,1803,22113,2540,26165,2088,23463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000295l,254953,35342,33400,29920,28537,30078,28280,35867,33529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000297l,31556,2252,8471,1066,4400,1114,4143,2303,7807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000301l,72760,7737,16466,4183,7896,4409,8467,7791,15811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000308l,106822,31447,139,19026,0,17475,1553,36277,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000309l,278713,96097,0,47271,0,52689,0,82656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000311l,71357,21848,6,13209,3,11735,1,24549,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000312l,194048,67833,0,32274,0,36897,0,57043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000313l,38376,1819,10820,1056,5814,985,5242,1916,10724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000314l,188370,3567,42121,3301,40372,4645,47719,3832,42813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000315l,43981,3673,9667,1988,6364,2035,6785,4236,9233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000316l,33986,2763,8799,1466,3983,1453,4591,2501,8430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000317l,106292,36600,2,17891,0,19912,0,31887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000318l,43470,1998,12194,1192,6587,1175,6027,2200,12097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000319l,37692,3612,7808,1582,6087,1553,5739,3034,8277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000320l,189002,56082,0,35356,0,31868,0,65696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000321l,99368,3063,21590,3638,24109,2433,20241,3098,21196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000323l,150578,2830,33695,2624,32292,3687,38205,3033,34212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000324l,42332,6757,7234,3744,3527,3797,3542,6826,6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000325l,134320,46138,8,22787,5,25471,2,39899,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000326l,246759,73541,8,46876,3,41326,0,85005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000327l,42438,1472,11447,878,6914,978,7587,1469,11693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000329l,41284,4188,8648,1996,6100,1950,5444,3652,9306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000330l,36963,752,10339,544,6951,553,6384,785,10655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000331l,51203,951,11523,1157,13228,820,11130,885,11509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000332l,89281,26666,0,16928,0,14960,0,30727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000333l,51296,6327,10156,3666,5717,3497,5020,6209,10704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000334l,192285,66047,0,32174,0,36562,0,57502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000335l,31767,3009,6939,1506,4109,1523,4751,3540,6390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000337l,41459,13848,3,7144,0,7653,5,12802,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000338l,51883,6758,10440,3744,5090,3797,5351,6827,9876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000339l,32105,844,8420,553,5506,567,5708,888,9619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000341l,105465,6123,27180,3266,16562,3363,16490,6580,25901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000343l,27751,1109,7641,668,4545,691,5188,1054,6855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000345l,395242,117614,1,74500,1,66593,0,136529,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000346l,34021,2191,8148,1209,4892,1177,4840,2295,9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000347l,54728,18802,0,9174,1,10383,0,16367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000348l,34509,612,7774,740,8955,527,7550,570,7781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000349l,45749,3673,10403,1988,6499,2036,7099,4236,9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000351l,59043,5100,13268,2859,7668,2706,7636,5018,14788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000352l,172547,51013,0,32859,0,28942,0,59733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000354l,44131,2645,11098,1422,7222,1379,6836,2363,11166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000355l,107063,31860,0,20397,0,17818,0,36988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000356l,89408,30774,2,14969,4,17047,8,26603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000357l,239844,82549,3,40997,5,45173,5,71106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TWFBa.000358l,322320,95479,766,61448,372,53039,424,110001,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
