Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
PPFBb.chr1,69832532,15795254,7361521,8198168,3510269,8229292,3513967,15840785,7378976,0,0,0,0,0,0,0,0,0,0,0,0,100,4200
PPFBb.chr5,76070311,20797876,4286875,11047697,1990620,10959333,1997383,20695174,4291053,0,0,0,0,0,0,0,0,0,0,0,0,400,3900
PPFBb.chr2,78769858,21192995,4819262,11177027,2271131,11151931,2273037,21077613,4802362,0,0,0,0,0,0,0,0,0,0,0,0,200,4300
PPFBb.chr3,84202769,22994158,4667257,12310621,2179575,12293986,2188590,22882371,4682711,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
PPFBb.chr4,84410030,22002803,5911461,11473463,2756120,11481262,2750032,22113856,5916133,0,0,0,0,0,0,0,0,0,0,0,0,0,4900
PPFBb.chr7,64436292,17396916,3652948,9443909,1715242,9422910,1705913,17418036,3677818,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
PPFBb.chr8,56723068,13669314,5038376,7210217,2416708,7259051,2423023,13643834,5057445,0,0,0,0,0,0,0,0,0,0,0,0,200,4900
PPFBb.chr9,68547120,17935479,4552146,9528403,2135933,9576074,2131129,18161511,4522745,0,0,0,0,0,0,0,0,0,0,0,0,200,3500
PPFBb.chr6,80541982,21873966,4544107,11629915,2087330,11680939,2088110,22077116,4554199,0,0,0,0,0,0,0,0,0,0,0,0,300,6000
PPFBb.chrX,85743915,21693360,6621862,11476397,3135697,11476879,3137286,21592229,6606405,0,0,0,0,0,0,0,0,0,0,0,0,0,3800
PPFBb.000011l,322591,70792,40657,32989,17445,33606,17061,70385,39656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000027l,41865,12547,2073,5899,740,5364,802,12643,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000102l,439185,54634,64044,46268,53727,46266,53733,54901,65612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000103l,247258,73006,0,47193,1,41583,0,85475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000117l,72519,1049,16640,961,15872,1344,18686,1158,16809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000125l,300743,88601,1248,55372,459,50548,487,103133,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000143l,323333,112212,11,54012,5,60767,4,96307,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000165l,210754,72706,5,35347,0,39709,0,62985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000188l,53926,16199,1,10357,0,9029,0,18340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000198l,92718,27259,3846,13555,1322,13489,1214,28306,3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000205l,290797,78780,18180,42948,7661,43403,7126,76111,16588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000218l,62472,18342,0,11824,0,10532,1,21770,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000227l,205562,37085,28133,22036,14315,21345,14994,38207,29447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000241l,282808,70398,1064,69540,827,69282,528,70185,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000245l,48210,16536,1,8142,0,9202,0,14328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000249l,86672,30431,0,14530,0,15718,0,25993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000264l,132921,45544,0,22060,0,25407,0,39910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000268l,158650,46856,1,29982,0,26786,0,55025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000283l,136624,34668,9757,20141,3596,19429,3895,35464,9674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000284l,1064079,239546,111427,127088,46946,131132,47703,248645,111592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000291l,168222,53407,6,30523,6,30065,6,54206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000303l,125262,42172,826,20572,437,23212,411,36759,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000304l,80964,28191,1,13609,0,15271,1,23890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000307l,54884,2892,14543,1553,8042,1746,8897,3062,14149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000308l,56002,4270,13571,1999,8001,1966,8489,3702,14004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000317l,190881,65795,0,32363,0,36275,0,56448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000320l,116663,38367,2,20456,4,21412,2,36415,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000322l,78346,27475,0,13090,0,14371,0,23410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000333l,41009,13746,5,7053,7,7746,4,12440,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000337l,67297,15325,76,15512,55,16908,38,19308,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000339l,81162,28213,0,13667,0,15091,0,24191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000353l,402326,119837,10,76052,2,67182,5,139231,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000355l,77076,1361,17319,1240,16763,1744,19791,1440,17418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000359l,32455,2172,7721,1188,4598,1168,4545,2271,8792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000366l,208930,3432,47592,3127,45254,4324,53335,3711,48155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000374l,206289,17003,39429,14477,32528,14644,32666,16916,38626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000376l,396467,6792,91150,7927,101947,5715,86342,6260,90334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000378l,169195,58886,0,28024,0,32077,0,50208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000379l,87427,25981,4,16673,0,14736,1,30028,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000383l,340589,116815,4,57703,0,64998,3,101061,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000386l,148633,44271,0,28222,0,25177,1,50962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000388l,228422,68278,4,43388,2,38411,1,78332,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000391l,136813,48162,207,25180,261,23423,11,39487,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000394l,271503,93626,0,45491,0,51067,0,81319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000397l,131736,45476,0,22077,1,25160,0,39019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000401l,42302,3673,9104,1988,6095,2035,6527,4236,8644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000402l,93193,28696,1,17336,1,16041,2,31114,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000403l,287882,86060,4,54107,0,48456,0,99249,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000405l,34058,10205,0,6420,0,5711,0,11722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000408l,87439,25897,0,16902,0,14889,0,29751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000412l,107355,31939,0,20578,0,17889,0,36947,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000413l,104640,31072,0,19934,0,17623,0,36011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000415l,331861,77608,32948,38831,15809,39649,15284,79045,32687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000416l,192577,66654,9,32043,5,36422,6,57431,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000418l,169395,48008,684,31420,774,30414,536,57015,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000422l,83370,24790,0,15954,0,13859,0,28767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000423l,33041,689,7355,847,8397,599,7128,652,7374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPFBb.000427l,242313,84369,0,40792,0,46085,0,71067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
