Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
AH3Ma.chr1,65671371,14629864,7329357,7412770,3486392,7431977,3484731,14580382,7306398,0,0,0,0,0,0,0,0,0,0,0,0,0,9500
AH3Ma.chr5,76536173,20805196,4302575,11071928,1999091,11163069,1995105,20891207,4295502,0,0,0,0,0,0,0,0,0,0,0,0,0,12500
AH3Ma.chr2,76481500,20371083,4847028,10779583,2292671,10749503,2283091,20286199,4861842,0,0,0,0,0,0,0,0,0,0,0,0,0,10500
AH3Ma.chr3,81995129,22366403,4650627,11912079,2167491,11855861,2170892,22197246,4664530,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
AH3Ma.chr4,81631532,21261482,5782346,11038864,2705412,11048009,2701858,21310840,5776221,0,0,0,0,0,0,0,0,0,0,0,0,0,6500
AH3Ma.chr7,66405468,18062938,3646926,9829115,1697426,9812266,1696129,18005640,3649528,0,0,0,0,0,0,0,0,0,0,0,0,0,5500
AH3Ma.chr8,54135332,12924771,4918466,6838579,2358572,6870708,2365643,12909668,4941925,0,0,0,0,0,0,0,0,0,0,0,0,0,7000
AH3Ma.chr9,66045532,17387028,4436938,9288867,2091943,9176058,2098547,17103377,4455274,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
AH3Ma.chr6,76260137,20619358,4460551,10969886,2052594,10973397,2051949,20661324,4462078,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
AH3Ma.chrX,84231629,21173584,6551547,11253926,3112283,11247550,3116209,21201977,6567053,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
AH3Ma.11,55000,16227,0,10579,0,9302,0,18892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.12,69000,20479,0,13179,0,11689,0,23653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.13,56000,16540,0,10743,0,9505,0,19212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.14,91330,22653,7074,16374,7011,7921,7258,15097,6942,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
AH3Ma.15,50060,12759,4992,5761,2232,5777,2310,12540,3689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.16,24320,6091,2304,2800,1078,2572,978,6202,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.17,17875,4453,1067,2293,560,3112,555,4916,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.18,50123,1767,10394,1417,9946,2282,11834,1793,10690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.19,23840,5976,32,4797,13,5970,13,7014,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.20,35821,2336,9873,1201,5082,1251,5171,2256,8651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.21,42586,3249,10066,1551,6301,1529,6772,2771,10347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.22,47870,913,10766,841,10229,1180,12044,981,10916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.23,67778,1325,15278,1607,17363,1145,14648,1238,15174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH3Ma.24,44538,820,9934,763,9644,1072,11423,877,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
