Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
KCDv1b.chr1,64812784,14161319,7457525,7193167,3547977,7201265,3562010,14203979,7482242,0,0,0,0,0,0,0,0,0,0,0,0,100,3200
KCDv1b.chr5,76245061,20632448,4378161,11093995,2036314,11039835,2039850,20631264,4389994,0,0,0,0,0,0,0,0,0,0,0,0,100,3100
KCDv1b.chr2,77475171,20721523,4831561,10933386,2280824,10892729,2281946,20696560,4833342,0,0,0,0,0,0,0,0,0,0,0,0,200,3100
KCDv1b.chr3,84322317,22899573,4644305,12389067,2161281,12369047,2156570,23068036,4631338,0,0,0,0,0,0,0,0,0,0,0,0,200,2900
KCDv1b.chr4,80880917,21004514,5858025,10892667,2727100,10891158,2723144,20917219,5862990,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
KCDv1b.chr7,66133579,17986482,3568920,9855978,1655511,9829781,1653499,18014512,3564596,0,0,0,0,0,0,0,0,0,0,0,0,0,4300
KCDv1b.chr8,53810210,12844594,4937287,6762100,2363691,6752272,2359316,12885488,4903462,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
KCDv1b.chr9,65333198,17231722,4378126,9146448,2068992,9078584,2075400,16945040,4406386,0,0,0,0,0,0,0,0,0,0,0,0,200,2300
KCDv1b.chr6,76348809,20609087,4459867,10934364,2056718,11051431,2057963,20710431,4467248,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
KCDv1b.chrX,85822456,21633208,6558031,11542254,3115343,11586260,3120238,21687223,6575799,0,0,0,0,0,0,0,0,0,0,0,0,0,4100
KCDv1b.000023l,131564,45233,0,21879,0,24647,0,39805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000054l,1113981,323745,40789,172972,19664,173758,20091,322608,40354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000074l,780998,235356,16158,128222,7720,133050,7776,235858,16858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000077l,36127,6261,5303,3615,3107,3452,2638,6141,5610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000092l,1345544,378861,64846,196513,29504,201472,30227,381005,63116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000098l,54364,6144,11479,3453,5639,3616,6214,6261,11558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000102l,60592,20929,0,10301,0,11479,0,17883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000104l,38441,636,8844,752,9902,544,8388,588,8787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000105l,33236,5236,5544,3083,2838,3094,2773,5386,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000120l,100380,29686,0,19339,0,16899,0,34456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000126l,757576,164232,91351,83169,42877,80887,42581,160734,91745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000143l,306088,74048,30981,34676,14259,35886,14230,71181,30827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000144l,73249,25285,0,12454,0,13944,0,21566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000150l,896563,264757,31358,136973,14311,141425,13519,264424,29796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000158l,47687,1929,13521,1013,6939,1182,7475,1926,13702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000163l,60417,18208,0,11557,1,9990,1,20660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000172l,144524,13775,25549,11686,20699,11546,21104,13780,26385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000173l,205145,70985,1,35003,1,38831,0,60324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000181l,132495,2205,30635,2497,33356,1998,29355,2065,30384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000185l,113876,33702,0,21813,0,19349,0,39012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000187l,160166,55276,14,26764,6,30374,14,47706,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000191l,1577440,358311,171113,179642,81298,177618,80233,356677,172548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000201l,184493,63579,0,31045,0,35089,1,54778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000205l,108822,32379,6,20606,3,18352,1,37470,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000216l,333502,100554,10264,52165,4812,51675,4538,99715,9779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000222l,880045,244929,48344,124285,24505,120446,23465,244203,49868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000229l,49212,14698,0,9104,0,8295,0,17113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000231l,81608,25832,11,14412,5,13908,3,27427,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000236l,61966,19124,2,11703,0,10017,1,21117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000237l,137911,47309,1,23063,0,26447,2,41089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000244l,223409,77640,330,36696,143,42096,182,65992,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000245l,44776,795,10227,940,11523,680,9715,735,10161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000249l,47487,14250,2,9044,1,8037,0,16153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCDv1b.000253l,80619,1440,18878,1674,20341,1243,17244,1323,18476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
