Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SHH5a.chr1,65484314,14605121,7271778,7443516,3464900,7440879,3461556,14543413,7247151,0,0,0,0,0,0,0,0,0,0,0,0,100,5900
SHH5a.chr5,81052833,22230473,4411767,11747848,2053622,11849718,2047845,22299415,4406145,0,0,0,0,0,0,0,0,0,0,0,0,200,5800
SHH5a.chr2,77285584,20609997,4894391,10924577,2341915,10828370,2333777,20477943,4869614,0,0,0,0,0,0,0,0,0,0,0,0,100,4900
SHH5a.chr3,85696562,23659461,4641457,12751185,2168799,12567281,2171954,23082844,4645881,0,0,0,0,0,0,0,0,0,0,0,0,200,7500
SHH5a.chr4,78663790,20457830,5695385,10518737,2653913,10538984,2646538,20456598,5688305,0,0,0,0,0,0,0,0,0,0,0,0,0,7500
SHH5a.chr7,64069024,17177947,3665794,9364803,1712402,9455558,1712963,17341859,3631498,0,0,0,0,0,0,0,0,0,0,0,0,0,6200
SHH5a.chr8,54860995,13109181,4952047,6939168,2397211,6996692,2399040,13085655,4976701,0,0,0,0,0,0,0,0,0,0,0,0,0,5300
SHH5a.chr9,64236082,16882465,4321104,8986401,2030866,8926395,2040958,16714988,4328105,0,0,0,0,0,0,0,0,0,0,0,0,100,4700
SHH5a.chr6,77446001,21024894,4453781,11160832,2053063,11203689,2053473,21031988,4458281,0,0,0,0,0,0,0,0,0,0,0,0,100,5900
SHH5a.chrX,85422288,21599906,6576532,11452050,3119196,11485577,3113485,21514319,6553423,0,0,0,0,0,0,0,0,0,0,0,0,100,7700
SHH5a.000025l,27186,976,7929,439,3893,607,4371,968,8003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000034l,52851,3020,14877,1578,7698,1606,7709,3015,13348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000036l,214616,4071,48017,3771,46012,5314,54383,4370,48678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000040l,31445,1848,8021,1063,4783,1090,5389,1975,7276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000050l,36398,1592,10253,1060,5654,874,5196,1616,10153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000054l,235873,69817,2,44804,0,39441,0,81807,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000082l,70956,7862,16013,4242,7880,4442,8238,7863,14416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000087l,82780,24520,0,15885,1,13952,0,28422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000093l,258779,81321,2681,43076,1130,43339,1432,83433,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000117l,211509,72221,0,35543,0,40406,0,63338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000121l,451660,135283,87,86233,34,75213,28,154722,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000129l,267814,91885,0,44883,0,51094,0,79952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000161l,49679,17226,4,8370,2,9246,1,14828,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000164l,513261,150239,1,96808,1,87098,3,179109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000175l,44482,2383,12691,1261,6603,1289,6523,2306,11426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000188l,41009,2105,9864,1181,6651,1155,7051,2163,10839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000194l,1144093,294009,82346,156455,38962,155550,37900,296750,82121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000201l,101101,11125,21877,5821,12695,5818,12027,10621,21117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000203l,52493,1138,11826,1377,13209,980,11179,1061,11723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000214l,106378,10502,23532,5653,14081,5455,12880,9857,24418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000217l,203961,19012,46918,10247,25886,10576,27002,18597,45723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000234l,473795,140203,20,89912,1,80387,61,163163,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000235l,143185,43361,2,27643,0,23614,0,48562,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000241l,236204,70971,11,45130,6,38471,4,81596,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000242l,127962,11364,29091,6287,17063,6045,16912,10959,30241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000270l,45449,6826,7717,3797,4088,3743,4252,6757,8269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000277l,441079,130544,10,84177,2,74653,6,151687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000283l,115301,39956,1,19324,0,21648,4,34368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000310l,96974,29226,1,18530,1,15531,0,33681,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHH5a.000315l,68561,20378,0,12876,2,11808,0,23496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
