Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SKFBb.chr1,76544549,17281571,8109891,8950736,3868000,8964225,3874696,17359850,8132980,0,0,0,0,0,0,0,0,0,0,0,0,0,2600
SKFBb.chr5,77244706,21128364,4331610,11228952,2019086,11148797,2023117,21028343,4334737,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
SKFBb.chr2,77012020,20658527,4795717,10946463,2257275,10870545,2257865,20447006,4776222,0,0,0,0,0,0,0,0,0,0,0,0,200,2200
SKFBb.chr3,84816189,23147847,4704345,12387027,2199140,12390628,2207308,23053531,4724463,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
SKFBb.chr4,82592772,21536527,5787960,11221560,2702243,11223568,2696668,21625760,5795886,0,0,0,0,0,0,0,0,0,0,0,0,200,2400
SKFBb.chr7,65993108,17796617,3677959,9753766,1733227,9747578,1727279,17838671,3716111,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
SKFBb.chr8,57776189,13863413,5176536,7351020,2498334,7329077,2498370,13893236,5164303,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
SKFBb.chr9,65522004,17092717,4407274,9078336,2070552,9135992,2062896,17295697,4377040,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
SKFBb.chr6,76844765,20652101,4558611,10978783,2108532,11059923,2107594,20817449,4558672,0,0,0,0,0,0,0,0,0,0,0,0,200,2900
SKFBb.chrX,86781302,22089150,6560065,11690565,3110184,11727398,3107697,21950641,6542402,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
SKFBb.000008l,183024,63454,0,30891,0,34602,0,54075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000023l,4656951,855026,724242,409694,345941,410329,344011,844886,722822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000030l,124476,2242,28704,2634,31685,1887,26933,2057,28334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000089l,149771,51571,2,24719,2,28096,2,45377,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000093l,585211,127013,66364,63719,32618,65066,32976,131297,66158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000096l,413257,143570,14,69685,12,77249,0,122727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000105l,82978,5978,20400,2818,13006,2810,12755,5345,19866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000115l,442025,132659,4,83323,8,73537,3,152483,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000116l,79447,23423,1,15208,1,13341,1,27468,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000130l,417498,121924,0,75828,0,73634,3,146109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000139l,146056,43954,1,27764,0,24262,0,50075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000140l,279037,96045,0,47096,0,53094,0,82800,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKFBb.000141l,908360,247484,53474,129513,24297,130511,24270,246393,52418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
