Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
TKFBb.chr1,67924794,15213003,7445265,7726767,3543010,7738420,3546949,15242307,7465473,0,0,0,0,0,0,0,0,0,0,0,0,200,3400
TKFBb.chr5,77730426,21265419,4357121,11300590,2029613,11218913,2034113,21162310,4359947,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
TKFBb.chr2,76587641,20518595,4797982,10862261,2264972,10786646,2265477,20314857,4774251,0,0,0,0,0,0,0,0,0,0,0,0,100,2500
TKFBb.chr3,83964918,22773460,4698147,12250269,2186430,12301013,2182675,22889896,4680228,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
TKFBb.chr4,82902504,21639223,5789968,11279053,2703225,11276652,2697397,21716958,5797628,0,0,0,0,0,0,0,0,0,0,0,0,300,2100
TKFBb.chr7,65298322,17597233,3647103,9645782,1721570,9640456,1714280,17641706,3687392,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
TKFBb.chr8,56031471,13466270,5024751,7097845,2407359,7151815,2413688,13422724,5044619,0,0,0,0,0,0,0,0,0,0,0,0,0,2400
TKFBb.chr9,66156596,17251689,4427676,9183534,2097354,9227784,2085544,17482408,4398807,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
TKFBb.chr6,80056919,21746961,4528231,11555608,2080356,11605650,2079541,21924807,4533465,0,0,0,0,0,0,0,0,0,0,0,0,100,2200
TKFBb.chrX,84183730,21233007,6543020,11244929,3102127,11252853,3099776,21178985,6526133,0,0,0,0,0,0,0,0,0,0,0,0,0,2900
TKFBb.000069l,42859,14770,1,7097,0,8170,0,12821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000090l,75224,25976,0,12721,0,14184,1,22341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000111l,236394,3659,54769,4225,61241,3020,51909,3301,54270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000128l,31259,720,7083,872,7679,620,6592,680,7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000131l,170771,58874,1,28613,0,32627,1,50653,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000132l,57391,17511,0,10547,0,9281,0,20052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000137l,148747,45026,5,27820,2,25534,3,50353,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000139l,134742,46417,3,23093,6,25273,5,39939,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000149l,58265,7046,12172,3906,5951,4073,6438,7198,11481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000154l,195311,33652,329,41466,102,53906,84,65600,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000155l,34232,3680,7665,2119,3526,2199,4083,3668,7292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000162l,176572,52980,0,33114,0,29457,13,60996,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000163l,184814,2751,42355,2520,40363,3528,47495,3045,42757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000166l,78176,23868,0,14870,0,12693,0,26745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000167l,69769,23925,6,11458,1,12908,2,21462,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000170l,821785,195663,76780,102165,35372,101966,36908,196899,76032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000171l,391247,134460,0,65563,0,74712,0,116512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000178l,58398,6971,11333,3868,6384,3825,6397,6939,12681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000179l,117614,35284,0,22158,0,19800,0,40370,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000181l,116061,39834,0,19443,0,22189,1,34593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000182l,68151,20278,0,13028,0,11265,0,23579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000184l,45521,4190,9955,1996,6958,1951,6311,3653,10507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000191l,76708,26088,4,13047,1,14829,5,22729,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000193l,94450,1700,21222,1550,20371,2180,24052,1800,21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000200l,338020,5476,77014,4996,73449,6917,86611,5920,77637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000204l,76440,22507,0,14632,0,12840,0,26461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000212l,82968,16185,6969,13433,5319,13564,5055,15953,6490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000213l,209538,62786,5,39610,3,34909,1,72219,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000214l,160091,47522,2,31133,3,27053,0,54376,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000215l,62829,1260,14170,1526,15945,1085,13548,1190,14105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000216l,290098,86112,0,54995,0,49114,0,99876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000217l,55216,16274,0,10405,0,9304,0,19233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000219l,140384,8274,30686,6700,24929,6846,24906,8110,29933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000222l,46579,1720,12697,1152,8137,992,7429,1764,12688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000226l,86519,29645,1,14781,5,16432,2,25653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000227l,70133,1259,15921,1526,18082,1086,15278,1190,15791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000228l,178450,53941,11,33203,2,29965,5,61314,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000230l,30553,689,6916,847,7561,599,6462,652,6827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000235l,50491,15051,1,9598,1,8396,1,17440,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000237l,93651,28050,0,17669,0,15698,1,32233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000238l,239946,82692,1,39565,0,45326,3,72359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000240l,57797,6348,12305,3616,6161,3815,6714,6432,12406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000241l,58689,17236,0,11243,1,10000,0,20209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000243l,40386,12712,83,7220,14,6549,18,13707,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000244l,122557,2380,27487,2171,26266,3052,30880,2519,27802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000247l,75375,25879,0,12965,0,14156,0,22375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000252l,181699,62536,2,30874,4,34330,2,53946,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000255l,34621,1706,10286,767,5237,810,5091,1613,9111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000258l,177209,60499,0,29477,0,33339,0,53894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000260l,30019,540,6737,654,7790,465,6550,510,6773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000261l,122028,42093,1,20242,1,23020,0,36670,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000262l,179883,51553,1704,33189,813,29506,802,60343,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000263l,61896,17936,42,10803,0,11414,6,21638,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000265l,47470,4184,10528,1973,6805,1921,7034,3593,11432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000267l,372391,129639,0,62560,1,70122,0,110069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000269l,73045,6868,16356,3955,8732,4116,9615,6994,16409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000270l,74570,25628,3,12352,3,14370,2,22209,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000273l,109395,4647,22962,4036,22564,3342,25199,3491,23154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000274l,233599,80564,0,39092,0,43567,0,70376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000275l,29782,2992,6357,1494,3817,1505,4431,3503,5683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000277l,38308,2100,10428,1267,5559,1275,5018,2326,10335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000279l,224130,77636,0,37985,1,42414,0,66094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000280l,59896,4562,13986,2227,8658,2155,9175,4212,14921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000281l,61559,3838,15914,1921,9747,1935,9125,3575,15504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000283l,112012,38891,0,18168,0,21090,3,33860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000284l,65168,935,14964,853,14271,1174,16868,1026,15077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000289l,431306,148662,0,72226,0,81946,0,128472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000290l,107606,32074,4,20290,8,18055,3,37164,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000293l,50783,17500,1,8640,0,9643,0,14999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000294l,29788,8936,0,5656,1,4958,0,10237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000295l,33831,11687,0,5824,0,6352,0,9968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000296l,47778,16405,0,8152,0,8939,0,14282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000297l,285787,98663,0,47631,0,54320,0,85173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000299l,58625,20145,0,9684,1,11236,0,17559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000300l,38459,1529,11242,783,6086,670,5484,1463,11202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000301l,127371,37529,0,24215,0,21493,0,44134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000302l,41930,12441,1,7932,2,7203,1,14348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000306l,29886,10228,4,5124,0,5686,2,8838,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000308l,78904,2814,16336,2898,15625,3126,18423,3115,16567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000309l,223584,66633,0,42224,0,37448,1,77278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000310l,45008,2183,13233,1033,6727,1060,6741,2186,11845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000311l,75309,22095,0,14325,0,12733,12,26132,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000312l,38332,708,8583,640,8255,897,9736,750,8763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000314l,267569,77643,0,48625,0,47969,2,93330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000315l,100184,34563,5,16687,0,18893,2,30030,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000316l,64119,21780,2,10106,0,11552,0,20677,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000317l,30839,747,8447,521,5307,524,5745,727,8821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000319l,181392,63053,7,29899,5,33402,2,55014,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000320l,37752,552,8684,500,8240,697,9688,612,8779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKFBb.000321l,30115,510,6775,465,6587,654,7792,540,6792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
