Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
MBFBb.chr1,64260063,14367030,7068336,7312633,3366677,7282664,3377014,14393236,7089273,0,0,0,0,0,0,0,0,0,0,0,0,200,3000
MBFBb.chr5,77256943,21122908,4348600,11225225,2027142,11140470,2030026,21008598,4349574,0,0,0,0,0,0,0,0,0,0,0,0,100,4300
MBFBb.chr2,75759695,20250685,4793893,10652339,2255833,10613426,2256939,20157112,4774468,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
MBFBb.chr3,83590259,22798363,4653360,12219120,2173256,12196188,2182859,22695075,4668338,0,0,0,0,0,0,0,0,0,0,0,0,0,3700
MBFBb.chr4,81819504,21296644,5785140,11083702,2700994,11091322,2695705,21368777,5792320,0,0,0,0,0,0,0,0,0,0,0,0,300,4600
MBFBb.chr7,64711326,17449744,3607021,9562994,1699622,9561881,1696423,17481134,3648007,0,0,0,0,0,0,0,0,0,0,0,0,0,4500
MBFBb.chr8,57154123,13644634,5221133,7185986,2495916,7240281,2504681,13610134,5247658,0,0,0,0,0,0,0,0,0,0,0,0,0,3700
MBFBb.chr9,65407485,16992410,4460850,9016779,2134111,9079827,2116374,17173987,4429647,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
MBFBb.chr6,77723332,21055735,4491440,11144497,2065745,11225933,2062415,21178528,4492839,0,0,0,0,0,0,0,0,0,0,0,0,100,6100
MBFBb.chrX,78608676,19888664,6029330,10549689,2861822,10560314,2859875,19843337,6010445,0,0,0,0,0,0,0,0,0,0,0,0,100,5100
MBFBb.000036l,49076,14729,0,9246,0,8097,0,17002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000129l,54316,16135,0,10308,0,9053,0,18820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000167l,591854,106329,1474,126400,529,160771,473,195006,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000172l,44678,13328,7,8464,6,7541,3,15321,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000183l,86234,25821,0,16498,0,14308,0,29607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000186l,188347,3420,43163,4055,48163,2908,40812,3198,42628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000201l,847244,197547,80548,106076,34550,108631,34221,203325,82346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000209l,429931,119978,120,105115,73,93509,46,110983,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000245l,29826,10291,5,4927,1,5631,3,8963,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000257l,66110,22859,0,11108,1,12522,0,19620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000259l,45405,4444,10254,2635,4961,2750,5519,4511,10331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000269l,57381,16984,4,10925,1,9604,2,19860,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000272l,22610,6791,0,4317,0,3744,0,7758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000282l,41559,3115,9251,1586,6705,1630,6898,3672,8702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000284l,74652,4723,18500,2961,11459,2876,10292,4714,19127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000293l,530425,104554,76778,48797,35370,51159,36905,100831,76031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000294l,170171,3423,38663,4144,43020,2945,36537,3230,38209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000299l,30400,571,7088,679,7642,486,6506,538,6890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000300l,79149,5206,19201,2470,12347,2598,12621,4647,20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000304l,90439,31346,7,15295,0,17073,2,26709,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000308l,75709,22526,0,14283,0,12626,0,26274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000317l,83256,8410,18295,4650,10869,4736,10461,8703,17132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000320l,341823,42154,50929,35250,42022,35708,42403,41995,51362,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000322l,46960,758,10699,700,10182,983,11965,838,10835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000330l,105860,1735,24591,2017,27171,1440,23096,1573,24237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000336l,29479,9168,0,4978,0,4809,0,10524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000347l,116547,11179,20137,9885,16889,9468,16789,11697,20503,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000349l,31229,892,8075,592,5473,605,5772,909,8911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBFBb.000353l,49092,6756,9591,3744,4851,3797,4616,6824,8913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
