Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
WCFBb.chr1,66085651,14745368,7300137,7493492,3473712,7469836,3486103,14789327,7324076,0,0,0,0,0,0,0,0,0,0,0,0,0,3600
WCFBb.chr5,77694554,21254426,4356634,11293819,2029621,11213541,2034247,21149998,4360268,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
WCFBb.chr2,76650381,20551503,4786829,10864751,2253085,10810878,2252639,20364002,4764394,0,0,0,0,0,0,0,0,0,0,0,0,100,2200
WCFBb.chr3,84484137,22912006,4732281,12323050,2201657,12380383,2197847,23021981,4713132,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
WCFBb.chr4,83084872,21711683,5790681,11298919,2703423,11320113,2696471,21769104,5792478,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
WCFBb.chr7,64744723,17476955,3599260,9574655,1690432,9573627,1686903,17510271,3630320,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
WCFBb.chr8,55543682,13316749,5009162,7022947,2399643,7074270,2406504,13282066,5030741,0,0,0,0,0,0,0,0,0,0,0,0,0,1600
WCFBb.chr9,65591861,17077259,4445239,9071633,2097775,9131093,2085355,17269872,4412135,0,0,0,0,0,0,0,0,0,0,0,0,100,1400
WCFBb.chr6,81222413,22040023,4579493,11742518,2106526,11786822,2105761,22275971,4582599,0,0,0,0,0,0,0,0,0,0,0,0,200,2500
WCFBb.chrX,85355053,21621864,6543132,11449836,3101886,11469743,3099312,21541629,6525551,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
WCFBb.000065l,100663,1964,22835,2376,25633,1695,21688,1855,22617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000066l,156195,53739,0,26313,0,29734,0,46409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000075l,110153,1898,24890,1726,23871,2423,28174,2011,25160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000082l,316136,108704,190,52692,175,59728,111,94287,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000090l,174716,3270,39778,3950,44649,2811,37830,3088,39340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000104l,197204,58842,81,36874,13,33021,17,68273,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000118l,92519,27692,0,17517,0,15500,1,31809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000123l,205315,3736,46149,3404,44355,4784,52333,3946,46608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000126l,304835,89694,1248,55902,461,51324,491,104819,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000137l,98130,32806,3,16946,6,18439,6,29918,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000138l,268645,81346,20,50592,8,44018,12,92637,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000139l,60376,6749,12913,3986,7000,3793,6425,6644,12866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000159l,49256,889,11221,1080,12625,762,10733,841,11105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000164l,49919,4295,10609,2082,8079,2021,7859,3755,11219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000177l,203755,60382,3,39051,1,34630,2,69680,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000178l,502353,173701,14,84409,9,94670,9,149536,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000179l,43877,4229,9301,2030,6338,1992,6495,3679,9813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000183l,65904,19526,1,12639,4,11109,0,22620,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000187l,80387,5263,19766,2689,12983,2461,12371,4731,20123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000188l,740774,18922,164186,17172,157010,16752,184784,16079,165869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000189l,118311,40012,847,20485,475,21205,410,34002,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000192l,46811,16051,1,7752,4,8914,2,14087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000198l,61822,4897,15189,2497,8918,2574,8679,5417,13651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000204l,169196,57713,0,28847,0,32622,0,50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000207l,116334,34769,4,22123,3,19547,1,39881,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000208l,385728,6090,89137,7055,99825,5040,84620,5503,88458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000209l,31397,496,7087,453,6862,633,8097,523,7246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000210l,270784,93215,3,45290,1,50680,0,81595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000212l,95632,29372,0,18034,0,15508,0,32718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000213l,97457,1482,22512,1705,25396,1220,21480,1338,22324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000214l,84184,1530,18936,1395,18170,1962,21425,1620,19146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000215l,218359,37323,333,46527,106,60311,87,73501,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000216l,177222,52674,2,33740,1,29549,1,61252,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000217l,113831,33478,0,21832,0,19407,0,39114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000220l,62289,3757,15416,2049,9977,2077,10368,4341,14304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000222l,162141,55721,22,27303,9,30846,12,48214,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000224l,225352,63857,8,37973,1,43769,9,79732,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000226l,74265,7795,16467,4406,8721,4183,8140,7734,16819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000227l,93648,8719,21487,4786,12428,4872,12239,8994,20123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000228l,60728,2708,16346,1528,9292,1598,10333,2583,16340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000230l,276811,28387,48130,23618,39224,23598,38834,27870,47150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000232l,45877,1812,13186,1130,7198,959,6627,1830,13135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000235l,481301,55332,74287,47274,62789,46945,62445,55855,76374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000236l,162567,3060,36521,2791,34962,3923,41183,3240,36887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000237l,198874,59349,0,37416,0,33027,0,69081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000238l,48176,14296,0,9197,0,8090,1,16592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000239l,70710,1271,15930,1155,15250,1625,17977,1342,16160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000243l,104232,36176,1,17434,1,19910,0,30710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000247l,235070,70110,0,44453,0,39416,0,81091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000248l,83061,1464,18732,1330,17977,1866,21197,1550,18945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000251l,57809,6436,12120,3734,6686,3564,6197,6293,12779,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000252l,182167,3484,41297,4224,46502,3007,39400,3302,40951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000253l,113729,2182,25485,1994,24409,2810,28758,2310,25781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000254l,239529,4393,53785,4008,51692,5644,60987,4648,54372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000255l,71491,3934,18446,2141,11652,2145,11865,4477,16831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000256l,21573,510,4813,465,4494,654,5210,540,4887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000257l,52311,16962,1662,7755,671,7173,658,16175,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000258l,133605,39429,4,25369,2,22693,0,46106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000260l,63804,4608,15013,2313,10279,2246,10270,4072,15003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000262l,53269,14479,0,8359,0,11248,1,19182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000263l,66837,1049,15263,960,14503,1343,17044,1159,15516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000266l,142981,49505,0,24518,0,26918,0,42040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000267l,51348,1080,11734,1308,12845,930,10938,1020,11493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000268l,194851,57987,0,37356,0,32611,0,66897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000270l,72356,21765,0,13804,0,12184,0,24603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000272l,123271,36519,27,23361,6,20782,12,42552,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000274l,66196,6845,14307,3935,7461,4103,8070,6968,14507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000275l,65153,19292,0,12282,0,11181,0,22398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000276l,601685,180034,3,114622,3,100695,0,206323,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000277l,44390,13190,0,8457,0,7450,1,15292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCFBb.000278l,47872,14465,0,9042,2,7912,1,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
