Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
NLv1a.chr1,65015054,14454891,7277677,7353349,3464210,7342669,3456421,14399670,7261067,0,0,0,0,0,0,0,0,0,0,0,0,100,5000
NLv1a.chr5,76500019,20833587,4417742,11016456,2059437,10942154,2059917,20742493,4427233,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
NLv1a.chr2,77494022,20558348,5101684,10857140,2414625,10745815,2417042,20301367,5092901,0,0,0,0,0,0,0,0,0,0,0,0,100,5000
NLv1a.chr3,84035923,22792692,4730233,12195626,2203633,12266051,2200667,22925456,4715565,0,0,0,0,0,0,0,0,0,0,0,0,200,5800
NLv1a.chr4,82370747,21642162,5727520,11157813,2666970,11164658,2664275,21608798,5735951,0,0,0,0,0,0,0,0,0,0,0,0,200,2400
NLv1a.chr7,70783661,19371680,3743588,10549360,1739975,10535984,1736927,19354294,3747353,0,0,0,0,0,0,0,0,0,0,0,0,200,4300
NLv1a.chr8,53441539,12866725,4748594,6868806,2266612,6811924,2259070,12893990,4722118,0,0,0,0,0,0,0,0,0,0,0,0,100,3600
NLv1a.chr9,63440562,16951563,4029334,8995046,1903780,8901282,1910853,16707683,4037321,0,0,0,0,0,0,0,0,0,0,0,0,100,3600
NLv1a.chr6,75100142,20318484,4550341,10580495,2088404,10594923,2091274,20326296,4544025,0,0,0,0,0,0,0,0,0,0,0,0,100,5800
NLv1a.chrX,86336159,21961886,6546320,11624020,3103925,11643366,3096574,21837308,6520060,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
NLv1a.000036l,22563,3220,4457,2697,2611,1566,2608,2959,2445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000039l,1836746,538140,62874,283766,29222,288759,29030,542923,62032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000046l,239974,55611,20694,30246,10782,31576,10923,57802,22340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000076l,1473361,409706,76805,212253,36334,210990,36583,411901,78789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000083l,3236909,738170,350175,370510,163680,364796,159251,732996,357331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000084l,262627,77674,1,50286,0,43349,1,91313,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000093l,246225,72890,987,46363,427,40233,405,84088,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000131l,65324,22411,2,11203,3,12411,2,19289,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000135l,28548,968,8493,607,4590,439,4164,976,8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000164l,109071,32423,7,20817,5,18291,1,37521,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000165l,44070,15420,0,7353,0,8340,0,12955,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000176l,1053386,323014,19177,168530,8665,170615,8774,334481,20130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000179l,1440471,445095,9696,251809,4788,260548,4635,454085,9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000180l,28792,810,7480,565,5225,558,5676,775,7703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000189l,30599,2815,6863,1399,4083,1374,4728,3227,6110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000217l,33545,934,9259,626,6254,624,6012,931,8905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000227l,133422,39632,2,25630,4,21901,0,46252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000229l,367617,106434,13328,55042,6288,58423,6771,107976,13355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000233l,570380,181016,5555,93467,2310,94561,2991,185604,4876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000236l,32599,2888,7495,1689,4202,1682,3632,3093,7918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000238l,25774,8945,0,4334,0,4886,0,7609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000243l,56710,16972,0,10560,0,9583,0,19595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000245l,25242,723,6531,496,4489,497,4476,724,7306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000246l,143701,42667,9,27155,21,24065,22,49754,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000247l,275522,71404,17840,37232,8920,38090,9368,72861,19807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000250l,887834,201723,94457,102875,44799,100508,43701,205741,94030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000251l,52482,3444,13200,1710,8235,1697,7569,3128,13499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000253l,51882,15488,5,9724,3,8786,1,17869,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLv1a.000255c,147204,45283,4128,20063,1787,22520,1776,47362,4285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
