Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
KOMPb.chr1,64337730,14175727,7257617,7237274,3456114,7238747,3465675,14217905,7266171,0,0,0,0,0,0,0,0,0,0,0,0,0,22500
KOMPb.chr5,73335733,19837210,4426898,10328043,2052046,10312702,2060384,19863035,4433415,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
KOMPb.chr2,80786177,21650547,4865215,11543111,2300958,11566015,2294977,21664602,4881252,0,0,0,0,0,0,0,0,0,0,0,0,0,19500
KOMPb.chr3,81361543,21994929,4604957,11858928,2145045,11871370,2140826,22133101,4591887,0,0,0,0,0,0,0,0,0,0,0,0,0,20500
KOMPb.chr4,83654469,21936363,5778515,11512688,2688228,11452999,2683299,21801893,5777484,0,0,0,0,0,0,0,0,0,0,0,0,0,23000
KOMPb.chr7,65631000,17717219,3649027,9712415,1696148,9706482,1693551,17786011,3660147,0,0,0,0,0,0,0,0,0,0,0,0,0,10000
KOMPb.chr8,55119826,13186194,5037026,6948480,2410929,6917539,2404474,13192127,5009057,0,0,0,0,0,0,0,0,0,0,0,0,0,14000
KOMPb.chr9,62312840,16202930,4370819,8567693,2055002,8521595,2063635,16113293,4398873,0,0,0,0,0,0,0,0,0,0,0,0,0,19000
KOMPb.chr6,76503500,20809194,4385893,11029666,2022721,11009618,2019548,20816889,4388471,0,0,0,0,0,0,0,0,0,0,0,0,0,21500
KOMPb.chrY,110614000,31402282,4954443,16610132,2350821,16597521,2352635,31391209,4923957,0,0,0,0,0,0,0,0,0,0,0,0,0,31000
KOMPb.11,57000,19501,2,9268,0,10462,0,17767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPb.12,29705,10381,4,4860,0,5608,0,8850,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPb.13,50000,16183,2,8365,0,8968,0,15482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
KOMPb.14,31500,9078,0,5872,0,5206,0,10844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
KOMPb.15,60500,17913,0,11499,3,9997,1,20585,2,0,0,0,0,0,0,0,0,0,0,0,0,0,500
KOMPb.16,48500,16085,1,8304,0,8909,1,14699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500
KOMPb.17,19000,5637,8,3575,5,3173,1,6595,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPb.18,113500,36051,1,20136,0,20132,0,35680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500
KOMPb.19,58500,18668,4,10269,1,10448,1,18605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,500
KOMPb.20,15000,4464,0,2843,1,2494,0,5198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOMPb.21,58000,17804,3,10494,4,9778,3,18903,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
