Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
COSVa.chr1,67560599,15294687,7320179,7752677,3484156,7781785,3482848,15142372,7300795,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
COSVa.chr5,80858826,22013707,4530566,11687627,2103717,11807972,2098103,22097541,4519193,0,0,0,0,0,0,0,0,0,0,0,0,0,400
COSVa.chr2,83353842,22570950,4943700,12055696,2327464,11939529,2332760,22250799,4932344,0,0,0,0,0,0,0,0,0,0,0,0,0,600
COSVa.chr3,86328417,23631305,4636169,12756661,2159565,12739591,2161263,23598331,4645332,0,0,0,0,0,0,0,0,0,0,0,0,0,200
COSVa.chr4,85249381,22468203,5812554,11636479,2702752,11635731,2701563,22479256,5811843,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
COSVa.chr7,69934891,19096152,3749340,10436743,1740110,10443962,1742118,19011095,3714271,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
COSVa.chr8,55347747,13232568,5001050,7094595,2395698,7008828,2389510,13250404,4974394,0,0,0,0,0,0,0,0,0,0,0,0,100,600
COSVa.chr9,68057886,18057067,4394247,9710114,2071429,9541490,2075873,17783572,4423294,0,0,0,0,0,0,0,0,0,0,0,0,0,800
COSVa.chr6,79285936,21582818,4537087,11437603,2087086,11466396,2087864,21545429,4541153,0,0,0,0,0,0,0,0,0,0,0,0,100,400
COSVa.chrX,86534060,21917170,6567403,11676054,3116694,11676474,3111157,21916087,6552321,0,0,0,0,0,0,0,0,0,0,0,0,0,700
COSVa.000048l,86549,1274,19774,1178,19042,1610,22449,1368,19854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVa.000070l,194845,2821,44616,2582,42654,3511,50351,3035,45275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVa.000072l,147907,3330,33142,4179,36971,2917,31422,3146,32800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVa.000077l,126668,2865,28476,3587,31606,2504,26852,2706,28072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSVa.000082l,28272,618,6246,573,5985,822,7052,654,6322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
