Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SODLb.chr1,64369500,14233317,7229434,7237635,3450029,7234255,3455841,14272914,7253575,0,0,0,0,0,0,0,0,0,0,0,0,0,2500
SODLb.chr5,79483000,21712364,4475076,11569807,2075473,11487014,2079796,21599550,4479920,0,0,0,0,0,0,0,0,0,0,0,0,0,4000
SODLb.chr2,77487165,20815708,4808490,11101043,2263993,10963271,2265211,20476225,4791224,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
SODLb.chr3,81772505,22173588,4640254,11978564,2157085,11942612,2152875,22102487,4621540,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
SODLb.chr4,79066701,20580011,5700765,10604422,2655511,10601111,2657981,20570115,5693285,0,0,0,0,0,0,0,0,0,0,0,0,0,3500
SODLb.chr7,70719495,18962146,4106139,10331905,2005161,10316032,2004319,18881834,4093459,0,0,0,0,0,0,0,0,0,0,0,0,0,18500
SODLb.chr8,53842000,12844861,4958205,6696222,2376807,6762550,2383996,12832154,4986205,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
SODLb.chr9,63621611,16691209,4337847,8862506,2044190,8771850,2053121,16491191,4369197,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.chr6,76572000,20696706,4507162,10976964,2074857,11005821,2075416,20728447,4503627,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
SODLb.chrX,87097005,21891258,6793015,11663090,3215109,11651958,3213093,21890646,6775836,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
SODLb.11,139979,48240,0,23249,0,26808,0,41681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.12,271585,80643,4,50850,0,46230,0,93858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.13,111000,33035,1,20835,0,18676,2,38450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.14,159117,46076,8,28330,0,29065,28,55596,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.15,75847,22624,0,14359,0,12729,0,26135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.16,76036,22899,0,14509,2,12619,4,26002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.17,107317,39290,91,26376,115,14330,1,27080,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.18,116024,39049,60,22957,76,20441,19,32871,51,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.19,26403,7853,1,5045,13,4393,4,9091,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.20,144807,11440,33290,6667,20613,6541,21002,11871,32383,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
SODLb.21,55044,16198,3,10427,2,9256,2,19154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.22,112491,34018,20,21022,11,19485,12,37408,15,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.23,151553,3034,33958,3689,38622,2621,32600,2827,33702,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.24,385214,7349,86240,7148,84495,9085,95612,7724,87061,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.25,154332,2846,34764,3235,37630,2765,35160,2756,34676,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.26,161555,3256,36469,3569,37712,3406,37159,3220,36264,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.27,18000,5314,0,3478,0,2988,0,6220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.28,20995,6153,110,3978,54,3406,60,7120,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.29,16000,4716,0,3035,0,2690,0,5559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.30,18000,5373,0,3405,0,3012,1,6209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.31,27000,8145,0,5170,0,4419,0,9266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.32,52256,15862,15,9116,1,9560,26,17147,29,0,0,0,0,0,0,0,0,0,0,0,0,0,500
SODLb.33,83000,24615,8,15822,2,14004,4,28543,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SODLb.34,25000,7440,2,4731,1,4194,1,8628,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
