Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
YMv2a.chr1,65415261,14532323,7228485,7464821,3454569,7468277,3456945,14564294,7245047,0,0,0,0,0,0,0,0,0,0,0,0,0,500
YMv2a.chr5,80631440,21996947,4547323,11701836,2112799,11634710,2118812,21953321,4564792,0,0,0,0,0,0,0,0,0,0,0,0,0,900
YMv2a.chr2,77979186,20840812,4880536,11071580,2296978,11044978,2294485,20685773,4862644,0,0,0,0,0,0,0,0,0,0,0,0,100,1300
YMv2a.chr3,83569826,22773809,4647514,12239759,2168342,12216885,2171949,22680765,4669103,0,0,0,0,0,0,0,0,0,0,0,0,100,1600
YMv2a.chr4,81830348,21458529,5702711,11099875,2665361,11131645,2654485,21425965,5690177,0,0,0,0,0,0,0,0,0,0,0,0,200,1400
YMv2a.chr7,69751588,18984843,3833980,10269338,1812488,10282169,1811117,18902259,3853194,0,0,0,0,0,0,0,0,0,0,0,0,200,2000
YMv2a.chr8,57933175,14042577,4975990,7701013,2385731,7554781,2391281,13876322,5004880,0,0,0,0,0,0,0,0,0,0,0,0,0,600
YMv2a.chr9,65432141,17090058,4377449,9074672,2061383,9158617,2055210,17248183,4364869,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
YMv2a.chr6,75318359,20280169,4580426,10629554,2097394,10703717,2095732,20348674,4580993,0,0,0,0,0,0,0,0,0,0,0,0,100,1600
YMv2a.chrX,82238004,20653750,6493571,10956730,3082583,10929557,3077867,20573743,6468503,0,0,0,0,0,0,0,0,0,0,0,0,0,1700
YMv2a.000027l,348651,102898,0,63003,0,61797,3,120950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000050l,113337,33725,1,21770,0,19043,1,38795,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000053l,71208,1029,16261,945,15636,1316,18520,1120,16381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000067l,66756,1120,15322,1316,17206,945,14590,1029,15228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000072l,491314,55744,76184,48009,64527,47450,64158,56887,78355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000077l,21097,1520,5652,688,2966,738,2726,1468,5339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000080l,453732,156421,1,76163,0,86005,0,135142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000081l,19166,1588,4618,794,2470,773,2522,1457,4944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000086l,135825,47004,0,22610,0,25899,0,40312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000088l,496116,165889,0,84823,4,93290,4,152105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000089l,3029340,886692,100296,465626,47669,479300,47338,898691,103728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000091l,278053,94521,0,46461,1,52521,0,84549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000093l,198895,56605,0,33951,0,38339,2,69998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000099l,32244,5253,5294,3091,2600,3077,2564,5380,4985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000100l,185476,4275,41144,3496,39084,5082,46210,4377,41808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000105l,219913,75734,5,36692,0,41806,3,65668,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000110l,66657,22947,2,11153,1,12627,0,19926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000114l,25349,313,5795,282,5666,395,6732,340,5826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000120l,160993,48414,0,30498,0,26498,0,55583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000122l,74510,1169,16972,1077,16269,1482,19196,1268,17077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000124l,49705,17069,0,8336,0,9478,0,14822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000125l,33094,5269,5573,3101,2748,3090,2684,5398,5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000126l,26455,432,6007,399,5740,555,6807,467,6048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000127l,35677,3293,8093,1645,4350,1576,4565,3296,8859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000129l,1266938,380384,40344,197737,20542,193331,19650,376266,38684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000130l,239471,71463,0,45396,0,40195,0,82417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000131l,26107,2764,5987,1471,2871,1452,3414,2505,5643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000132l,32280,1632,8049,901,5690,939,5395,1890,7784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000134l,190385,57165,0,35937,0,31641,0,65642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000136l,82283,1301,18707,1192,17947,1660,21181,1417,18878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000137l,71392,24534,4,11988,0,13798,1,21063,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000139l,47582,2317,12405,1293,7093,1266,7097,2389,13722,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000140l,39215,6142,6612,3454,3149,3613,3742,6260,6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000143l,319188,93832,1,60630,0,53432,0,111292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000144l,39025,873,8854,1048,9688,759,8256,815,8732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000148l,165377,49660,82,30720,78,27943,236,56501,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000149l,51185,4237,11201,2033,8305,1993,8111,3685,11620,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000150l,240882,82788,3,40120,1,45711,1,72256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000151l,136680,20003,13714,10142,14686,16762,14698,21880,24795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000153l,49966,287,17623,136,7035,142,7212,282,17249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000155l,26863,480,6156,564,6874,405,5849,441,6094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMv2a.000157l,21463,294,4931,270,4739,376,5630,320,4903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
