Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
SVA12b.chr1,65967421,14773449,7297261,7473018,3474743,7506635,3465301,14704343,7270571,0,0,0,0,0,0,0,0,0,0,0,0,0,2100
SVA12b.chr5,77018999,20775496,4507088,11024171,2091209,11145677,2090007,20882359,4500092,0,0,0,0,0,0,0,0,0,0,0,0,100,2800
SVA12b.chr2,81455439,21889362,4913002,11675367,2309139,11644995,2312639,21819262,4890073,0,0,0,0,0,0,0,0,0,0,0,0,200,1400
SVA12b.chr3,84815254,23234428,4692508,12423349,2189191,12332064,2193927,23038864,4708623,0,0,0,0,0,0,0,0,0,0,0,0,0,2300
SVA12b.chr4,81713546,21328381,5819340,11011393,2705447,11052948,2707298,21291460,5794179,0,0,0,0,0,0,0,0,0,0,0,0,200,2900
SVA12b.chr7,63269313,16959756,3650051,9235760,1766775,9245122,1770956,16897711,3740982,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
SVA12b.chr8,57075992,13834697,5013043,7281437,2409892,7346634,2416155,13735153,5036781,0,0,0,0,0,0,0,0,0,0,0,0,200,2000
SVA12b.chr9,67529203,17926113,4386932,9601545,2076033,9465878,2073632,17587012,4409358,0,0,0,0,0,0,0,0,0,0,0,0,0,2700
SVA12b.chr6,80244834,21766672,4558257,11578019,2097043,11630107,2100614,21947770,4563152,0,0,0,0,0,0,0,0,0,0,0,0,0,3200
SVA12b.chrX,83457925,21032576,6478991,11164273,3069844,11155060,3070903,21018427,6465651,0,0,0,0,0,0,0,0,0,0,0,0,0,2200
SVA12b.000021l,226132,5483,50198,4675,47950,5798,55963,5223,50842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12b.000040l,1133875,390307,896,192863,495,213177,462,334416,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVA12b.000041l,37088,6261,5584,3616,3285,3453,2798,6146,5945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
